STRUCTURE,STRUCTURE_ID,freq,age,isced97,sex,isco08,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,F,OC2264,PC,CZ,2008,16.8,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,F,OC2264,PC,EL,2008,5.9,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,F,OC2264,PC,ES,2008,14.6,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,F,OC2264,PC,FR,2008,20.5,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,F,OC2264,PC,HU,2008,11.0,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,F,OC2264,PC,LV,2008,8.8,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,F,OC2264,PC,MT,2008,7.4,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,F,OC2264,PC,PL,2008,8.8,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,F,OC2264,PC,RO,2008,2.2,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,F,OC2264,PC,SI,2008,13.0,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,F,OC2264,PC,SK,2008,7.9,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,F,OC2264,PC,TR,2008,3.4,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,F,OC2634,PC,AT,2008,2.3,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,F,OC2634,PC,BE,2008,5.3,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,F,OC2634,PC,BG,2008,1.3,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,F,OC2634,PC,CY,2008,1.9,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,F,OC2634,PC,CZ,2008,4.3,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,F,OC2634,PC,EL,2008,2.3,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,F,OC2634,PC,ES,2008,3.5,
