STRUCTURE,STRUCTURE_ID,freq,unit,lev_limit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-24,F,AT,2008,27.1,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-24,F,BE,2008,16.2,u
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-24,F,BG,2008,18.2,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-24,F,CY,2008,15.5,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-24,F,CZ,2008,15.9,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-24,F,EE,2008,13.1,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-24,F,EL,2008,26.1,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-24,F,ES,2008,22.9,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-24,F,HU,2008,20.6,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-24,F,LV,2008,12.4,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-24,F,MT,2008,12.9,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-24,F,PL,2008,11,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-24,F,RO,2008,6.6,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-24,F,SI,2008,14.6,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-24,F,SK,2008,11.3,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-24,M,AT,2008,30.3,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-24,M,BE,2008,19.5,u
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-24,M,BG,2008,28.1,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-24,M,CY,2008,36.5,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-24,M,CZ,2008,25.1,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-24,M,EE,2008,33.7,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-24,M,EL,2008,23.1,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-24,M,ES,2008,28.4,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-24,M,HU,2008,34.3,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-24,M,LV,2008,33,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-24,M,MT,2008,21.8,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-24,M,PL,2008,20.6,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-24,M,RO,2008,17.8,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-24,M,SI,2008,22.9,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-24,M,SK,2008,21.8,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-24,T,AT,2008,28.8,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-24,T,BE,2008,17.9,u
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-24,T,BG,2008,23.3,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-24,T,CY,2008,25.9,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-24,T,CZ,2008,20.8,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-24,T,EE,2008,23.9,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-24,T,EL,2008,24.6,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-24,T,ES,2008,25.8,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-24,T,HU,2008,27.6,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-24,T,LV,2008,22.9,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-24,T,MT,2008,17.3,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-24,T,PL,2008,15.7,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-24,T,RO,2008,12.3,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-24,T,SI,2008,19.1,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-24,T,SK,2008,16.9,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-29,F,AT,2008,27.8,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-29,F,BE,2008,17.9,u
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-29,F,BG,2008,20.9,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-29,F,CY,2008,19.9,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-29,F,CZ,2008,17,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-29,F,EE,2008,16,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-29,F,EL,2008,28.8,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-29,F,ES,2008,25.8,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-29,F,HU,2008,20.8,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-29,F,LV,2008,14.7,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-29,F,MT,2008,16.6,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-29,F,PL,2008,13.1,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-29,F,RO,2008,10,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-29,F,SI,2008,17.1,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-29,F,SK,2008,13.9,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-29,M,AT,2008,30.5,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-29,M,BE,2008,22.8,u
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-29,M,BG,2008,36.5,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-29,M,CY,2008,41.8,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-29,M,CZ,2008,29.8,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-29,M,EE,2008,36.8,
dataflow,ESTAT:HLTH_DH040(1.0),A,PC_POP,NONE,Y15-29,M,EL,2008,34.1,
