STRUCTURE,STRUCTURE_ID,freq,unit,barrier,hhcomp,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DSI040(1.0),A,THS,PTP_LD1,CPL_NYCH,F,AT,2012,81.3,
dataflow,ESTAT:HLTH_DSI040(1.0),A,THS,PTP_LD1,CPL_NYCH,F,BE,2012,106.8,
dataflow,ESTAT:HLTH_DSI040(1.0),A,THS,PTP_LD1,CPL_NYCH,F,BG,2012,114.4,
dataflow,ESTAT:HLTH_DSI040(1.0),A,THS,PTP_LD1,CPL_NYCH,F,CY,2012,8.3,
dataflow,ESTAT:HLTH_DSI040(1.0),A,THS,PTP_LD1,CPL_NYCH,F,CZ,2012,78.9,
dataflow,ESTAT:HLTH_DSI040(1.0),A,THS,PTP_LD1,CPL_NYCH,F,DE,2012,880.6,
dataflow,ESTAT:HLTH_DSI040(1.0),A,THS,PTP_LD1,CPL_NYCH,F,DK,2012,52.3,
dataflow,ESTAT:HLTH_DSI040(1.0),A,THS,PTP_LD1,CPL_NYCH,F,EE,2012,15.6,
dataflow,ESTAT:HLTH_DSI040(1.0),A,THS,PTP_LD1,CPL_NYCH,F,EEA,2012,4176.0,e
dataflow,ESTAT:HLTH_DSI040(1.0),A,THS,PTP_LD1,CPL_NYCH,F,EL,2012,105.0,
dataflow,ESTAT:HLTH_DSI040(1.0),A,THS,PTP_LD1,CPL_NYCH,F,ES,2012,257.1,
dataflow,ESTAT:HLTH_DSI040(1.0),A,THS,PTP_LD1,CPL_NYCH,F,EU27_2007,2012,4132.6,e
dataflow,ESTAT:HLTH_DSI040(1.0),A,THS,PTP_LD1,CPL_NYCH,F,FI,2012,45.3,
dataflow,ESTAT:HLTH_DSI040(1.0),A,THS,PTP_LD1,CPL_NYCH,F,FR,2012,575.6,
dataflow,ESTAT:HLTH_DSI040(1.0),A,THS,PTP_LD1,CPL_NYCH,F,HU,2012,88.9,
dataflow,ESTAT:HLTH_DSI040(1.0),A,THS,PTP_LD1,CPL_NYCH,F,IS,2012,2.7,
dataflow,ESTAT:HLTH_DSI040(1.0),A,THS,PTP_LD1,CPL_NYCH,F,IT,2012,600.7,
dataflow,ESTAT:HLTH_DSI040(1.0),A,THS,PTP_LD1,CPL_NYCH,F,LT,2012,24.7,
dataflow,ESTAT:HLTH_DSI040(1.0),A,THS,PTP_LD1,CPL_NYCH,F,LU,2012,2.2,
dataflow,ESTAT:HLTH_DSI040(1.0),A,THS,PTP_LD1,CPL_NYCH,F,LV,2012,23.8,
dataflow,ESTAT:HLTH_DSI040(1.0),A,THS,PTP_LD1,CPL_NYCH,F,MT,2012,2.6,
dataflow,ESTAT:HLTH_DSI040(1.0),A,THS,PTP_LD1,CPL_NYCH,F,NL,2012,142.6,
