STRUCTURE,STRUCTURE_ID,freq,unit,icha11_fs,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,DE,2019,627.78,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,DE,2020,823.96,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,DE,2021,978.77,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,DK,2010,3918.03,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,DK,2011,3887.02,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,DK,2012,4041.61,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,DK,2013,4020.20,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,DK,2014,4099.48,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,DK,2015,4186.66,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,DK,2016,4265.41,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,DK,2017,4335.54,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,DK,2018,4412.98,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,DK,2019,4524.14,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,DK,2020,4785.10,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,DK,2021,5302.40,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,EE,2003,54.73,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,EE,2004,58.65,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,EE,2005,71.79,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,EE,2006,84.79,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,EE,2007,105.54,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,EE,2008,123.73,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,EE,2009,120.11,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,EE,2010,110.33,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,EE,2011,119.66,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,EE,2012,128.08,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,EE,2013,139.09,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,EE,2014,134.80,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,EE,2015,154.92,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,EE,2016,159.16,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,EE,2017,179.71,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,EE,2018,213.02,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,EE,2019,238.84,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,EE,2020,362.52,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,EE,2021,554.42,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,ES,2003,967.05,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,ES,2004,1033.89,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,ES,2005,1110.29,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,ES,2006,1206.09,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,ES,2007,1290.01,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,ES,2008,1409.55,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,ES,2009,1505.55,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,ES,2010,1491.07,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,ES,2011,1462.27,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,ES,2012,1385.41,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,ES,2013,1338.18,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,ES,2014,1346.26,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,ES,2015,1437.13,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,ES,2016,1459.17,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,ES,2017,1497.55,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,ES,2018,1544.12,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,ES,2019,1622.38,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,ES,2020,1797.11,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,ES,2021,1899.91,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,FI,2000,1200.60,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,FI,2001,1315.09,
