STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,yes_no,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,M,HU,2012,487.8,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,M,IS,2012,43.2,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,M,IT,2012,2120.2,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,M,LT,2012,202.7,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,M,LU,2012,49.6,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,M,LV,2012,139.7,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,M,MT,2012,23.4,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,M,NL,2012,1269.2,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,M,NO,2012,484.7,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,M,PL,2012,1824.1,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,M,PT,2012,699.9,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,M,RO,2012,266.7,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,M,SE,2012,951.0,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,M,SI,2012,148.1,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,M,SK,2012,635.8,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,M,UK,2012,5085.0,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,T,AT,2012,1469.8,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,T,BE,2012,2069.4,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,T,BG,2012,620.2,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,T,CY,2012,81.6,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,T,CZ,2012,905.7,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,T,DE,2012,14226.1,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,T,DK,2012,1040.1,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,T,EE,2012,280.9,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,T,EEA,2012,72378.9,e
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,T,EL,2012,697.7,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,T,ES,2012,9114.9,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,T,EU27_2007,2012,71380.8,e
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,T,FI,2012,1028.5,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,T,FR,2012,10887.1,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,T,HU,2012,1002.5,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,T,IS,2012,80.8,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,T,IT,2012,4450.7,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,T,LT,2012,471.7,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,T,LU,2012,104.6,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,T,LV,2012,303.7,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,T,MT,2012,44.6,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,T,NL,2012,2833.2,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,T,NO,2012,917.3,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,T,PL,2012,4050.7,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,T,PT,2012,1526.7,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,T,RO,2012,581.9,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,T,SE,2012,1897.1,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,T,SI,2012,286.2,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,T,SK,2012,1084.0,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,T,UK,2012,10321.3,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,F,AT,2012,603.2,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,F,BE,2012,950.4,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,F,BG,2012,489.8,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,F,CY,2012,82.6,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,F,CZ,2012,604.5,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,F,DE,2012,6473.4,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,F,DK,2012,429.5,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,F,EE,2012,110.6,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,F,EEA,2012,34967.3,e
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,F,EL,2012,645.1,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,F,ES,2012,3691.3,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,F,EU27_2007,2012,34670.3,e
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,F,FI,2012,437.1,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,F,FR,2012,5026.9,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,F,HU,2012,540.5,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,F,IS,2012,23.0,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,F,IT,2012,3415.7,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,F,LT,2012,235.2,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,F,LU,2012,35.2,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,F,LV,2012,157.0,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,F,MT,2012,31.1,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,F,NL,2012,991.9,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,F,NO,2012,274.0,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,F,PL,2012,2715.6,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,F,PT,2012,807.9,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,F,RO,2012,894.2,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,F,SE,2012,743.9,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,F,SI,2012,164.7,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,F,SK,2012,629.2,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,F,UK,2012,3764.0,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,M,AT,2012,520.8,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,M,BE,2012,797.5,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,M,BG,2012,448.3,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,M,CY,2012,70.7,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,M,CZ,2012,470.6,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,M,DE,2012,5640.4,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,M,DK,2012,398.1,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,M,EE,2012,96.6,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,M,EEA,2012,30483.3,e
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,M,EL,2012,498.4,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,M,ES,2012,3359.5,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,M,EU27_2007,2012,30154.3,e
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,M,FI,2012,361.3,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,M,FR,2012,4328.8,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,M,HU,2012,481.2,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,M,IS,2012,21.1,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,M,IT,2012,2730.6,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,M,LT,2012,193.3,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,M,LU,2012,34.6,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,M,LV,2012,136.5,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,M,MT,2012,25.7,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,M,NL,2012,954.7,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,M,NO,2012,307.9,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,M,PL,2012,2395.9,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,M,PT,2012,666.1,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,M,RO,2012,878.5,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,M,SE,2012,600.1,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,M,SI,2012,144.1,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,M,SK,2012,456.9,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,M,UK,2012,3465.2,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,T,AT,2012,1124.0,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,T,BE,2012,1747.8,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,T,BG,2012,938.1,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,T,CY,2012,153.3,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,T,CZ,2012,1075.1,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,T,DE,2012,12113.8,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,T,DK,2012,827.6,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,T,EE,2012,207.1,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,T,EEA,2012,65450.6,e
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,T,EL,2012,1143.6,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,T,ES,2012,7050.8,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,T,EU27_2007,2012,64824.6,e
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,T,FI,2012,798.3,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,T,FR,2012,9355.7,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,T,HU,2012,1021.7,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,T,IS,2012,44.0,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,T,IT,2012,6146.3,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,T,LT,2012,428.5,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,T,LU,2012,69.8,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,T,LV,2012,293.5,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,T,MT,2012,56.7,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,T,NL,2012,1946.6,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,T,NO,2012,581.9,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,T,PL,2012,5111.5,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,T,PT,2012,1474.1,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,T,RO,2012,1772.7,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,T,SE,2012,1343.9,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,T,SI,2012,308.8,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,T,SK,2012,1086.0,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y45-64,T,UK,2012,7229.2,
