STRUCTURE,STRUCTURE_ID,freq,sex,age,isced97,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,TOTAL,TOTAL,PC,BE,2008,26.9,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,TOTAL,TOTAL,PC,BG,2008,33.3,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,TOTAL,TOTAL,PC,CY,2008,20,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,TOTAL,TOTAL,PC,CZ,2008,51.8,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,TOTAL,TOTAL,PC,EL,2008,27.4,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,TOTAL,TOTAL,PC,ES,2008,17.6,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,TOTAL,TOTAL,PC,HU,2008,41.5,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,TOTAL,TOTAL,PC,LV,2008,47.2,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,TOTAL,TOTAL,PC,MT,2008,29.6,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,TOTAL,TOTAL,PC,PL,2008,56.3,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,TOTAL,TOTAL,PC,RO,2008,18.2,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,TOTAL,TOTAL,PC,SI,2008,43.2,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,TOTAL,TOTAL,PC,SK,2008,51.2,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,TOTAL,TOTAL,PC,TR,2008,15.2,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y15-24,ED0-2,PC,AT,2008,28,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y15-24,ED0-2,PC,BE,2008,18.6,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y15-24,ED0-2,PC,BG,2008,22.8,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y15-24,ED0-2,PC,CY,2008,16.7,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y15-24,ED0-2,PC,CZ,2008,47.3,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y15-24,ED0-2,PC,EL,2008,25.2,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y15-24,ED0-2,PC,ES,2008,17.4,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y15-24,ED0-2,PC,HU,2008,33.8,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y15-24,ED0-2,PC,LV,2008,35.9,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y15-24,ED0-2,PC,PL,2008,46.9,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y15-24,ED0-2,PC,RO,2008,9.3,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y15-24,ED0-2,PC,SI,2008,38.2,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y15-24,ED0-2,PC,SK,2008,38.6,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y15-24,ED0-2,PC,TR,2008,12.6,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y15-24,ED3_4,PC,AT,2008,33.1,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y15-24,ED3_4,PC,BE,2008,34.9,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y15-24,ED3_4,PC,BG,2008,22.7,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y15-24,ED3_4,PC,CY,2008,16.8,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y15-24,ED3_4,PC,CZ,2008,45,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y15-24,ED3_4,PC,EL,2008,24.6,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y15-24,ED3_4,PC,ES,2008,23,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y15-24,ED3_4,PC,HU,2008,34.6,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y15-24,ED3_4,PC,LV,2008,41.8,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y15-24,ED3_4,PC,MT,2008,26.7,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y15-24,ED3_4,PC,PL,2008,54.5,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y15-24,ED3_4,PC,RO,2008,15,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y15-24,ED3_4,PC,SI,2008,41.1,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y15-24,ED3_4,PC,SK,2008,43.6,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y15-24,ED3_4,PC,TR,2008,15.6,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y15-24,ED5_6,PC,AT,2008,36.5,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y15-24,ED5_6,PC,BE,2008,34.4,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y15-24,ED5_6,PC,CY,2008,17.3,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y15-24,ED5_6,PC,EL,2008,25.2,u
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y15-24,ED5_6,PC,ES,2008,27.2,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y15-24,ED5_6,PC,HU,2008,53.2,u
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y15-24,ED5_6,PC,LV,2008,61.5,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y15-24,ED5_6,PC,MT,2008,29.1,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y15-24,ED5_6,PC,PL,2008,55.1,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y15-24,ED5_6,PC,RO,2008,24.6,u
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y15-24,ED5_6,PC,SK,2008,46,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y15-24,ED5_6,PC,TR,2008,9.3,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y15-24,TOTAL,PC,AT,2008,31.2,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y15-24,TOTAL,PC,BE,2008,26.5,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y15-24,TOTAL,PC,BG,2008,22.5,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y15-24,TOTAL,PC,CY,2008,16.8,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y15-24,TOTAL,PC,CZ,2008,49,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y15-24,TOTAL,PC,EL,2008,24.9,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y15-24,TOTAL,PC,ES,2008,20.6,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y15-24,TOTAL,PC,HU,2008,35.6,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y15-24,TOTAL,PC,LV,2008,41.8,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y15-24,TOTAL,PC,MT,2008,26.2,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y15-24,TOTAL,PC,PL,2008,51.7,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y15-24,TOTAL,PC,RO,2008,12.6,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y15-24,TOTAL,PC,SI,2008,39.3,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y15-24,TOTAL,PC,SK,2008,42,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y15-24,TOTAL,PC,TR,2008,13.2,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y25-34,ED0-2,PC,AT,2008,29.8,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y25-34,ED0-2,PC,BE,2008,17.8,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y25-34,ED0-2,PC,BG,2008,19.6,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y25-34,ED0-2,PC,CY,2008,23.3,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y25-34,ED0-2,PC,EL,2008,30.5,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y25-34,ED0-2,PC,ES,2008,20.9,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y25-34,ED0-2,PC,HU,2008,28.9,u
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y25-34,ED0-2,PC,LV,2008,25.2,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y25-34,ED0-2,PC,PL,2008,43.1,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y25-34,ED0-2,PC,RO,2008,10.8,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y25-34,ED0-2,PC,TR,2008,16.5,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y25-34,ED3_4,PC,AT,2008,23.4,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y25-34,ED3_4,PC,BE,2008,28.5,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y25-34,ED3_4,PC,BG,2008,30.9,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y25-34,ED3_4,PC,CY,2008,26.5,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y25-34,ED3_4,PC,CZ,2008,50.1,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y25-34,ED3_4,PC,EL,2008,27.3,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y25-34,ED3_4,PC,ES,2008,22.8,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y25-34,ED3_4,PC,HU,2008,38.9,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y25-34,ED3_4,PC,LV,2008,39.7,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y25-34,ED3_4,PC,MT,2008,30.8,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y25-34,ED3_4,PC,PL,2008,54.4,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y25-34,ED3_4,PC,RO,2008,18.1,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y25-34,ED3_4,PC,SI,2008,38.3,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y25-34,ED3_4,PC,SK,2008,51.4,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y25-34,ED3_4,PC,TR,2008,14.5,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y25-34,ED5_6,PC,AT,2008,36.5,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y25-34,ED5_6,PC,BE,2008,31.8,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y25-34,ED5_6,PC,BG,2008,37.2,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y25-34,ED5_6,PC,CY,2008,23.9,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y25-34,ED5_6,PC,CZ,2008,63.4,u
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y25-34,ED5_6,PC,EL,2008,34.5,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y25-34,ED5_6,PC,ES,2008,26,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y25-34,ED5_6,PC,HU,2008,53.6,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y25-34,ED5_6,PC,LV,2008,48.8,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y25-34,ED5_6,PC,MT,2008,32.5,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y25-34,ED5_6,PC,PL,2008,61.2,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y25-34,ED5_6,PC,RO,2008,14.2,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y25-34,ED5_6,PC,SI,2008,65.4,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y25-34,ED5_6,PC,SK,2008,56.6,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y25-34,ED5_6,PC,TR,2008,17,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y25-34,TOTAL,PC,AT,2008,27.9,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y25-34,TOTAL,PC,BE,2008,28.7,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y25-34,TOTAL,PC,BG,2008,30.3,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y25-34,TOTAL,PC,CY,2008,24.8,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y25-34,TOTAL,PC,CZ,2008,52.3,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y25-34,TOTAL,PC,EL,2008,30.2,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y25-34,TOTAL,PC,ES,2008,23.5,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y25-34,TOTAL,PC,HU,2008,43,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y25-34,TOTAL,PC,LV,2008,40.9,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y25-34,TOTAL,PC,MT,2008,31.1,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y25-34,TOTAL,PC,PL,2008,56.7,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y25-34,TOTAL,PC,RO,2008,15.9,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y25-34,TOTAL,PC,SI,2008,47,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y25-34,TOTAL,PC,SK,2008,52.8,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y25-34,TOTAL,PC,TR,2008,16.2,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y35-44,ED0-2,PC,AT,2008,21.9,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y35-44,ED0-2,PC,BE,2008,16.3,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y35-44,ED0-2,PC,BG,2008,27.3,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y35-44,ED0-2,PC,CY,2008,27.5,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y35-44,ED0-2,PC,EL,2008,27.6,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y35-44,ED0-2,PC,ES,2008,16.6,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y35-44,ED0-2,PC,HU,2008,17,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y35-44,ED0-2,PC,LV,2008,48.4,u
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y35-44,ED0-2,PC,PL,2008,47,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y35-44,ED0-2,PC,RO,2008,14.8,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y35-44,ED0-2,PC,SI,2008,39.7,u
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y35-44,ED0-2,PC,TR,2008,20.2,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y35-44,ED3_4,PC,AT,2008,25.4,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y35-44,ED3_4,PC,BE,2008,22.8,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y35-44,ED3_4,PC,BG,2008,38,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y35-44,ED3_4,PC,CY,2008,27.5,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y35-44,ED3_4,PC,CZ,2008,64.8,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y35-44,ED3_4,PC,EL,2008,31,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y35-44,ED3_4,PC,ES,2008,21.3,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y35-44,ED3_4,PC,HU,2008,47.9,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y35-44,ED3_4,PC,LV,2008,48.4,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y35-44,ED3_4,PC,MT,2008,28.1,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y35-44,ED3_4,PC,PL,2008,57.8,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y35-44,ED3_4,PC,RO,2008,17,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y35-44,ED3_4,PC,SI,2008,33.3,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y35-44,ED3_4,PC,SK,2008,50.3,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y35-44,ED3_4,PC,TR,2008,18.6,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y35-44,ED5_6,PC,AT,2008,41.8,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y35-44,ED5_6,PC,BE,2008,39.7,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y35-44,ED5_6,PC,BG,2008,41.2,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y35-44,ED5_6,PC,CY,2008,25.5,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y35-44,ED5_6,PC,EL,2008,26.7,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y35-44,ED5_6,PC,ES,2008,28.3,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y35-44,ED5_6,PC,HU,2008,64.4,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y35-44,ED5_6,PC,LV,2008,59.9,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y35-44,ED5_6,PC,MT,2008,41,u
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y35-44,ED5_6,PC,PL,2008,70.7,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y35-44,ED5_6,PC,RO,2008,22.4,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y35-44,ED5_6,PC,SI,2008,51.7,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y35-44,ED5_6,PC,SK,2008,57.6,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y35-44,ED5_6,PC,TR,2008,18.2,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y35-44,TOTAL,PC,AT,2008,29.2,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y35-44,TOTAL,PC,BE,2008,29.9,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y35-44,TOTAL,PC,BG,2008,37.7,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y35-44,TOTAL,PC,CY,2008,26.9,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y35-44,TOTAL,PC,CZ,2008,61.8,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y35-44,TOTAL,PC,EL,2008,29,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y35-44,TOTAL,PC,ES,2008,22.1,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y35-44,TOTAL,PC,HU,2008,49.4,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y35-44,TOTAL,PC,LV,2008,53,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y35-44,TOTAL,PC,MT,2008,30.5,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y35-44,TOTAL,PC,PL,2008,60.3,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y35-44,TOTAL,PC,RO,2008,17.2,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y35-44,TOTAL,PC,SI,2008,40.4,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y35-44,TOTAL,PC,SK,2008,51.4,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y35-44,TOTAL,PC,TR,2008,19.9,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y45-54,ED0-2,PC,AT,2008,24.5,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y45-54,ED0-2,PC,BE,2008,24.1,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y45-54,ED0-2,PC,BG,2008,27.2,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y45-54,ED0-2,PC,CY,2008,21.9,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y45-54,ED0-2,PC,EL,2008,28.5,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y45-54,ED0-2,PC,ES,2008,17.8,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,Y45-54,ED0-2,PC,HU,2008,26.4,
