STRUCTURE,STRUCTURE_ID,freq,unit,severity,age,sex,nace_r1,modinj,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_CO3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,CMI10,EU_V,2005,3.4,
dataflow,ESTAT:HSW_AW_CO3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,CMI20,EU_V,2005,0.1,
dataflow,ESTAT:HSW_AW_CO3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,CMI30,EU_V,2005,31.2,
dataflow,ESTAT:HSW_AW_CO3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,CMI40,EU_V,2005,12.9,
dataflow,ESTAT:HSW_AW_CO3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,CMI50,EU_V,2005,16.1,
dataflow,ESTAT:HSW_AW_CO3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,CMI60,EU_V,2005,5.3,
dataflow,ESTAT:HSW_AW_CO3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,CMI70,EU_V,2005,23.7,
dataflow,ESTAT:HSW_AW_CO3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,CMI80,EU_V,2005,4.1,
dataflow,ESTAT:HSW_AW_CO3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,CMI90,EU_V,2005,3.3,
dataflow,ESTAT:HSW_AW_CO3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_CO3(1.0),A,PC,D_GE4,TOTAL,M,TOTAL,CMI10,EU_V,2005,3.3,
dataflow,ESTAT:HSW_AW_CO3(1.0),A,PC,D_GE4,TOTAL,M,TOTAL,CMI20,EU_V,2005,0.1,
dataflow,ESTAT:HSW_AW_CO3(1.0),A,PC,D_GE4,TOTAL,M,TOTAL,CMI30,EU_V,2005,24.9,
