STRUCTURE,STRUCTURE_ID,freq,unit,isced97,assist,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,M,LV,2012,9.8,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,M,MT,2012,4.8,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,M,NL,2012,123.3,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,M,NO,2012,13.3,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,M,PL,2012,339.8,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,M,PT,2012,192.8,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,M,RO,2012,236.8,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,M,SE,2012,34.7,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,M,SI,2012,9.8,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,M,SK,2012,14.5,u
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,M,UK,2012,638.2,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,T,AT,2012,101.9,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,T,BE,2012,278.8,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,T,BG,2012,223.8,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,T,CY,2012,24.9,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,T,CZ,2012,127.7,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,T,DE,2012,991.2,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,T,DK,2012,132.0,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,T,EE,2012,28.5,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,T,EEA,2012,15331.3,e
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,T,EL,2012,572.8,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,T,ES,2012,2729.1,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,T,EU27_2007,2012,15271.0,e
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,T,FI,2012,55.6,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,T,FR,2012,2036.3,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,T,HU,2012,206.7,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,T,IS,2012,4.0,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,T,IT,2012,3549.0,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,T,LT,2012,102.7,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,T,LU,2012,10.8,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,T,LV,2012,34.2,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,T,MT,2012,12.7,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,T,NL,2012,311.3,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,T,NO,2012,56.3,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,T,PL,2012,1040.5,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,T,PT,2012,504.1,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,T,RO,2012,709.4,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,T,SE,2012,102.2,
