STRUCTURE,STRUCTURE_ID,freq,severity,nace_r1,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,F,NR,EU15_NO,2006,71570,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,F,NR,EU15_NO,2007,110338,p
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,G,NR,EU15_NO,1996,47478,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,G,NR,EU15_NO,1997,42072,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,G,NR,EU15_NO,1998,43567,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,G,NR,EU15_NO,1999,44060,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,G,NR,EU15_NO,2000,47883,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,G,NR,EU15_NO,2001,46668,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,G,NR,EU15_NO,2002,47679,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,G,NR,EU15_NO,2003,44336,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,G,NR,EU15_NO,2004,46255,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,G,NR,EU15_NO,2005,48833,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,G,NR,EU15_NO,2006,51447,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,G,NR,EU15_NO,2007,67127,p
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,H,NR,EU15_NO,1996,16187,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,H,NR,EU15_NO,1997,15155,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,H,NR,EU15_NO,1998,16294,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,H,NR,EU15_NO,1999,17390,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,H,NR,EU15_NO,2000,18927,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,H,NR,EU15_NO,2001,17447,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,H,NR,EU15_NO,2002,17715,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,H,NR,EU15_NO,2003,16852,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,H,NR,EU15_NO,2004,18117,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,H,NR,EU15_NO,2005,19300,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,H,NR,EU15_NO,2006,19859,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,H,NR,EU15_NO,2007,28719,p
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,I,NR,EU15_NO,1996,27559,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,I,NR,EU15_NO,1997,25277,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,I,NR,EU15_NO,1998,26332,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,I,NR,EU15_NO,1999,28087,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,I,NR,EU15_NO,2000,29633,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,I,NR,EU15_NO,2001,29073,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,I,NR,EU15_NO,2002,28907,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,I,NR,EU15_NO,2003,27585,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,I,NR,EU15_NO,2004,30145,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,I,NR,EU15_NO,2005,34320,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,I,NR,EU15_NO,2006,33980,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,I,NR,EU15_NO,2007,42049,p
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,J_K,NR,EU15_NO,1996,24611,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,J_K,NR,EU15_NO,1997,23992,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,J_K,NR,EU15_NO,1998,26176,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,J_K,NR,EU15_NO,1999,30676,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,J_K,NR,EU15_NO,2000,34395,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,J_K,NR,EU15_NO,2001,34167,
