STRUCTURE,STRUCTURE_ID,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,AL,1985,5390.48,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,AL,1986,9813.75,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,AL,1987,9820.4,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,AL,1988,10509.48,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,AL,1989,7796.96,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,AT,2004,153.65,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,AT,2007,148.72,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,AT,2009,147.18,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,AT,2011,134.23,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,AT,2012,128.53,bd
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,AT,2013,128.39,d
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,AT,2014,128.59,d
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,AT,2015,129.60,d
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,AT,2016,129.88,d
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,AT,2017,115.59,bd
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,AT,2018,115.79,d
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,AT,2019,115.99,d
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,AT,2020,114.51,d
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,AT,2021,114.11,d
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,BE,1995,95.16,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,BE,1996,90.51,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,BE,1997,89.79,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,BE,1998,86.77,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,BE,1999,83.84,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,BE,2000,82.95,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,BE,2001,81.69,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,BE,2002,82.06,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,BE,2003,81.85,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,BE,2004,81.82,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,BE,2005,82.11,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,BE,2006,82.28,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,BE,2007,81.86,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,BE,2008,81.41,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,BE,2009,81.28,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,BE,2010,81.88,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,BE,2011,81.54,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,BE,2012,81.03,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,BE,2013,82.59,b
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,BE,2014,81.25,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,BE,2015,80.09,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,BE,2016,78.69,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,BE,2017,78.04,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,BE,2018,77.53,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,BE,2019,77.07,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,BE,2020,77.53,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,BE,2021,77.66,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,BE,2022,76.58,p
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,BG,2000,1728.77,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,BG,2001,1696.85,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,BG,2002,1863.33,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,BG,2003,1829.49,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,BG,2004,1776.03,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,BG,2005,1768.00,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,BG,2006,1739.76,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,BG,2007,1762.93,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,BG,2008,1749.78,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,BG,2009,1647.73,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,BG,2010,1618.29,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,BG,2011,1616.44,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,BG,2012,1650.68,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,BG,2013,2324.84,b
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,BG,2014,2287.50,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,BG,2015,2998.33,b
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,BG,2016,3250.26,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,BG,2017,3250.32,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,BG,2018,3370.94,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,BG,2019,3648.41,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,BG,2020,3587.18,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,BG,2021,3874.78,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,CH,2000,85.50,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,CH,2001,85.64,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,CH,2002,85.25,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,CH,2003,86.13,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,CH,2004,85.94,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,CH,2005,85.68,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,CH,2006,84.93,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,CH,2007,83.99,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,CH,2008,84.30,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,CH,2009,84.24,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,CH,2010,85.29,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,CH,2011,85.22,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,CH,2012,85.47,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,CH,2013,85.51,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,CH,2014,85.59,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,CH,2015,85.77,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,CH,2016,86.21,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,CH,2017,85.16,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,CH,2018,85.47,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,CH,2019,85.45,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,CH,2020,85.79,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,CH,2021,86.31,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,CY,2019,249.49,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,CY,2020,270.80,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,CY,2021,277.63,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,CZ,2000,157.52,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,CZ,2005,148.23,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,CZ,2006,147.31,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,CZ,2007,147.38,b
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,CZ,2008,150.91,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,CZ,2009,152.87,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,CZ,2010,160.43,b
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,CZ,2011,159.86,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,CZ,2012,158.25,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,CZ,2013,154.59,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,CZ,2014,152.55,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,CZ,2015,150.74,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,CZ,2016,146.73,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,CZ,2017,145.46,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,CZ,2018,144.77,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,CZ,2019,143.81,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,CZ,2020,140.93,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,CZ,2021,139.47,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,DE,1999,127.20,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,DE,2001,122.13,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,DE,2003,115.72,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,DE,2005,108.92,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,DE,2007,102.95,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,DE,2009,96.93,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,DE,2011,91.69,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,DE,2013,89.32,
dataflow,ESTAT:HLTH_RS_BDLTC(1.0),A,HAB_P,DE,2015,87.94,
