STRUCTURE,STRUCTURE_ID,freq,unit,lev_limit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DM010(1.0),A,PC,NONE,Y16-24,F,AL,2017,41.5,
dataflow,ESTAT:HLTH_DM010(1.0),A,PC,NONE,Y16-24,F,AL,2018,39.4,
dataflow,ESTAT:HLTH_DM010(1.0),A,PC,NONE,Y16-24,F,AL,2019,34.8,
dataflow,ESTAT:HLTH_DM010(1.0),A,PC,NONE,Y16-24,F,AL,2020,33.3,
dataflow,ESTAT:HLTH_DM010(1.0),A,PC,NONE,Y16-24,F,AT,2015,0.6,
dataflow,ESTAT:HLTH_DM010(1.0),A,PC,NONE,Y16-24,F,AT,2016,2.1,
dataflow,ESTAT:HLTH_DM010(1.0),A,PC,NONE,Y16-24,F,AT,2017,2.0,
dataflow,ESTAT:HLTH_DM010(1.0),A,PC,NONE,Y16-24,F,AT,2018,1.5,
dataflow,ESTAT:HLTH_DM010(1.0),A,PC,NONE,Y16-24,F,AT,2019,1.8,
dataflow,ESTAT:HLTH_DM010(1.0),A,PC,NONE,Y16-24,F,AT,2020,2.1,
dataflow,ESTAT:HLTH_DM010(1.0),A,PC,NONE,Y16-24,F,AT,2021,0.5,
dataflow,ESTAT:HLTH_DM010(1.0),A,PC,NONE,Y16-24,F,AT,2022,0.9,
dataflow,ESTAT:HLTH_DM010(1.0),A,PC,NONE,Y16-24,F,BE,2015,6.0,
dataflow,ESTAT:HLTH_DM010(1.0),A,PC,NONE,Y16-24,F,BE,2016,7.4,
dataflow,ESTAT:HLTH_DM010(1.0),A,PC,NONE,Y16-24,F,BE,2017,4.1,
dataflow,ESTAT:HLTH_DM010(1.0),A,PC,NONE,Y16-24,F,BE,2018,4.4,
dataflow,ESTAT:HLTH_DM010(1.0),A,PC,NONE,Y16-24,F,BE,2019,4.9,b
dataflow,ESTAT:HLTH_DM010(1.0),A,PC,NONE,Y16-24,F,BE,2020,4.2,
dataflow,ESTAT:HLTH_DM010(1.0),A,PC,NONE,Y16-24,F,BE,2021,4.1,
dataflow,ESTAT:HLTH_DM010(1.0),A,PC,NONE,Y16-24,F,BE,2022,6.1,
dataflow,ESTAT:HLTH_DM010(1.0),A,PC,NONE,Y16-24,F,BG,2015,32.8,
dataflow,ESTAT:HLTH_DM010(1.0),A,PC,NONE,Y16-24,F,BG,2016,32.3,
dataflow,ESTAT:HLTH_DM010(1.0),A,PC,NONE,Y16-24,F,BG,2017,28.4,
dataflow,ESTAT:HLTH_DM010(1.0),A,PC,NONE,Y16-24,F,BG,2018,19.4,
dataflow,ESTAT:HLTH_DM010(1.0),A,PC,NONE,Y16-24,F,BG,2019,21.7,
dataflow,ESTAT:HLTH_DM010(1.0),A,PC,NONE,Y16-24,F,BG,2020,19.9,
dataflow,ESTAT:HLTH_DM010(1.0),A,PC,NONE,Y16-24,F,BG,2021,21.0,
dataflow,ESTAT:HLTH_DM010(1.0),A,PC,NONE,Y16-24,F,BG,2022,18.2,
dataflow,ESTAT:HLTH_DM010(1.0),A,PC,NONE,Y16-24,F,CH,2014,0.0,
dataflow,ESTAT:HLTH_DM010(1.0),A,PC,NONE,Y16-24,F,CH,2015,0.1,
dataflow,ESTAT:HLTH_DM010(1.0),A,PC,NONE,Y16-24,F,CH,2016,0.4,
dataflow,ESTAT:HLTH_DM010(1.0),A,PC,NONE,Y16-24,F,CH,2017,0.2,
dataflow,ESTAT:HLTH_DM010(1.0),A,PC,NONE,Y16-24,F,CH,2018,0.3,
dataflow,ESTAT:HLTH_DM010(1.0),A,PC,NONE,Y16-24,F,CH,2019,1.3,
dataflow,ESTAT:HLTH_DM010(1.0),A,PC,NONE,Y16-24,F,CH,2020,0.5,
dataflow,ESTAT:HLTH_DM010(1.0),A,PC,NONE,Y16-24,F,CH,2021,0.2,
dataflow,ESTAT:HLTH_DM010(1.0),A,PC,NONE,Y16-24,F,CY,2015,5.3,
dataflow,ESTAT:HLTH_DM010(1.0),A,PC,NONE,Y16-24,F,CY,2016,4.3,
dataflow,ESTAT:HLTH_DM010(1.0),A,PC,NONE,Y16-24,F,CY,2017,2.9,
dataflow,ESTAT:HLTH_DM010(1.0),A,PC,NONE,Y16-24,F,CY,2018,2.6,
dataflow,ESTAT:HLTH_DM010(1.0),A,PC,NONE,Y16-24,F,CY,2019,2.7,
dataflow,ESTAT:HLTH_DM010(1.0),A,PC,NONE,Y16-24,F,CY,2020,1.6,
dataflow,ESTAT:HLTH_DM010(1.0),A,PC,NONE,Y16-24,F,CY,2021,1.8,
dataflow,ESTAT:HLTH_DM010(1.0),A,PC,NONE,Y16-24,F,CY,2022,1.9,
dataflow,ESTAT:HLTH_DM010(1.0),A,PC,NONE,Y16-24,F,CZ,2015,4.7,
dataflow,ESTAT:HLTH_DM010(1.0),A,PC,NONE,Y16-24,F,CZ,2016,3.3,
