STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1040,M,PL,2011,11.7,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1040,M,PT,2011,,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1040,M,RO,2011,,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1040,M,SE,2011,18.3,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1040,M,SI,2011,18,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1040,M,SK,2011,,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1040,M,TR,2011,10.7,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1040,M,UK,2011,26.2,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1040,T,AT,2011,25.5,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1040,T,BE,2011,19.6,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1040,T,BG,2011,,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1040,T,CH,2011,22.3,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1040,T,CY,2011,,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1040,T,CZ,2011,10.7,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1040,T,DE,2011,14.2,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1040,T,DK,2011,19.1,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1040,T,EE,2011,,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1040,T,EL,2011,,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1040,T,ES,2011,34.8,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1040,T,FI,2011,36.7,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1040,T,FR,2011,32.6,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1040,T,HR,2011,,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1040,T,HU,2011,11.6,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1040,T,IE,2011,27.5,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1040,T,IS,2011,,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1040,T,IT,2011,8.8,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1040,T,LT,2011,,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1040,T,LU,2011,37.3,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1040,T,LV,2011,,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1040,T,MT,2011,,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1040,T,NL,2011,23.3,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1040,T,PL,2011,17.0,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1040,T,PT,2011,22.3,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1040,T,RO,2011,17.9,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1040,T,SE,2011,29.7,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1040,T,SI,2011,20.6,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1040,T,SK,2011,,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1040,T,TR,2011,8.8,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1040,T,UK,2011,30.4,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,F,AT,2011,23.9,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,F,BE,2011,53.8,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,F,BG,2011,39.1,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,F,CH,2011,42.3,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,F,CY,2011,52.3,
