STRUCTURE,STRUCTURE_ID,freq,unit,severity,age,sex,nace_r1,wrkenv,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_WE3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_WE3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,WEN_01,EU_V,2005,25.0,
dataflow,ESTAT:HSW_AW_WE3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,WEN_02,EU_V,2005,1.3,
dataflow,ESTAT:HSW_AW_WE3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,WEN_03,EU_V,2005,4.7,
dataflow,ESTAT:HSW_AW_WE3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,WEN_04,EU_V,2005,35.9,
dataflow,ESTAT:HSW_AW_WE3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,WEN_05,EU_V,2005,14.2,
dataflow,ESTAT:HSW_AW_WE3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,WEN_06,EU_V,2005,13.4,
dataflow,ESTAT:HSW_AW_WE3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,WEN_07,EU_V,2005,3.1,
dataflow,ESTAT:HSW_AW_WE3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,WEN_08,EU_V,2005,1.3,
dataflow,ESTAT:HSW_AW_WE3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,WEN_09,EU_V,2005,0.1,
dataflow,ESTAT:HSW_AW_WE3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,WEN_10,EU_V,2005,0.0,
dataflow,ESTAT:HSW_AW_WE3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,WEN_11,EU_V,2005,0.1,
dataflow,ESTAT:HSW_AW_WE3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,WEN_12,EU_V,2005,0.0,
