STRUCTURE,STRUCTURE_ID,freq,sex,age,nace_r2,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,A,PC_EMP,NO,2020,,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,A,PC_EMP,PL,2013,57.1,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,A,PC_EMP,PL,2020,67.3,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,A,PC_EMP,PT,2013,62.1,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,A,PC_EMP,PT,2020,,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,A,PC_EMP,RO,2013,40.9,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,A,PC_EMP,RO,2020,63.3,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,A,PC_EMP,SE,2013,87.4,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,A,PC_EMP,SE,2020,,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,A,PC_EMP,SI,2013,30.0,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,A,PC_EMP,SI,2020,52.2,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,A,PC_EMP,SK,2013,,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,A,PC_EMP,SK,2020,,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,A,PC_EMP,TR,2013,26.6,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,A,PC_EMP,UK,2013,,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,AT,2013,65.5,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,AT,2020,73.6,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,BE,2013,33.7,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,BE,2020,62.0,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,BG,2013,57.4,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,BG,2020,70.6,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,CH,2013,65.3,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,CH,2020,80.5,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,CY,2013,46.3,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,CY,2020,67.2,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,CZ,2013,45.7,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,CZ,2020,49.3,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,DE,2013,25.4,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,DE,2020,19.5,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,DK,2013,,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,DK,2020,34.3,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,EA19,2013,55.3,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,EA19,2020,47.8,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,EE,2013,88.4,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,EE,2020,67.6,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,EL,2013,48.2,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,EL,2020,76.1,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,ES,2013,53.0,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,ES,2020,72.3,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,EU27_2020,2013,53.8,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,EU27_2020,2020,53.0,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,EU28,2013,53.5,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,FI,2013,65.7,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,FI,2020,70.0,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,FR,2013,86.0,bd
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,FR,2020,74.7,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,HR,2013,32.8,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,HR,2020,62.4,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,HU,2013,57.4,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,HU,2020,64.0,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,IE,2013,40.1,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,IE,2020,51.2,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,IS,2020,56.6,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,IT,2013,76.5,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,IT,2020,54.1,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,LT,2013,63.2,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,LT,2020,52.4,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,LU,2013,,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,LU,2020,71.1,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,LV,2013,77.0,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,LV,2020,64.3,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,MT,2013,,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,MT,2020,43.1,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,NL,2020,85.1,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,NO,2013,21.3,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,NO,2020,83.4,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,PL,2013,51.4,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,PL,2020,65.7,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,PT,2013,74.5,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,PT,2020,76.7,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,RO,2013,50.4,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,RO,2020,70.4,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,SE,2013,67.3,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,SE,2020,78.7,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,SI,2013,69.0,b
