STRUCTURE,STRUCTURE_ID,freq,sex,age,isced97,levels,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED3_4,MOD,PC,CY,2008,3.5,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED3_4,MOD,PC,CZ,2008,6.0,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED3_4,MOD,PC,EL,2008,2.3,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED3_4,MOD,PC,ES,2008,2.1,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED3_4,MOD,PC,FR,2008,2.0,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED3_4,MOD,PC,HU,2008,7.7,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED3_4,MOD,PC,LV,2008,7.1,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED3_4,MOD,PC,MT,2008,3.1,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED3_4,MOD,PC,PL,2008,5.5,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED3_4,MOD,PC,RO,2008,4.2,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED3_4,MOD,PC,SI,2008,4.8,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED3_4,MOD,PC,SK,2008,5.8,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED3_4,MOD,PC,TR,2008,4.0,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED3_4,NONE,PC,BG,2008,88.0,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED3_4,NONE,PC,CY,2008,94.2,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED3_4,NONE,PC,CZ,2008,89.2,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED3_4,NONE,PC,EL,2008,95.5,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED3_4,NONE,PC,ES,2008,95.7,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED3_4,NONE,PC,FR,2008,94.0,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED3_4,NONE,PC,HU,2008,86.2,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED3_4,NONE,PC,LV,2008,87.3,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED3_4,NONE,PC,MT,2008,95.2,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED3_4,NONE,PC,PL,2008,90.1,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED3_4,NONE,PC,RO,2008,94.3,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED3_4,NONE,PC,SI,2008,91.8,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED3_4,NONE,PC,SK,2008,91.2,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED3_4,NONE,PC,TR,2008,93.0,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED3_4,SEV,PC,BG,2008,4.9,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED3_4,SEV,PC,CY,2008,2.3,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED3_4,SEV,PC,CZ,2008,4.8,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED3_4,SEV,PC,EL,2008,2.3,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED3_4,SEV,PC,ES,2008,2.2,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED3_4,SEV,PC,FR,2008,4.0,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED3_4,SEV,PC,HU,2008,6.1,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED3_4,SEV,PC,LV,2008,5.7,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED3_4,SEV,PC,MT,2008,1.8,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED3_4,SEV,PC,PL,2008,4.4,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED3_4,SEV,PC,RO,2008,1.5,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED3_4,SEV,PC,SI,2008,3.4,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED3_4,SEV,PC,SK,2008,3.0,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED3_4,SEV,PC,TR,2008,2.9,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED5_6,MOD,PC,BG,2008,5.2,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED5_6,MOD,PC,CY,2008,2.1,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED5_6,MOD,PC,CZ,2008,7.4,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED5_6,MOD,PC,EL,2008,2.7,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED5_6,MOD,PC,ES,2008,1.1,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED5_6,MOD,PC,FR,2008,1.2,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED5_6,MOD,PC,HU,2008,5.3,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED5_6,MOD,PC,LV,2008,4.8,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED5_6,MOD,PC,MT,2008,3.4,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED5_6,MOD,PC,PL,2008,3.1,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED5_6,MOD,PC,RO,2008,3.1,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED5_6,MOD,PC,SI,2008,1.1,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED5_6,MOD,PC,SK,2008,2.2,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED5_6,MOD,PC,TR,2008,3.3,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED5_6,NONE,PC,BG,2008,92.2,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED5_6,NONE,PC,CY,2008,96.6,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED5_6,NONE,PC,CZ,2008,90.9,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED5_6,NONE,PC,EL,2008,95.9,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED5_6,NONE,PC,ES,2008,97.6,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED5_6,NONE,PC,FR,2008,97.0,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED5_6,NONE,PC,HU,2008,92.7,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED5_6,NONE,PC,LV,2008,91.7,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED5_6,NONE,PC,MT,2008,95.3,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED5_6,NONE,PC,PL,2008,95.5,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED5_6,NONE,PC,RO,2008,96.6,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED5_6,NONE,PC,SI,2008,97.5,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED5_6,NONE,PC,SK,2008,96.8,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED5_6,NONE,PC,TR,2008,95.3,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED5_6,SEV,PC,BG,2008,2.6,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED5_6,SEV,PC,CY,2008,1.3,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED5_6,SEV,PC,CZ,2008,1.7,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED5_6,SEV,PC,EL,2008,1.4,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED5_6,SEV,PC,ES,2008,1.4,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED5_6,SEV,PC,FR,2008,1.8,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED5_6,SEV,PC,HU,2008,2.1,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED5_6,SEV,PC,LV,2008,3.5,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED5_6,SEV,PC,MT,2008,1.3,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED5_6,SEV,PC,PL,2008,1.4,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED5_6,SEV,PC,RO,2008,0.2,
