STRUCTURE,STRUCTURE_ID,freq,unit,quantile,hlth_pb,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y15-44,F,MT,2012,0.8,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y15-44,F,NL,2012,136.4,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y15-44,F,NO,2012,57.6,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y15-44,F,PL,2012,103.1,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y15-44,F,PT,2012,8.7,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y15-44,F,RO,2012,93.3,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y15-44,F,SE,2012,36.2,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y15-44,F,SI,2012,9.3,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y15-44,F,SK,2012,13.0,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y15-44,F,UK,2012,960.2,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y15-44,M,AT,2012,39.7,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y15-44,M,BE,2012,39.6,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y15-44,M,BG,2012,19.6,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y15-44,M,CY,2012,0.6,u
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y15-44,M,CZ,2012,28.0,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y15-44,M,DE,2012,783.4,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y15-44,M,DK,2012,44.2,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y15-44,M,EE,2012,2.2,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y15-44,M,EEA,2012,2588.4,e
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y15-44,M,EL,2012,10.8,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y15-44,M,ES,2012,152.7,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y15-44,M,EU27_2007,2012,2555.9,e
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y15-44,M,FI,2012,46.4,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y15-44,M,FR,2012,165.8,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y15-44,M,HU,2012,56.5,
