STRUCTURE,STRUCTURE_ID,freq,unit,yes_no,hlth_pb,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,M,IT,2011,1382.973,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,M,LT,2011,110.654,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,M,LU,2011,31.637,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,M,LV,2011,99.393,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,M,MT,2011,9.662,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,M,NL,2011,580.066,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,M,PL,2011,1709.305,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,M,PT,2011,488.13,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,M,RO,2011,678.291,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,M,SE,2011,355.879,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,M,SI,2011,124.762,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,M,SK,2011,183.786,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,M,TR,2011,3422.481,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,M,UK,2011,2868.136,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,T,AT,2011,1259.7,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,T,BE,2011,913.524,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,T,BG,2011,494.296,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,T,CH,2011,824.235,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,T,CY,2011,52.531,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,T,CZ,2011,591.123,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,T,DE,2011,6485.278,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,T,DK,2011,503.747,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,T,EE,2011,155.186,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,T,EL,2011,452.699,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,T,ES,2011,2263.478,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,T,FI,2011,696.105,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,T,FR,2011,8084.134,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,T,HR,2011,417.397,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,T,HU,2011,869.802,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,T,IE,2011,148.485,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,T,IS,2011,31.88,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,T,IT,2011,3085.548,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,T,LT,2011,259.938,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,T,LU,2011,69.648,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,T,LV,2011,237.842,
