STRUCTURE,STRUCTURE_ID,freq,deg_urb,sex,age,lev_diff,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,MOD,PC,IS,2019,19.6,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,MOD,PC,IT,2019,11.1,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,MOD,PC,LT,2019,35.9,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,MOD,PC,LU,2019,18.6,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,MOD,PC,LV,2019,30.0,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,MOD,PC,MT,2019,12.4,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,MOD,PC,NL,2019,24.2,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,MOD,PC,NO,2019,4.9,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,MOD,PC,PL,2019,23.7,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,MOD,PC,PT,2019,17.9,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,MOD,PC,RO,2019,18.4,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,MOD,PC,RS,2019,0,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,MOD,PC,SE,2019,18.6,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,MOD,PC,SI,2019,7.0,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,MOD,PC,SK,2019,26.5,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,MOD,PC,TR,2019,0,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,NONE,PC,AT,2019,75.5,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,NONE,PC,BE,2019,73.6,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,NONE,PC,BG,2019,85.3,
