STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,assist,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DPEH200(1.0),A,THS,PB1060,AS1015,F,AT,2012,100.2,
dataflow,ESTAT:HLTH_DPEH200(1.0),A,THS,PB1060,AS1015,F,BE,2012,295.1,
dataflow,ESTAT:HLTH_DPEH200(1.0),A,THS,PB1060,AS1015,F,BG,2012,210.6,
dataflow,ESTAT:HLTH_DPEH200(1.0),A,THS,PB1060,AS1015,F,CY,2012,16.3,
dataflow,ESTAT:HLTH_DPEH200(1.0),A,THS,PB1060,AS1015,F,CZ,2012,193.3,
dataflow,ESTAT:HLTH_DPEH200(1.0),A,THS,PB1060,AS1015,F,DE,2012,1687.9,
dataflow,ESTAT:HLTH_DPEH200(1.0),A,THS,PB1060,AS1015,F,DK,2012,98.5,
dataflow,ESTAT:HLTH_DPEH200(1.0),A,THS,PB1060,AS1015,F,EE,2012,53.5,
dataflow,ESTAT:HLTH_DPEH200(1.0),A,THS,PB1060,AS1015,F,EEA,2012,13370.8,e
dataflow,ESTAT:HLTH_DPEH200(1.0),A,THS,PB1060,AS1015,F,EL,2012,381.9,
dataflow,ESTAT:HLTH_DPEH200(1.0),A,THS,PB1060,AS1015,F,ES,2012,1715.6,
dataflow,ESTAT:HLTH_DPEH200(1.0),A,THS,PB1060,AS1015,F,EU27_2007,2012,13288.2,e
dataflow,ESTAT:HLTH_DPEH200(1.0),A,THS,PB1060,AS1015,F,FI,2012,58.2,
dataflow,ESTAT:HLTH_DPEH200(1.0),A,THS,PB1060,AS1015,F,FR,2012,1411.6,
dataflow,ESTAT:HLTH_DPEH200(1.0),A,THS,PB1060,AS1015,F,HU,2012,216.3,
dataflow,ESTAT:HLTH_DPEH200(1.0),A,THS,PB1060,AS1015,F,IS,2012,4.7,
dataflow,ESTAT:HLTH_DPEH200(1.0),A,THS,PB1060,AS1015,F,IT,2012,2243.5,
dataflow,ESTAT:HLTH_DPEH200(1.0),A,THS,PB1060,AS1015,F,LT,2012,128.2,
dataflow,ESTAT:HLTH_DPEH200(1.0),A,THS,PB1060,AS1015,F,LU,2012,7.9,
dataflow,ESTAT:HLTH_DPEH200(1.0),A,THS,PB1060,AS1015,F,LV,2012,42.3,
dataflow,ESTAT:HLTH_DPEH200(1.0),A,THS,PB1060,AS1015,F,MT,2012,6.1,
dataflow,ESTAT:HLTH_DPEH200(1.0),A,THS,PB1060,AS1015,F,NL,2012,313.3,
dataflow,ESTAT:HLTH_DPEH200(1.0),A,THS,PB1060,AS1015,F,NO,2012,77.8,
dataflow,ESTAT:HLTH_DPEH200(1.0),A,THS,PB1060,AS1015,F,PL,2012,842.6,
dataflow,ESTAT:HLTH_DPEH200(1.0),A,THS,PB1060,AS1015,F,PT,2012,280.6,
dataflow,ESTAT:HLTH_DPEH200(1.0),A,THS,PB1060,AS1015,F,RO,2012,593.3,
dataflow,ESTAT:HLTH_DPEH200(1.0),A,THS,PB1060,AS1015,F,SE,2012,140.7,
dataflow,ESTAT:HLTH_DPEH200(1.0),A,THS,PB1060,AS1015,F,SI,2012,39.6,
dataflow,ESTAT:HLTH_DPEH200(1.0),A,THS,PB1060,AS1015,F,SK,2012,88.7,
dataflow,ESTAT:HLTH_DPEH200(1.0),A,THS,PB1060,AS1015,F,UK,2012,2122.3,
dataflow,ESTAT:HLTH_DPEH200(1.0),A,THS,PB1060,AS1015,M,AT,2012,38.8,
dataflow,ESTAT:HLTH_DPEH200(1.0),A,THS,PB1060,AS1015,M,BE,2012,128.7,
dataflow,ESTAT:HLTH_DPEH200(1.0),A,THS,PB1060,AS1015,M,BG,2012,142.5,
dataflow,ESTAT:HLTH_DPEH200(1.0),A,THS,PB1060,AS1015,M,CY,2012,11.0,
dataflow,ESTAT:HLTH_DPEH200(1.0),A,THS,PB1060,AS1015,M,CZ,2012,114.8,
dataflow,ESTAT:HLTH_DPEH200(1.0),A,THS,PB1060,AS1015,M,DE,2012,776.4,
dataflow,ESTAT:HLTH_DPEH200(1.0),A,THS,PB1060,AS1015,M,DK,2012,65.3,
dataflow,ESTAT:HLTH_DPEH200(1.0),A,THS,PB1060,AS1015,M,EE,2012,21.0,
dataflow,ESTAT:HLTH_DPEH200(1.0),A,THS,PB1060,AS1015,M,EEA,2012,7379.5,e
dataflow,ESTAT:HLTH_DPEH200(1.0),A,THS,PB1060,AS1015,M,EL,2012,200.2,
dataflow,ESTAT:HLTH_DPEH200(1.0),A,THS,PB1060,AS1015,M,ES,2012,785.1,
