STRUCTURE,STRUCTURE_ID,freq,unit,wstatus,isco08,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_RS_PRS1(1.0),A,HAB_P,LIC,OC221,BE,1986,328.80,
dataflow,ESTAT:HLTH_RS_PRS1(1.0),A,HAB_P,LIC,OC221,BE,1987,318.99,
dataflow,ESTAT:HLTH_RS_PRS1(1.0),A,HAB_P,LIC,OC221,BE,1988,312.18,
dataflow,ESTAT:HLTH_RS_PRS1(1.0),A,HAB_P,LIC,OC221,BE,1989,305.11,
dataflow,ESTAT:HLTH_RS_PRS1(1.0),A,HAB_P,LIC,OC221,BE,1990,298.05,
dataflow,ESTAT:HLTH_RS_PRS1(1.0),A,HAB_P,LIC,OC221,BE,1991,291.89,
dataflow,ESTAT:HLTH_RS_PRS1(1.0),A,HAB_P,LIC,OC221,BE,1992,285.38,
dataflow,ESTAT:HLTH_RS_PRS1(1.0),A,HAB_P,LIC,OC221,BE,1993,278.75,
dataflow,ESTAT:HLTH_RS_PRS1(1.0),A,HAB_P,LIC,OC221,BE,1994,274.72,
dataflow,ESTAT:HLTH_RS_PRS1(1.0),A,HAB_P,LIC,OC221,BE,1995,268.23,
dataflow,ESTAT:HLTH_RS_PRS1(1.0),A,HAB_P,LIC,OC221,BE,1996,264.71,
dataflow,ESTAT:HLTH_RS_PRS1(1.0),A,HAB_P,LIC,OC221,BE,1997,263.15,
dataflow,ESTAT:HLTH_RS_PRS1(1.0),A,HAB_P,LIC,OC221,BE,1998,260.02,
dataflow,ESTAT:HLTH_RS_PRS1(1.0),A,HAB_P,LIC,OC221,BE,1999,253.81,
dataflow,ESTAT:HLTH_RS_PRS1(1.0),A,HAB_P,LIC,OC221,BE,2000,248.03,
dataflow,ESTAT:HLTH_RS_PRS1(1.0),A,HAB_P,LIC,OC221,BE,2001,244.71,
dataflow,ESTAT:HLTH_RS_PRS1(1.0),A,HAB_P,LIC,OC221,BE,2002,240.42,
dataflow,ESTAT:HLTH_RS_PRS1(1.0),A,HAB_P,LIC,OC221,BE,2003,228.67,
dataflow,ESTAT:HLTH_RS_PRS1(1.0),A,HAB_P,LIC,OC221,BE,2004,226.59,
dataflow,ESTAT:HLTH_RS_PRS1(1.0),A,HAB_P,LIC,OC221,BE,2005,218.17,b
dataflow,ESTAT:HLTH_RS_PRS1(1.0),A,HAB_P,LIC,OC221,BE,2006,216.10,
dataflow,ESTAT:HLTH_RS_PRS1(1.0),A,HAB_P,LIC,OC221,BE,2007,213.23,
dataflow,ESTAT:HLTH_RS_PRS1(1.0),A,HAB_P,LIC,OC221,BE,2008,210.65,
dataflow,ESTAT:HLTH_RS_PRS1(1.0),A,HAB_P,LIC,OC221,BE,2009,207.93,
dataflow,ESTAT:HLTH_RS_PRS1(1.0),A,HAB_P,LIC,OC221,BE,2010,205.99,
dataflow,ESTAT:HLTH_RS_PRS1(1.0),A,HAB_P,LIC,OC221,BE,2011,203.44,
dataflow,ESTAT:HLTH_RS_PRS1(1.0),A,HAB_P,LIC,OC221,BE,2012,199.53,
dataflow,ESTAT:HLTH_RS_PRS1(1.0),A,HAB_P,LIC,OC221,BE,2013,194.52,
dataflow,ESTAT:HLTH_RS_PRS1(1.0),A,HAB_P,LIC,OC221,BE,2014,190.66,
dataflow,ESTAT:HLTH_RS_PRS1(1.0),A,HAB_P,LIC,OC221,BE,2015,187.47,
dataflow,ESTAT:HLTH_RS_PRS1(1.0),A,HAB_P,LIC,OC221,BE,2016,183.06,
dataflow,ESTAT:HLTH_RS_PRS1(1.0),A,HAB_P,LIC,OC221,BE,2017,178.81,
dataflow,ESTAT:HLTH_RS_PRS1(1.0),A,HAB_P,LIC,OC221,BE,2018,171.68,
dataflow,ESTAT:HLTH_RS_PRS1(1.0),A,HAB_P,LIC,OC221,BE,2019,167.18,
dataflow,ESTAT:HLTH_RS_PRS1(1.0),A,HAB_P,LIC,OC221,BE,2020,163.86,
dataflow,ESTAT:HLTH_RS_PRS1(1.0),A,HAB_P,LIC,OC221,BE,2021,159.19,
dataflow,ESTAT:HLTH_RS_PRS1(1.0),A,HAB_P,LIC,OC221,CY,2014,285.31,bd
dataflow,ESTAT:HLTH_RS_PRS1(1.0),A,HAB_P,LIC,OC221,CY,2015,268.93,d
dataflow,ESTAT:HLTH_RS_PRS1(1.0),A,HAB_P,LIC,OC221,CY,2016,256.11,d
dataflow,ESTAT:HLTH_RS_PRS1(1.0),A,HAB_P,LIC,OC221,CY,2017,249.21,d
dataflow,ESTAT:HLTH_RS_PRS1(1.0),A,HAB_P,LIC,OC221,CY,2018,237.20,d
dataflow,ESTAT:HLTH_RS_PRS1(1.0),A,HAB_P,LIC,OC221,CY,2019,225.05,d
dataflow,ESTAT:HLTH_RS_PRS1(1.0),A,HAB_P,LIC,OC221,CZ,2000,234.32,
dataflow,ESTAT:HLTH_RS_PRS1(1.0),A,HAB_P,LIC,OC221,CZ,2001,233.42,
dataflow,ESTAT:HLTH_RS_PRS1(1.0),A,HAB_P,LIC,OC221,CZ,2002,232.96,
