STRUCTURE,STRUCTURE_ID,freq,unit,quantile,assist,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,M,NL,2012,86.5,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,M,NO,2012,31.7,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,M,PL,2012,205.0,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,M,PT,2012,16.0,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,M,RO,2012,325.1,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,M,SE,2012,39.4,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,M,SI,2012,7.5,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,M,SK,2012,34.4,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,M,UK,2012,1019.1,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,T,AT,2012,65.3,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,T,BE,2012,143.3,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,T,BG,2012,217.2,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,T,CY,2012,6.7,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,T,CZ,2012,125.6,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,T,DE,2012,1640.2,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,T,DK,2012,102.4,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,T,EE,2012,45.4,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,T,EEA,2012,10169.0,e
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,T,EL,2012,176.3,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,T,ES,2012,1181.7,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,T,EU27_2007,2012,10071.0,e
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,T,FI,2012,58.9,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,T,FR,2012,1066.5,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,T,HU,2012,183.5,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,T,IS,2012,2.6,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,T,IT,2012,886.1,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,T,LT,2012,60.6,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,T,LU,2012,9.7,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,T,LV,2012,31.1,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,T,MT,2012,6.3,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,T,NL,2012,244.9,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,T,NO,2012,95.3,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,T,PL,2012,474.9,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,T,PT,2012,55.5,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,T,RO,2012,839.3,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,T,SE,2012,104.1,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,T,SI,2012,34.9,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,T,SK,2012,96.9,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,T,UK,2012,2213.4,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,F,AT,2012,135.9,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,F,BE,2012,95.8,
