STRUCTURE,STRUCTURE_ID,freq,indic_he,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,DK,1997,60.7,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,DK,1998,61.3,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,DK,1999,60.8,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,DK,2000,61.9,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,DK,2001,60.4,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,DK,2002,61.0,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,DK,2003,60.9,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,EL,1995,69.2,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,EL,1996,69.6,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,EL,1997,68.7,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,EL,1998,68.3,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,EL,1999,69.4,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,EL,2000,68.2,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,EL,2001,68.8,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,EL,2002,68.5,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,EL,2003,68.4,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,ES,1995,67.7,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,ES,1996,68.4,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,ES,1997,68.2,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,ES,1998,68.2,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,ES,1999,69.5,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,ES,2000,69.3,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,ES,2001,69.2,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,ES,2002,69.9,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,ES,2003,70.2,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,EU15,1999,63.9,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,EU15,2000,64.4,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,EU15,2001,65.0,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,EU15,2002,65.8,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,EU15,2003,66.0,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,FI,1996,57.7,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,FI,1997,57.6,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,FI,1998,58.3,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,FI,1999,57.4,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,FI,2000,56.8,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,FI,2001,56.9,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,FI,2002,56.8,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,FI,2003,56.5,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,FR,1995,62.4,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,FR,1996,62.5,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,FR,1997,63.1,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,FR,1998,62.8,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,FR,1999,63.3,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,FR,2000,63.2,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,FR,2001,63.3,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,FR,2002,63.7,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,FR,2003,63.9,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,HU,2003,57.8,p
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,IE,1999,67.6,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,IE,2000,66.9,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,IE,2001,66.5,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,IE,2002,65.9,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,IE,2003,65.4,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,IT,1995,70.0,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,IT,1996,70.5,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,IT,1997,71.3,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,IT,1998,71.3,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,IT,1999,72.1,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,IT,2000,72.9,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,IT,2001,73.0,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,IT,2002,73.9,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,IT,2003,74.4,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,MT,2002,65.7,p
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,NL,1995,62.1,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,NL,1996,61.5,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,NL,1997,61.4,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,NL,1998,61.1,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,NL,1999,61.4,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,NL,2000,60.2,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,NL,2001,59.4,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,NL,2002,59.3,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,NL,2003,58.8,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,NO,2003,64.2,p
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,PL,1996,66.8,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,PL,2002,68.9,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,PT,1995,63.1,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,PT,1996,60.5,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,PT,1997,60.4,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,PT,1998,61.1,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,PT,1999,60.7,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,PT,2000,62.2,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,PT,2001,62.7,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,PT,2002,61.8,e
