STRUCTURE,STRUCTURE_ID,freq,unit,barrier,wstatus,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,F,AT,2012,23.6,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,F,BE,2012,43.2,
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,F,BG,2012,11.6,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,F,CY,2012,,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,F,CZ,2012,,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,F,DE,2012,335.6,
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,F,DK,2012,22.6,
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,F,EE,2012,3.4,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,F,EEA,2012,1419.6,e
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,F,EL,2012,8.2,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,F,ES,2012,92.0,
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,F,EU27_2007,2012,1385.9,e
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,F,FI,2012,14.5,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,F,FR,2012,151.5,
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,F,HU,2012,25.2,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,F,IS,2012,,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,F,IT,2012,,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,F,LT,2012,,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,F,LU,2012,2.1,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,F,LV,2012,3.4,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,F,MT,2012,,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,F,NL,2012,91.3,
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,F,NO,2012,32.9,
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,F,PL,2012,48.1,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,F,PT,2012,,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,F,RO,2012,44.1,
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,F,SE,2012,28.2,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,F,SI,2012,8.3,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,F,SK,2012,5.6,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,F,UK,2012,350.8,
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,M,AT,2012,35.6,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,M,BE,2012,28.8,
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,M,BG,2012,8.9,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,M,CY,2012,,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,M,CZ,2012,,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,M,DE,2012,579.5,
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,M,DK,2012,23.2,
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,M,EE,2012,2.9,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,M,EEA,2012,1566.7,e
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,M,EL,2012,20.9,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,M,ES,2012,81.1,
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,M,EU27_2007,2012,1544.6,e
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,M,FI,2012,11.2,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,M,FR,2012,122.5,
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,M,HU,2012,21.4,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,M,IS,2012,,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,M,IT,2012,,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,M,LT,2012,,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,M,LU,2012,2.0,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,M,LV,2012,1.3,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,M,MT,2012,,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,M,NL,2012,48.2,
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,M,NO,2012,21.9,
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,M,PL,2012,29.6,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,M,PT,2012,,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,M,RO,2012,50.2,
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,M,SE,2012,21.9,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,M,SI,2012,10.5,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,M,SK,2012,15.0,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,M,UK,2012,394.8,
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,T,AT,2012,59.2,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,T,BE,2012,71.9,
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,T,BG,2012,20.5,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,T,CY,2012,,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,T,CZ,2012,,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,T,DE,2012,915.1,
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,T,DK,2012,45.7,
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,T,EE,2012,6.3,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,T,EEA,2012,2986.3,e
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,T,EL,2012,29.1,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,T,ES,2012,173.1,
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,T,EU27_2007,2012,2930.5,e
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,T,FI,2012,25.7,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,T,FR,2012,274.1,
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,T,HU,2012,46.5,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,T,IS,2012,,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,T,IT,2012,,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,T,LT,2012,,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,T,LU,2012,4.1,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,T,LV,2012,4.7,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,T,MT,2012,,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,T,NL,2012,139.5,
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,T,NO,2012,54.8,
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,T,PL,2012,77.7,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,T,PT,2012,,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,T,RO,2012,94.3,
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,T,SE,2012,50.1,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,T,SI,2012,18.8,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,T,SK,2012,20.5,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,EMP,T,UK,2012,745.5,
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,INAC_OTH,F,AT,2012,10.8,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,INAC_OTH,F,BE,2012,135.7,
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,INAC_OTH,F,BG,2012,25.9,
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,INAC_OTH,F,CY,2012,8.2,
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,INAC_OTH,F,CZ,2012,18.2,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,INAC_OTH,F,DE,2012,499.8,
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,INAC_OTH,F,DK,2012,54.7,
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,INAC_OTH,F,EE,2012,9.0,
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,INAC_OTH,F,EEA,2012,3954.3,e
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,INAC_OTH,F,EL,2012,114.5,
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,INAC_OTH,F,ES,2012,451.0,
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,INAC_OTH,F,EU27_2007,2012,3896.8,e
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,INAC_OTH,F,FI,2012,,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,INAC_OTH,F,FR,2012,444.6,
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,INAC_OTH,F,HU,2012,143.9,
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,INAC_OTH,F,IS,2012,2.0,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,INAC_OTH,F,IT,2012,438.9,
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,INAC_OTH,F,LT,2012,32.8,
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,INAC_OTH,F,LU,2012,3.2,u
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,INAC_OTH,F,LV,2012,7.6,
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,INAC_OTH,F,MT,2012,6.0,
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,INAC_OTH,F,NL,2012,139.5,
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,INAC_OTH,F,NO,2012,55.5,
dataflow,ESTAT:HLTH_DSI095(1.0),A,THS,ACS_BLD,INAC_OTH,F,PL,2012,355.2,
