STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y15-24,F,DE,2011,286.294,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y15-24,F,EE,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y15-24,F,EL,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y15-24,F,ES,2011,15.888,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y15-24,F,EU28,2011,403.164,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y15-24,F,FI,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y15-24,F,FR,2011,83.134,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y15-24,F,IE,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y15-24,F,IS,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y15-24,F,IT,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y15-24,F,LU,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y15-24,F,LV,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y15-24,F,NL,2011,2.454,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y15-24,F,PT,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y15-24,F,SE,2011,5.024,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y15-24,F,SK,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y15-24,F,UK,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y15-24,M,CH,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y15-24,M,CZ,2011,,u
