STRUCTURE,STRUCTURE_ID,freq,unit,severity,age,sex,nace_r1,physact,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,C,PHA_5,EU_V,2005,10.9,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,C,PHA_6,EU_V,2005,23.4,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,C,PHA_7,EU_V,2005,1.1,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,C,PHA_9,EU_V,2005,1.8,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,C,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,D,PHA_1,EU_V,2005,14.8,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,D,PHA_2,EU_V,2005,17.5,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,D,PHA_3,EU_V,2005,4.9,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,D,PHA_4,EU_V,2005,30.1,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,D,PHA_5,EU_V,2005,12.3,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,D,PHA_6,EU_V,2005,18.4,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,D,PHA_7,EU_V,2005,1.0,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,D,PHA_9,EU_V,2005,1.0,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,D,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,E,PHA_1,EU_V,2005,4.3,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,E,PHA_2,EU_V,2005,14.8,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,E,PHA_3,EU_V,2005,10.1,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,E,PHA_4,EU_V,2005,22.9,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,E,PHA_5,EU_V,2005,12.2,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,E,PHA_6,EU_V,2005,32.8,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,E,PHA_7,EU_V,2005,1.5,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,E,PHA_9,EU_V,2005,1.5,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,E,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,F,PHA_1,EU_V,2005,4.3,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,F,PHA_2,EU_V,2005,21.7,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,F,PHA_3,EU_V,2005,4.6,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,F,PHA_4,EU_V,2005,25.7,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,F,PHA_5,EU_V,2005,13.6,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,F,PHA_6,EU_V,2005,27.7,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,F,PHA_7,EU_V,2005,1.2,
