STRUCTURE,STRUCTURE_ID,freq,lev_limit,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,DK,2007,4.0,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,DK,2013,2.0,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,DK,2020,1.5,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,EA19,2007,4.2,d
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,EA19,2013,1.9,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,EA19,2020,1.7,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,EE,2007,2.4,d
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,EE,2013,1.7,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,EE,2020,1.1,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,EL,2007,1.5,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,EL,2013,0.4,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,EL,2020,0.3,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,ES,2007,1.6,d
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,ES,2013,1.2,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,ES,2020,1.4,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,EU27_2020,2007,4.0,d
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,EU27_2020,2013,2.2,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,EU27_2020,2020,2.9,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,EU28,2007,3.6,d
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,EU28,2013,2.0,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,FI,2007,8.1,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,FI,2013,8.0,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,FI,2020,8.8,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,FR,2007,14.6,d
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,FR,2013,2.9,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,FR,2020,1.9,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,HR,2007,0.4,u
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,HR,2013,0.3,u
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,HR,2020,0.5,u
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,HU,2007,1.5,d
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,HU,2013,0.8,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,HU,2020,0.3,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,IE,2007,1.1,d
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,IE,2013,0.6,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,IE,2020,0.7,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,IS,2007,1.5,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,IS,2020,1.1,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,IT,2007,2.2,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,IT,2013,1.3,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,IT,2020,1.6,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,LT,2007,0.5,u
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,LT,2013,0.7,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,LT,2020,0.5,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,LU,2007,1.5,d
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,LU,2013,1.4,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,LU,2020,0.9,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,LV,2007,,u
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,LV,2013,,u
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,LV,2020,0.1,u
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,MT,2007,1.2,u
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,MT,2013,0.6,u
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,MT,2020,0.9,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,NL,2007,3.1,d
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,NL,2020,1.0,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,NO,2007,3.2,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,NO,2013,4.8,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,NO,2020,2.3,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,PL,2007,5.8,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,PL,2013,4.3,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,PL,2020,16.4,d
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,PT,2007,0.6,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,PT,2013,1.4,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,PT,2020,1.0,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,RO,2007,0.2,d
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,RO,2013,0.1,u
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,RO,2020,0.1,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,SE,2007,6.6,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,SE,2013,9.3,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,SE,2020,7.1,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,SI,2007,0.8,du
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,SI,2013,0.8,u
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,SI,2020,1.1,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,SK,2007,1.1,d
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,SK,2013,1.8,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,SK,2020,1.2,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,TR,2013,0.2,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,UK,2007,1.0,
