STRUCTURE,STRUCTURE_ID,freq,unit,barrier,hlth_pb,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,F,AT,2012,77.0,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,F,BE,2012,87.8,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,F,BG,2012,15.6,u
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,F,CY,2012,,u
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,F,CZ,2012,64.5,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,F,DE,2012,511.8,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,F,DK,2012,14.8,u
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,F,EE,2012,13.8,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,F,EEA,2012,3052.3,e
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,F,EL,2012,38.7,u
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,F,ES,2012,300.6,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,F,EU27_2007,2012,3038.1,e
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,F,FI,2012,10.7,u
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,F,FR,2012,324.0,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,F,HU,2012,41.5,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,F,IS,2012,2.3,u
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,F,IT,2012,437.9,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,F,LT,2012,24.3,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,F,LU,2012,4.3,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,F,LV,2012,9.8,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,F,MT,2012,,u
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,F,NL,2012,120.6,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,F,NO,2012,11.9,u
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,F,PL,2012,340.1,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,F,PT,2012,69.1,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,F,RO,2012,65.6,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,F,SE,2012,35.0,u
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,F,SI,2012,10.7,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,F,SK,2012,30.2,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,F,UK,2012,386.1,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,M,AT,2012,35.6,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,M,BE,2012,46.6,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,M,BG,2012,9.0,u
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,M,CY,2012,,u
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,M,CZ,2012,46.3,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,M,DE,2012,412.2,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,M,DK,2012,8.4,u
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,M,EE,2012,4.4,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,M,EEA,2012,1891.5,e
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,M,EL,2012,20.8,u
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,M,ES,2012,144.0,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,M,EU27_2007,2012,1885.4,e
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,M,FI,2012,12.5,u
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,M,FR,2012,203.2,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,M,HU,2012,28.1,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,M,IS,2012,0.7,u
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,M,IT,2012,234.7,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,M,LT,2012,9.4,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,M,LU,2012,4.1,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,M,LV,2012,8.0,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,M,MT,2012,,u
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,M,NL,2012,80.4,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,M,NO,2012,5.4,u
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,M,PL,2012,124.3,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,M,PT,2012,35.3,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,M,RO,2012,72.9,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,M,SE,2012,14.9,u
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,M,SI,2012,8.6,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,M,SK,2012,24.3,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,M,UK,2012,296.2,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,T,AT,2012,112.6,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,T,BE,2012,134.3,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,T,BG,2012,24.7,u
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,T,CY,2012,,u
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,T,CZ,2012,110.7,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,T,DE,2012,924.1,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,T,DK,2012,23.2,u
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,T,EE,2012,18.1,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,T,EEA,2012,4943.8,e
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,T,EL,2012,59.6,u
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,T,ES,2012,444.6,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,T,EU27_2007,2012,4923.5,e
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,T,FI,2012,23.1,u
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,T,FR,2012,527.3,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,T,HU,2012,69.6,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,T,IS,2012,3.0,u
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,T,IT,2012,672.6,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,T,LT,2012,33.7,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,T,LU,2012,8.4,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,T,LV,2012,17.8,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,T,MT,2012,,u
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,T,NL,2012,201.1,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,T,NO,2012,17.2,u
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,T,PL,2012,464.4,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,T,PT,2012,104.4,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,T,RO,2012,138.4,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,T,SE,2012,49.9,u
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,T,SI,2012,19.3,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,T,SK,2012,54.5,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1050,T,UK,2012,682.3,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,F,AT,2012,252.9,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,F,BE,2012,306.3,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,F,BG,2012,323.2,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,F,CY,2012,18.9,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,F,CZ,2012,158.2,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,F,DE,2012,2377.0,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,F,DK,2012,159.2,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,F,EE,2012,44.9,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,F,EEA,2012,11381.4,e
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,F,EL,2012,304.2,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,F,ES,2012,842.4,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,F,EU27_2007,2012,11231.5,e
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,F,FI,2012,143.8,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,F,FR,2012,1022.6,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,F,HU,2012,320.4,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,F,IS,2012,8.2,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,F,IT,2012,874.1,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,F,LT,2012,103.6,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,F,LU,2012,10.0,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,F,LV,2012,88.8,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,F,MT,2012,10.5,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,F,NL,2012,406.2,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,F,NO,2012,141.6,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,F,PL,2012,911.4,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,F,PT,2012,219.3,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,F,RO,2012,428.0,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,F,SE,2012,290.1,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,F,SI,2012,49.5,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,F,SK,2012,189.8,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,F,UK,2012,1376.3,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,M,AT,2012,233.0,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,M,BE,2012,238.8,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,M,BG,2012,252.8,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,M,CY,2012,15.5,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,M,CZ,2012,105.0,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,M,DE,2012,2439.6,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,M,DK,2012,139.5,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,M,EE,2012,25.9,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,M,EEA,2012,9896.0,e
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,M,EL,2012,243.6,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,M,ES,2012,725.5,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,M,EU27_2007,2012,9781.8,e
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,M,FI,2012,164.9,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,M,FR,2012,928.9,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,M,HU,2012,261.8,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,M,IS,2012,8.1,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,M,IT,2012,756.6,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,M,LT,2012,75.4,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,M,LU,2012,12.3,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,M,LV,2012,42.8,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,M,MT,2012,8.1,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,M,NL,2012,369.6,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,M,NO,2012,106.0,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,M,PL,2012,596.7,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,M,PT,2012,185.4,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,M,RO,2012,375.9,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,M,SE,2012,234.8,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,M,SI,2012,51.3,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,M,SK,2012,96.3,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,M,UK,2012,1201.7,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,T,AT,2012,485.9,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,T,BE,2012,545.1,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,T,BG,2012,576.0,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,T,CY,2012,34.4,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,T,CZ,2012,263.2,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,T,DE,2012,4816.5,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,T,DK,2012,298.7,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,T,EE,2012,70.8,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,T,EEA,2012,21277.3,e
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,T,EL,2012,547.8,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,T,ES,2012,1567.9,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,T,EU27_2007,2012,21013.3,e
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,T,FI,2012,308.7,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,T,FR,2012,1951.5,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,T,HU,2012,582.2,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,T,IS,2012,16.4,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,T,IT,2012,1630.7,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,T,LT,2012,179.0,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,T,LU,2012,22.3,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,T,LV,2012,131.7,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,T,MT,2012,18.6,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,T,NL,2012,775.8,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,T,NO,2012,247.6,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,T,PL,2012,1508.2,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,T,PT,2012,404.7,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,T,RO,2012,803.9,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,T,SE,2012,525.0,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,T,SI,2012,100.8,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,T,SK,2012,286.1,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,PB1051,T,UK,2012,2578.0,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,TOTAL,F,AT,2012,329.9,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,TOTAL,F,BE,2012,394.1,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,TOTAL,F,BG,2012,338.8,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,TOTAL,F,CY,2012,21.4,
dataflow,ESTAT:HLTH_DSI070(1.0),A,THS,PTP_LD1,TOTAL,F,CZ,2012,222.7,
