STRUCTURE,STRUCTURE_ID,freq,factor,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,F,SI,2020,,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,F,SK,2020,,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,M,AT,2020,2.4,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,M,BE,2020,1.8,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,M,BG,2020,,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,M,CH,2020,8.8,b
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,M,CY,2020,3.8,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,M,CZ,2020,3.1,b
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,M,DE,2020,,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,M,DK,2020,2.6,b
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,M,EA19,2020,1.8,b
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,M,EE,2020,,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,M,EL,2020,4.2,b
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,M,ES,2020,1.4,b
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,M,EU27_2020,2020,1.7,b
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,M,FI,2020,2.9,b
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,M,FR,2020,2.3,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,M,HR,2020,,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,M,HU,2020,,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,M,IE,2020,3.3,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,M,IS,2020,9.0,b
