STRUCTURE,STRUCTURE_ID,freq,factor,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-34,LU,2020,19.3,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-34,LV,2013,29.4,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-34,LV,2020,22.8,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-34,MT,2013,,bu
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-34,MT,2020,7.7,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-34,NL,2020,20.4,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-34,NO,2013,1.6,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-34,NO,2020,4.9,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-34,PL,2013,11.1,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-34,PL,2020,11.7,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-34,PT,2013,32.5,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-34,PT,2020,17.7,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-34,RO,2013,7.8,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-34,RO,2020,7.3,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-34,SE,2013,10.8,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-34,SE,2020,8.8,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-34,SI,2013,6.1,bu
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-34,SI,2020,8.2,bu
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-34,SK,2013,7.2,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-34,SK,2020,6.8,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-34,TR,2013,6.8,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-34,UK,2013,,bu
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,AT,2013,22.0,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,AT,2020,20.0,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,BE,2013,13.9,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,BE,2020,11.8,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,BG,2013,11.9,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,BG,2020,17.2,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,CH,2013,17.9,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,CH,2020,13.7,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,CY,2013,15.2,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,CY,2020,5.8,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,CZ,2013,8.9,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,CZ,2020,6.6,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,DE,2013,2.1,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,DE,2020,1.9,bu
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,DK,2013,,bu
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,DK,2020,1.3,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,EA19,2013,14.0,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,EA19,2020,11.6,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,EE,2013,32.7,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,EE,2020,23.8,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,EL,2013,12.1,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,EL,2020,12.5,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,ES,2013,11.2,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,ES,2020,13.6,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,EU27_2020,2013,12.8,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,EU27_2020,2020,11.1,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,EU28,2013,12.7,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,FI,2013,10.5,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,FI,2020,13.4,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,FR,2013,20.3,bd
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,FR,2020,14.0,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,HR,2013,5.7,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,HR,2020,5.7,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,HU,2013,16.0,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,HU,2020,14.2,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,IE,2013,6.8,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,IE,2020,8.7,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,IS,2020,5.7,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,IT,2013,24.7,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,IT,2020,14.6,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,LT,2013,16.4,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,LT,2020,7.3,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,LU,2013,28.9,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,LU,2020,19.3,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,LV,2013,25.7,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,LV,2020,21.2,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,MT,2013,3.2,bu
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,MT,2020,8.8,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,NL,2020,22.2,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,NO,2013,2.6,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,NO,2020,7.6,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,PL,2013,9.7,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,PL,2020,10.8,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,PT,2013,29.2,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,PT,2020,15.7,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,RO,2013,6.3,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,RO,2020,7.3,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,SE,2013,12.8,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,SE,2020,8.1,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,SI,2013,8.1,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,SI,2020,10.1,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,SK,2013,7.7,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,SK,2020,8.8,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,TR,2013,5.5,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-64,UK,2013,,bu
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-74,AT,2020,19.9,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-74,BE,2020,11.8,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-74,BG,2020,17.1,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-74,CH,2020,13.4,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-74,CY,2020,5.7,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-74,CZ,2020,6.6,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-74,DE,2020,1.9,bu
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-74,DK,2020,1.3,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-74,EA19,2020,11.6,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-74,EE,2020,23.4,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-74,EL,2020,12.4,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-74,ES,2020,13.6,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-74,EU27_2020,2020,11.0,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-74,FI,2020,13.2,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-74,FR,2020,13.9,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-74,HR,2020,5.6,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-74,HU,2020,14.1,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-74,IE,2020,8.6,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-74,IS,2020,6.0,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-74,IT,2020,14.5,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-74,LT,2020,7.3,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-74,LU,2020,19.2,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-74,LV,2020,20.9,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-74,MT,2020,8.9,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-74,NL,2020,22.1,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-74,NO,2020,7.5,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-74,PL,2020,10.8,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-74,PT,2020,15.4,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-74,RO,2020,7.1,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-74,SE,2020,8.2,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-74,SI,2020,10.0,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-74,SK,2020,8.7,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y35-54,AT,2013,21.6,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y35-54,AT,2020,20.3,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y35-54,BE,2013,13.4,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y35-54,BE,2020,12.5,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y35-54,BG,2013,11.9,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y35-54,BG,2020,17.8,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y35-54,CH,2013,18.4,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y35-54,CH,2020,13.4,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y35-54,CY,2013,15.2,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y35-54,CY,2020,6.7,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y35-54,CZ,2013,9.5,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y35-54,CZ,2020,6.5,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y35-54,DE,2013,2.2,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y35-54,DE,2020,2.1,bu
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y35-54,DK,2013,,bu
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y35-54,DK,2020,1.8,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y35-54,EA19,2013,14.7,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y35-54,EA19,2020,12.5,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y35-54,EE,2013,34.1,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y35-54,EE,2020,24.8,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y35-54,EL,2013,12.8,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y35-54,EL,2020,13.1,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y35-54,ES,2013,12.1,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y35-54,ES,2020,14.3,b
