STRUCTURE,STRUCTURE_ID,freq,age,deg_urb,lev_diff,assist,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,LACK,PC,IE,2019,25.2,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,LACK,PC,IS,2019,33.8,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,LACK,PC,IT,2019,17.2,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,LACK,PC,LT,2019,20.4,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,LACK,PC,LU,2019,28.3,u
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,LACK,PC,LV,2019,15.0,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,LACK,PC,MT,2019,26.1,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,LACK,PC,NL,2019,12.3,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,LACK,PC,NO,2019,,u
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,LACK,PC,PL,2019,26.1,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,LACK,PC,PT,2019,26.9,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,LACK,PC,RO,2019,42.3,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,LACK,PC,RS,2019,0,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,LACK,PC,SE,2019,26.4,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,LACK,PC,SI,2019,18.2,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,LACK,PC,SK,2019,26.3,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,LACK,PC,TR,2019,0,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,NND,PC,AT,2019,36.5,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,NND,PC,BE,2019,66.5,u
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,NND,PC,BG,2019,30.7,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,NND,PC,CY,2019,38.6,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,NND,PC,CZ,2019,80.6,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,NND,PC,DE,2019,39.1,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,NND,PC,DK,2019,57.5,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,NND,PC,EE,2019,9.1,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,NND,PC,EL,2019,22.4,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,NND,PC,ES,2019,22.4,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,NND,PC,EU27_2020,2019,40.7,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,NND,PC,FI,2019,53.4,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,NND,PC,FR,2019,32.2,
