STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,worktime,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DLM110(1.0),A,THS,PB1040,H1-9,TOTAL,F,AT,2011,14.333,u
dataflow,ESTAT:HLTH_DLM110(1.0),A,THS,PB1040,H1-9,TOTAL,F,BE,2011,3.709,u
dataflow,ESTAT:HLTH_DLM110(1.0),A,THS,PB1040,H1-9,TOTAL,F,BG,2011,,u
dataflow,ESTAT:HLTH_DLM110(1.0),A,THS,PB1040,H1-9,TOTAL,F,CH,2011,42.633,
dataflow,ESTAT:HLTH_DLM110(1.0),A,THS,PB1040,H1-9,TOTAL,F,CY,2011,,u
dataflow,ESTAT:HLTH_DLM110(1.0),A,THS,PB1040,H1-9,TOTAL,F,CZ,2011,1.701,u
dataflow,ESTAT:HLTH_DLM110(1.0),A,THS,PB1040,H1-9,TOTAL,F,DE,2011,134.833,
dataflow,ESTAT:HLTH_DLM110(1.0),A,THS,PB1040,H1-9,TOTAL,F,DK,2011,8.368,
dataflow,ESTAT:HLTH_DLM110(1.0),A,THS,PB1040,H1-9,TOTAL,F,EE,2011,,u
dataflow,ESTAT:HLTH_DLM110(1.0),A,THS,PB1040,H1-9,TOTAL,F,EL,2011,,u
dataflow,ESTAT:HLTH_DLM110(1.0),A,THS,PB1040,H1-9,TOTAL,F,ES,2011,21.658,
dataflow,ESTAT:HLTH_DLM110(1.0),A,THS,PB1040,H1-9,TOTAL,F,EU28,2011,470.528,
dataflow,ESTAT:HLTH_DLM110(1.0),A,THS,PB1040,H1-9,TOTAL,F,FI,2011,5.983,
dataflow,ESTAT:HLTH_DLM110(1.0),A,THS,PB1040,H1-9,TOTAL,F,FR,2011,79.495,u
dataflow,ESTAT:HLTH_DLM110(1.0),A,THS,PB1040,H1-9,TOTAL,F,HR,2011,,u
dataflow,ESTAT:HLTH_DLM110(1.0),A,THS,PB1040,H1-9,TOTAL,F,HU,2011,,u
dataflow,ESTAT:HLTH_DLM110(1.0),A,THS,PB1040,H1-9,TOTAL,F,IE,2011,,u
dataflow,ESTAT:HLTH_DLM110(1.0),A,THS,PB1040,H1-9,TOTAL,F,IS,2011,,u
