STRUCTURE,STRUCTURE_ID,freq,unit,sex,n_injury,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,F,GE5,IT,1999,0.3,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,F,GE5,LU,1999,0.0,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,F,GE5,PT,1999,0.0,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,F,GE5,SE,1999,1.2,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,F,GE5,UK,1999,1.1,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,F,TOTAL,DE,1999,24.2,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,F,TOTAL,DK,1999,36.0,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,F,TOTAL,EL,1999,14.2,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,F,TOTAL,ES,1999,18.3,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,F,TOTAL,EU_V,1999,28.6,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,F,TOTAL,FI,1999,35.1,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,F,TOTAL,HU,1999,23.1,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,F,TOTAL,IE,1999,24.0,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,F,TOTAL,IT,1999,23.1,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,F,TOTAL,LU,1999,19.7,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,F,TOTAL,PT,1999,23.7,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,F,TOTAL,SE,1999,44.1,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,F,TOTAL,UK,1999,34.2,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,1,DE,1999,75.8,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,1,DK,1999,54.3,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,1,EL,1999,82.2,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,1,ES,1999,78.1,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,1,EU_V,1999,61.5,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,1,FI,1999,52.8,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,1,HU,1999,58.2,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,1,IE,1999,61.7,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,1,IT,1999,70.3,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,1,LU,1999,77.0,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,1,PT,1999,67.9,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,1,SE,1999,45.0,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,1,UK,1999,51.2,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,2,DK,1999,5.7,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,2,EL,1999,3.6,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,2,ES,1999,2.0,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,2,EU_V,1999,6.1,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,2,FI,1999,8.1,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,2,HU,1999,10.8,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,2,IE,1999,9.4,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,2,IT,1999,4.8,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,2,LU,1999,3.4,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,2,PT,1999,6.7,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,2,SE,1999,4.6,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,2,UK,1999,8.7,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,3,DK,1999,1.8,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,3,EL,1999,0.0,
