STRUCTURE,STRUCTURE_ID,freq,sex,age,isced97,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_DE9(1.0),A,F,Y15-24,ED0-2,EL,2008,51.0,
dataflow,ESTAT:HLTH_EHIS_DE9(1.0),A,F,Y15-24,ED0-2,ES,2008,45.7,
dataflow,ESTAT:HLTH_EHIS_DE9(1.0),A,F,Y15-24,ED0-2,HU,2008,54.2,
dataflow,ESTAT:HLTH_EHIS_DE9(1.0),A,F,Y15-24,ED0-2,LV,2008,64.8,
dataflow,ESTAT:HLTH_EHIS_DE9(1.0),A,F,Y15-24,ED0-2,PL,2008,40.7,
dataflow,ESTAT:HLTH_EHIS_DE9(1.0),A,F,Y15-24,ED0-2,SK,2008,37.5,
dataflow,ESTAT:HLTH_EHIS_DE9(1.0),A,F,Y15-24,ED3_4,AT,2008,26.6,
dataflow,ESTAT:HLTH_EHIS_DE9(1.0),A,F,Y15-24,ED3_4,BG,2008,31.4,
dataflow,ESTAT:HLTH_EHIS_DE9(1.0),A,F,Y15-24,ED3_4,CY,2008,33.2,
dataflow,ESTAT:HLTH_EHIS_DE9(1.0),A,F,Y15-24,ED3_4,CZ,2008,58.8,
dataflow,ESTAT:HLTH_EHIS_DE9(1.0),A,F,Y15-24,ED3_4,EL,2008,61.8,
dataflow,ESTAT:HLTH_EHIS_DE9(1.0),A,F,Y15-24,ED3_4,ES,2008,39.3,
dataflow,ESTAT:HLTH_EHIS_DE9(1.0),A,F,Y15-24,ED3_4,HU,2008,55.2,
dataflow,ESTAT:HLTH_EHIS_DE9(1.0),A,F,Y15-24,ED3_4,LV,2008,61.8,
dataflow,ESTAT:HLTH_EHIS_DE9(1.0),A,F,Y15-24,ED3_4,MT,2008,23.0,
dataflow,ESTAT:HLTH_EHIS_DE9(1.0),A,F,Y15-24,ED3_4,PL,2008,49.2,
dataflow,ESTAT:HLTH_EHIS_DE9(1.0),A,F,Y15-24,ED3_4,SK,2008,41.7,
dataflow,ESTAT:HLTH_EHIS_DE9(1.0),A,F,Y15-24,ED5_6,AT,2008,27.8,
dataflow,ESTAT:HLTH_EHIS_DE9(1.0),A,F,Y15-24,ED5_6,CY,2008,37.7,
dataflow,ESTAT:HLTH_EHIS_DE9(1.0),A,F,Y15-24,ED5_6,EL,2008,54.1,u
dataflow,ESTAT:HLTH_EHIS_DE9(1.0),A,F,Y15-24,ED5_6,ES,2008,33.5,
dataflow,ESTAT:HLTH_EHIS_DE9(1.0),A,F,Y15-24,ED5_6,HU,2008,52.9,u
dataflow,ESTAT:HLTH_EHIS_DE9(1.0),A,F,Y15-24,ED5_6,LV,2008,58.3,
dataflow,ESTAT:HLTH_EHIS_DE9(1.0),A,F,Y15-24,ED5_6,MT,2008,27.8,
