STRUCTURE,STRUCTURE_ID,freq,owner,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_RS_BDS2(1.0),A,PRV_NP,HAB_P,AT,1985,609.54,
dataflow,ESTAT:HLTH_RS_BDS2(1.0),A,PRV_NP,HAB_P,AT,1986,602.59,
dataflow,ESTAT:HLTH_RS_BDS2(1.0),A,PRV_NP,HAB_P,AT,1987,605.77,
dataflow,ESTAT:HLTH_RS_BDS2(1.0),A,PRV_NP,HAB_P,AT,1988,606.00,
dataflow,ESTAT:HLTH_RS_BDS2(1.0),A,PRV_NP,HAB_P,AT,1989,611.42,
dataflow,ESTAT:HLTH_RS_BDS2(1.0),A,PRV_NP,HAB_P,AT,1990,618.13,
dataflow,ESTAT:HLTH_RS_BDS2(1.0),A,PRV_NP,HAB_P,AT,1991,629.35,
dataflow,ESTAT:HLTH_RS_BDS2(1.0),A,PRV_NP,HAB_P,AT,1992,639.69,
dataflow,ESTAT:HLTH_RS_BDS2(1.0),A,PRV_NP,HAB_P,AT,1993,651.74,
dataflow,ESTAT:HLTH_RS_BDS2(1.0),A,PRV_NP,HAB_P,AT,1994,663.72,
dataflow,ESTAT:HLTH_RS_BDS2(1.0),A,PRV_NP,HAB_P,AT,1995,672.56,
dataflow,ESTAT:HLTH_RS_BDS2(1.0),A,PRV_NP,HAB_P,AT,1996,676.04,
dataflow,ESTAT:HLTH_RS_BDS2(1.0),A,PRV_NP,HAB_P,AT,1997,677.04,
dataflow,ESTAT:HLTH_RS_BDS2(1.0),A,PRV_NP,HAB_P,AT,1998,678.88,
dataflow,ESTAT:HLTH_RS_BDS2(1.0),A,PRV_NP,HAB_P,AT,1999,683.75,
dataflow,ESTAT:HLTH_RS_BDS2(1.0),A,PRV_NP,HAB_P,AT,2000,692.74,
dataflow,ESTAT:HLTH_RS_BDS2(1.0),A,PRV_NP,HAB_P,AT,2001,709.70,
dataflow,ESTAT:HLTH_RS_BDS2(1.0),A,PRV_NP,HAB_P,AT,2002,714.52,
dataflow,ESTAT:HLTH_RS_BDS2(1.0),A,PRV_NP,HAB_P,AT,2003,728.38,
dataflow,ESTAT:HLTH_RS_BDS2(1.0),A,PRV_NP,HAB_P,AT,2004,729.44,
