STRUCTURE,STRUCTURE_ID,freq,unit,sizeclas,severity,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,AT,2008,799,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,AT,2009,484,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,AT,2010,788,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,AT,2011,4333,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,AT,2012,3412,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,AT,2013,3023,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,AT,2014,3206,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,AT,2015,2654,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,AT,2016,2840,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,AT,2017,2988,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,AT,2018,3056,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,AT,2019,2670,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,AT,2020,3436,b
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,AT,2021,2658,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,BE,2008,0,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,BE,2009,0,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,BE,2010,0,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,BE,2011,0,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,BE,2012,0,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,BE,2013,0,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,BE,2014,0,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,BE,2015,0,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,BE,2016,0,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,BE,2017,0,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,BE,2018,0,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,BE,2019,0,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,BE,2020,0,b
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,BE,2021,0,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,BG,2008,0,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,BG,2009,2,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,BG,2010,0,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,BG,2011,0,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,BG,2012,0,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,BG,2013,0,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,BG,2014,0,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,BG,2015,0,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,BG,2016,0,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,BG,2017,0,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,BG,2018,0,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,BG,2019,0,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,BG,2020,0,b
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,BG,2021,0,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,CH,2008,0,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,CH,2009,208,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,CH,2010,251,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,CH,2011,214,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,CH,2012,153,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,CH,2013,197,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,CH,2014,108,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,CH,2015,110,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,CH,2016,84,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,CH,2017,106,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,CH,2018,83,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,CH,2019,70,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,CH,2020,85,b
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,CH,2021,91,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,CY,2008,19,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,CY,2009,30,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,CY,2010,39,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,CY,2011,36,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,CY,2012,50,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,CY,2013,22,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,CY,2014,149,
dataflow,ESTAT:HSW_MI04(1.0),A,NR,0,D_GE4,A_C-N,CY,2015,0,
