STRUCTURE,STRUCTURE_ID,freq,unit,assist,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DPEH110(1.0),A,THS,AS1015,Y15-44,F,AT,2012,12.8,u
dataflow,ESTAT:HLTH_DPEH110(1.0),A,THS,AS1015,Y15-44,F,BE,2012,31.0,
dataflow,ESTAT:HLTH_DPEH110(1.0),A,THS,AS1015,Y15-44,F,BG,2012,,u
dataflow,ESTAT:HLTH_DPEH110(1.0),A,THS,AS1015,Y15-44,F,CY,2012,,u
dataflow,ESTAT:HLTH_DPEH110(1.0),A,THS,AS1015,Y15-44,F,CZ,2012,4.8,u
dataflow,ESTAT:HLTH_DPEH110(1.0),A,THS,AS1015,Y15-44,F,DE,2012,57.6,
dataflow,ESTAT:HLTH_DPEH110(1.0),A,THS,AS1015,Y15-44,F,DK,2012,6.8,u
dataflow,ESTAT:HLTH_DPEH110(1.0),A,THS,AS1015,Y15-44,F,EE,2012,3.2,u
dataflow,ESTAT:HLTH_DPEH110(1.0),A,THS,AS1015,Y15-44,F,EEA,2012,1216.7,e
dataflow,ESTAT:HLTH_DPEH110(1.0),A,THS,AS1015,Y15-44,F,EL,2012,,u
dataflow,ESTAT:HLTH_DPEH110(1.0),A,THS,AS1015,Y15-44,F,ES,2012,127.7,
dataflow,ESTAT:HLTH_DPEH110(1.0),A,THS,AS1015,Y15-44,F,EU27_2007,2012,1207.7,e
dataflow,ESTAT:HLTH_DPEH110(1.0),A,THS,AS1015,Y15-44,F,FI,2012,,u
dataflow,ESTAT:HLTH_DPEH110(1.0),A,THS,AS1015,Y15-44,F,FR,2012,215.9,
dataflow,ESTAT:HLTH_DPEH110(1.0),A,THS,AS1015,Y15-44,F,HU,2012,6.5,
dataflow,ESTAT:HLTH_DPEH110(1.0),A,THS,AS1015,Y15-44,F,IS,2012,0.5,u
dataflow,ESTAT:HLTH_DPEH110(1.0),A,THS,AS1015,Y15-44,F,IT,2012,123.2,
dataflow,ESTAT:HLTH_DPEH110(1.0),A,THS,AS1015,Y15-44,F,LT,2012,6.7,u
dataflow,ESTAT:HLTH_DPEH110(1.0),A,THS,AS1015,Y15-44,F,LU,2012,1.0,u
dataflow,ESTAT:HLTH_DPEH110(1.0),A,THS,AS1015,Y15-44,F,LV,2012,0.7,
dataflow,ESTAT:HLTH_DPEH110(1.0),A,THS,AS1015,Y15-44,F,MT,2012,0,
dataflow,ESTAT:HLTH_DPEH110(1.0),A,THS,AS1015,Y15-44,F,NL,2012,48.0,
dataflow,ESTAT:HLTH_DPEH110(1.0),A,THS,AS1015,Y15-44,F,NO,2012,8.5,u
dataflow,ESTAT:HLTH_DPEH110(1.0),A,THS,AS1015,Y15-44,F,PL,2012,33.7,
dataflow,ESTAT:HLTH_DPEH110(1.0),A,THS,AS1015,Y15-44,F,PT,2012,20.1,u
dataflow,ESTAT:HLTH_DPEH110(1.0),A,THS,AS1015,Y15-44,F,RO,2012,,u
dataflow,ESTAT:HLTH_DPEH110(1.0),A,THS,AS1015,Y15-44,F,SE,2012,14.7,u
dataflow,ESTAT:HLTH_DPEH110(1.0),A,THS,AS1015,Y15-44,F,SI,2012,,u
dataflow,ESTAT:HLTH_DPEH110(1.0),A,THS,AS1015,Y15-44,F,SK,2012,4.6,u
dataflow,ESTAT:HLTH_DPEH110(1.0),A,THS,AS1015,Y15-44,F,UK,2012,448.0,
dataflow,ESTAT:HLTH_DPEH110(1.0),A,THS,AS1015,Y15-44,M,AT,2012,4.2,u
