STRUCTURE,STRUCTURE_ID,freq,reason,lev_limit,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_UN1D(1.0),A,FAR_TRA,MOD,F,TOTAL,PC,AT,2014,3.1,
dataflow,ESTAT:HLTH_EHIS_UN1D(1.0),A,FAR_TRA,MOD,F,TOTAL,PC,AT,2019,4.7,
dataflow,ESTAT:HLTH_EHIS_UN1D(1.0),A,FAR_TRA,MOD,F,TOTAL,PC,BE,2019,4.6,
dataflow,ESTAT:HLTH_EHIS_UN1D(1.0),A,FAR_TRA,MOD,F,TOTAL,PC,BG,2014,5.3,
dataflow,ESTAT:HLTH_EHIS_UN1D(1.0),A,FAR_TRA,MOD,F,TOTAL,PC,BG,2019,5.6,
dataflow,ESTAT:HLTH_EHIS_UN1D(1.0),A,FAR_TRA,MOD,F,TOTAL,PC,CY,2014,0.2,
dataflow,ESTAT:HLTH_EHIS_UN1D(1.0),A,FAR_TRA,MOD,F,TOTAL,PC,CY,2019,0.2,
dataflow,ESTAT:HLTH_EHIS_UN1D(1.0),A,FAR_TRA,MOD,F,TOTAL,PC,CZ,2014,7.5,
dataflow,ESTAT:HLTH_EHIS_UN1D(1.0),A,FAR_TRA,MOD,F,TOTAL,PC,CZ,2019,9.1,
dataflow,ESTAT:HLTH_EHIS_UN1D(1.0),A,FAR_TRA,MOD,F,TOTAL,PC,DE,2014,7.6,
dataflow,ESTAT:HLTH_EHIS_UN1D(1.0),A,FAR_TRA,MOD,F,TOTAL,PC,DE,2019,6.7,
dataflow,ESTAT:HLTH_EHIS_UN1D(1.0),A,FAR_TRA,MOD,F,TOTAL,PC,DK,2014,3.8,
dataflow,ESTAT:HLTH_EHIS_UN1D(1.0),A,FAR_TRA,MOD,F,TOTAL,PC,DK,2019,5.5,
dataflow,ESTAT:HLTH_EHIS_UN1D(1.0),A,FAR_TRA,MOD,F,TOTAL,PC,EE,2014,3.6,
dataflow,ESTAT:HLTH_EHIS_UN1D(1.0),A,FAR_TRA,MOD,F,TOTAL,PC,EE,2019,4.7,
dataflow,ESTAT:HLTH_EHIS_UN1D(1.0),A,FAR_TRA,MOD,F,TOTAL,PC,EL,2014,10.4,
dataflow,ESTAT:HLTH_EHIS_UN1D(1.0),A,FAR_TRA,MOD,F,TOTAL,PC,EL,2019,13.8,
dataflow,ESTAT:HLTH_EHIS_UN1D(1.0),A,FAR_TRA,MOD,F,TOTAL,PC,ES,2014,2.3,
dataflow,ESTAT:HLTH_EHIS_UN1D(1.0),A,FAR_TRA,MOD,F,TOTAL,PC,ES,2019,2.4,
dataflow,ESTAT:HLTH_EHIS_UN1D(1.0),A,FAR_TRA,MOD,F,TOTAL,PC,EU27_2020,2014,6.4,
dataflow,ESTAT:HLTH_EHIS_UN1D(1.0),A,FAR_TRA,MOD,F,TOTAL,PC,EU27_2020,2019,6.4,
dataflow,ESTAT:HLTH_EHIS_UN1D(1.0),A,FAR_TRA,MOD,F,TOTAL,PC,EU28,2014,5.9,
dataflow,ESTAT:HLTH_EHIS_UN1D(1.0),A,FAR_TRA,MOD,F,TOTAL,PC,FI,2014,4.7,
dataflow,ESTAT:HLTH_EHIS_UN1D(1.0),A,FAR_TRA,MOD,F,TOTAL,PC,FI,2019,4.0,
dataflow,ESTAT:HLTH_EHIS_UN1D(1.0),A,FAR_TRA,MOD,F,TOTAL,PC,FR,2014,6.7,u
dataflow,ESTAT:HLTH_EHIS_UN1D(1.0),A,FAR_TRA,MOD,F,TOTAL,PC,FR,2019,7.1,
dataflow,ESTAT:HLTH_EHIS_UN1D(1.0),A,FAR_TRA,MOD,F,TOTAL,PC,HR,2014,7.4,
dataflow,ESTAT:HLTH_EHIS_UN1D(1.0),A,FAR_TRA,MOD,F,TOTAL,PC,HR,2019,8.3,
dataflow,ESTAT:HLTH_EHIS_UN1D(1.0),A,FAR_TRA,MOD,F,TOTAL,PC,HU,2014,5.4,
