STRUCTURE,STRUCTURE_ID,freq,unit,severity,age,sex,nace_r1,physact,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_PA1(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,PHA_1,EU_V,2005,20298,
dataflow,ESTAT:HSW_AW_PA1(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,PHA_2,EU_V,2005,40426,
dataflow,ESTAT:HSW_AW_PA1(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,PHA_3,EU_V,2005,25198,
dataflow,ESTAT:HSW_AW_PA1(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,PHA_4,EU_V,2005,104950,
dataflow,ESTAT:HSW_AW_PA1(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,PHA_5,EU_V,2005,52360,
dataflow,ESTAT:HSW_AW_PA1(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,PHA_6,EU_V,2005,145264,
dataflow,ESTAT:HSW_AW_PA1(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,PHA_7,EU_V,2005,8397,
dataflow,ESTAT:HSW_AW_PA1(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,PHA_9,EU_V,2005,8453,
dataflow,ESTAT:HSW_AW_PA1(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,TOTAL,EU_V,2005,405348,
dataflow,ESTAT:HSW_AW_PA1(1.0),A,PC,D_GE4,TOTAL,M,TOTAL,PHA_1,EU_V,2005,106560,
dataflow,ESTAT:HSW_AW_PA1(1.0),A,PC,D_GE4,TOTAL,M,TOTAL,PHA_2,EU_V,2005,243100,
dataflow,ESTAT:HSW_AW_PA1(1.0),A,PC,D_GE4,TOTAL,M,TOTAL,PHA_3,EU_V,2005,108085,
dataflow,ESTAT:HSW_AW_PA1(1.0),A,PC,D_GE4,TOTAL,M,TOTAL,PHA_4,EU_V,2005,372160,
dataflow,ESTAT:HSW_AW_PA1(1.0),A,PC,D_GE4,TOTAL,M,TOTAL,PHA_5,EU_V,2005,192851,
dataflow,ESTAT:HSW_AW_PA1(1.0),A,PC,D_GE4,TOTAL,M,TOTAL,PHA_6,EU_V,2005,349163,
dataflow,ESTAT:HSW_AW_PA1(1.0),A,PC,D_GE4,TOTAL,M,TOTAL,PHA_7,EU_V,2005,19653,
dataflow,ESTAT:HSW_AW_PA1(1.0),A,PC,D_GE4,TOTAL,M,TOTAL,PHA_9,EU_V,2005,19297,
dataflow,ESTAT:HSW_AW_PA1(1.0),A,PC,D_GE4,TOTAL,M,TOTAL,TOTAL,EU_V,2005,1410872,
dataflow,ESTAT:HSW_AW_PA1(1.0),A,PC,D_GE4,TOTAL,T,A,PHA_1,EU_V,2005,6187,
dataflow,ESTAT:HSW_AW_PA1(1.0),A,PC,D_GE4,TOTAL,T,A,PHA_2,EU_V,2005,23573,
dataflow,ESTAT:HSW_AW_PA1(1.0),A,PC,D_GE4,TOTAL,T,A,PHA_3,EU_V,2005,6629,
dataflow,ESTAT:HSW_AW_PA1(1.0),A,PC,D_GE4,TOTAL,T,A,PHA_4,EU_V,2005,34617,
dataflow,ESTAT:HSW_AW_PA1(1.0),A,PC,D_GE4,TOTAL,T,A,PHA_5,EU_V,2005,12600,
