STRUCTURE,STRUCTURE_ID,freq,unit,source,icd10,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,EE,2020,53.40,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,FI,2001,87.40,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,FI,2002,87.60,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,FI,2003,87.90,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,FI,2004,87.40,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,FI,2005,87.00,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,FI,2006,86.30,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,FI,2007,84.40,b
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,FI,2008,84.90,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,FI,2009,85.50,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,FI,2010,84.80,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,FI,2011,84.80,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,FI,2012,83.00,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,FI,2013,83.30,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,FI,2014,82.90,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,FI,2015,82.70,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,FI,2016,82.60,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,FI,2017,81.90,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,FI,2018,81.40,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,FI,2019,81.60,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,FI,2020,80.50,e
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,FR,2004,37.70,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,FR,2005,44.30,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,FR,2006,48.50,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,FR,2007,50.10,
