STRUCTURE,STRUCTURE_ID,freq,sex,age,accident,isced97,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,HOM_SCH,ED3_4,MT,2008,6.8,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,HOM_SCH,ED3_4,PL,2008,2,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,HOM_SCH,ED3_4,RO,2008,0.7,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,HOM_SCH,ED3_4,SI,2008,7.6,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,HOM_SCH,ED3_4,SK,2008,6,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,HOM_SCH,ED3_4,TR,2008,4.2,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,HOM_SCH,ED5_6,BE,2008,4.6,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,HOM_SCH,ED5_6,BG,2008,2.8,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,HOM_SCH,ED5_6,CY,2008,0.7,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,HOM_SCH,ED5_6,CZ,2008,5.4,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,HOM_SCH,ED5_6,EL,2008,2.6,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,HOM_SCH,ED5_6,ES,2008,5.8,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,HOM_SCH,ED5_6,HU,2008,6.1,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,HOM_SCH,ED5_6,LV,2008,5.6,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,HOM_SCH,ED5_6,MT,2008,7.2,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,HOM_SCH,ED5_6,PL,2008,2,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,HOM_SCH,ED5_6,RO,2008,1.4,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,HOM_SCH,ED5_6,SI,2008,5.5,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,HOM_SCH,ED5_6,SK,2008,8.1,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,HOM_SCH,ED5_6,TR,2008,4.5,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,HOM_SCH,TOTAL,BE,2008,5,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,HOM_SCH,TOTAL,BG,2008,3,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,HOM_SCH,TOTAL,CY,2008,2,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,HOM_SCH,TOTAL,CZ,2008,6.9,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,HOM_SCH,TOTAL,EL,2008,3.1,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,HOM_SCH,TOTAL,ES,2008,7.4,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,HOM_SCH,TOTAL,HU,2008,6.4,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,HOM_SCH,TOTAL,LV,2008,6.7,
