STRUCTURE,STRUCTURE_ID,freq,unit,sex,age,n_job,worktime,nace_r1,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,GE2,H30-39,O,EU_V,1999,148,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,GE2,H30-39,TOTAL,EU_V,1999,143,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,GE2,H40-49,A,EU_V,1999,45,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,GE2,H40-49,D,EU_V,1999,87,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,GE2,H40-49,F,EU_V,1999,106,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,GE2,H40-49,G,EU_V,1999,136,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,GE2,H40-49,H,EU_V,1999,119,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,GE2,H40-49,I,EU_V,1999,87,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,GE2,H40-49,J,EU_V,1999,189,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,GE2,H40-49,K,EU_V,1999,57,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,GE2,H40-49,L,EU_V,1999,32,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,GE2,H40-49,M,EU_V,1999,110,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,GE2,H40-49,N,EU_V,1999,203,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,GE2,H40-49,O,EU_V,1999,54,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,GE2,H40-49,P,EU_V,1999,205,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,GE2,H40-49,TOTAL,EU_V,1999,115,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,GE2,H_GE50,A,EU_V,1999,65,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,GE2,H_GE50,G,EU_V,1999,166,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,GE2,H_GE50,M,EU_V,1999,315,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,GE2,H_GE50,TOTAL,EU_V,1999,58,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,GE2,TOTAL,A,EU_V,1999,46,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,GE2,TOTAL,D,EU_V,1999,53,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,GE2,TOTAL,F,EU_V,1999,49,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,GE2,TOTAL,G,EU_V,1999,127,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,GE2,TOTAL,H,EU_V,1999,199,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,GE2,TOTAL,I,EU_V,1999,79,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,GE2,TOTAL,J,EU_V,1999,137,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,GE2,TOTAL,K,EU_V,1999,30,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,GE2,TOTAL,L,EU_V,1999,110,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,GE2,TOTAL,M,EU_V,1999,101,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,GE2,TOTAL,N,EU_V,1999,244,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,GE2,TOTAL,O,EU_V,1999,80,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,GE2,TOTAL,P,EU_V,1999,74,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,GE2,TOTAL,TOTAL,EU_V,1999,125,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H1-9,D,EU_V,1999,247,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H1-9,G,EU_V,1999,77,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H1-9,H,EU_V,1999,58,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H1-9,I,EU_V,1999,300,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H1-9,J,EU_V,1999,1190,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H1-9,K,EU_V,1999,233,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H1-9,L,EU_V,1999,1091,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H1-9,M,EU_V,1999,205,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H1-9,N,EU_V,1999,375,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H1-9,O,EU_V,1999,196,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H1-9,P,EU_V,1999,190,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H1-9,TOTAL,EU_V,1999,226,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H10-19,A,EU_V,1999,232,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H10-19,D,EU_V,1999,57,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H10-19,G,EU_V,1999,139,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H10-19,H,EU_V,1999,215,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H10-19,I,EU_V,1999,87,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H10-19,J,EU_V,1999,65,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H10-19,K,EU_V,1999,60,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H10-19,L,EU_V,1999,76,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H10-19,M,EU_V,1999,130,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H10-19,N,EU_V,1999,238,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H10-19,O,EU_V,1999,115,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H10-19,P,EU_V,1999,111,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H10-19,TOTAL,EU_V,1999,140,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H20-29,A,EU_V,1999,79,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H20-29,D,EU_V,1999,38,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H20-29,E,EU_V,1999,152,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H20-29,F,EU_V,1999,15,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H20-29,G,EU_V,1999,56,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H20-29,H,EU_V,1999,120,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H20-29,I,EU_V,1999,54,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H20-29,J,EU_V,1999,45,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H20-29,K,EU_V,1999,55,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H20-29,L,EU_V,1999,17,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H20-29,M,EU_V,1999,71,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H20-29,N,EU_V,1999,142,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H20-29,O,EU_V,1999,75,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H20-29,P,EU_V,1999,70,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H20-29,Q,EU_V,1999,75,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H20-29,TOTAL,EU_V,1999,72,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H30-39,A,EU_V,1999,97,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H30-39,B,EU_V,1999,86,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H30-39,D,EU_V,1999,36,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H30-39,E,EU_V,1999,94,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H30-39,F,EU_V,1999,31,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H30-39,G,EU_V,1999,38,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H30-39,H,EU_V,1999,104,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H30-39,I,EU_V,1999,69,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H30-39,J,EU_V,1999,21,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H30-39,K,EU_V,1999,33,
