STRUCTURE,STRUCTURE_ID,freq,unit,deg_urb,hlth_pb,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,TOTAL,M,BG,2011,85.896,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,TOTAL,M,CH,2011,207.814,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,TOTAL,M,CY,2011,13.163,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,TOTAL,M,CZ,2011,77.494,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,TOTAL,M,DE,2011,1663.133,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,TOTAL,M,DK,2011,73.077,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,TOTAL,M,EE,2011,28.212,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,TOTAL,M,EL,2011,84.509,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,TOTAL,M,ES,2011,473.596,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,TOTAL,M,FI,2011,76.168,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,TOTAL,M,FR,2011,1486.278,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,TOTAL,M,HR,2011,96.052,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,TOTAL,M,HU,2011,96.597,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,TOTAL,M,IE,2011,26.47,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,TOTAL,M,IT,2011,642.846,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,TOTAL,M,LT,2011,35.954,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,TOTAL,M,LU,2011,11.327,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,TOTAL,M,LV,2011,42.842,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,TOTAL,M,MT,2011,8.791,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,TOTAL,M,NL,2011,420.168,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,TOTAL,M,PL,2011,589.754,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,TOTAL,M,PT,2011,212.649,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,TOTAL,M,RO,2011,263.074,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,TOTAL,M,SE,2011,128.208,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,TOTAL,M,SI,2011,17.305,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,TOTAL,M,SK,2011,27.917,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,TOTAL,M,UK,2011,2063.121,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,TOTAL,T,AT,2011,529.867,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,TOTAL,T,BE,2011,518.709,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,TOTAL,T,BG,2011,205.063,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,TOTAL,T,CH,2011,486.001,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,TOTAL,T,CY,2011,29.349,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,TOTAL,T,CZ,2011,167.9,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,TOTAL,T,DE,2011,3254.498,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,TOTAL,T,DK,2011,167.886,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,TOTAL,T,EE,2011,67.098,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,TOTAL,T,EL,2011,197.308,
