STRUCTURE,STRUCTURE_ID,freq,lev_limit,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,MOD,F,TOTAL,PC,AT,2014,2.9,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,MOD,F,TOTAL,PC,AT,2019,4.8,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,MOD,F,TOTAL,PC,BE,2014,20.7,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,MOD,F,TOTAL,PC,BE,2019,27.8,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,MOD,F,TOTAL,PC,BG,2014,5.1,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,MOD,F,TOTAL,PC,BG,2019,2.7,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,MOD,F,TOTAL,PC,CY,2014,3.6,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,MOD,F,TOTAL,PC,CY,2019,5.2,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,MOD,F,TOTAL,PC,CZ,2014,4.0,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,MOD,F,TOTAL,PC,CZ,2019,3.4,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,MOD,F,TOTAL,PC,DE,2014,4.7,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,MOD,F,TOTAL,PC,DE,2019,7.2,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,MOD,F,TOTAL,PC,DK,2014,9.9,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,MOD,F,TOTAL,PC,DK,2019,10.7,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,MOD,F,TOTAL,PC,EE,2014,1.2,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,MOD,F,TOTAL,PC,EE,2019,2.2,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,MOD,F,TOTAL,PC,EL,2014,4.3,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,MOD,F,TOTAL,PC,EL,2019,3.6,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,MOD,F,TOTAL,PC,ES,2014,8.2,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,MOD,F,TOTAL,PC,ES,2019,8.8,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,MOD,F,TOTAL,PC,EU27_2020,2014,7.6,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,MOD,F,TOTAL,PC,EU27_2020,2019,7.3,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,MOD,F,TOTAL,PC,EU28,2014,7.3,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,MOD,F,TOTAL,PC,FI,2014,7.1,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,MOD,F,TOTAL,PC,FI,2019,5.3,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,MOD,F,TOTAL,PC,FR,2014,18.6,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,MOD,F,TOTAL,PC,FR,2019,11.7,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,MOD,F,TOTAL,PC,HR,2014,2.7,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,MOD,F,TOTAL,PC,HR,2019,4.4,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,MOD,F,TOTAL,PC,HU,2014,7.1,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,MOD,F,TOTAL,PC,HU,2019,5.5,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,MOD,F,TOTAL,PC,IE,2014,6.1,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,MOD,F,TOTAL,PC,IE,2019,8.2,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,MOD,F,TOTAL,PC,IS,2014,9.8,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,MOD,F,TOTAL,PC,IS,2019,7.5,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,MOD,F,TOTAL,PC,IT,2014,5.5,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,MOD,F,TOTAL,PC,IT,2019,5.5,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,MOD,F,TOTAL,PC,LT,2014,1.5,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,MOD,F,TOTAL,PC,LT,2019,2.6,
