STRUCTURE,STRUCTURE_ID,freq,unit,severity,age,sex,nace_r1,matagent,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_MAC2(1.0),A,RT,D_GE4,TOTAL,M,TOTAL,MAT_1600,EU_V,2005,4.4,
dataflow,ESTAT:HSW_AW_MAC2(1.0),A,RT,D_GE4,TOTAL,M,TOTAL,MAT_1700,EU_V,2005,38.1,
dataflow,ESTAT:HSW_AW_MAC2(1.0),A,RT,D_GE4,TOTAL,M,TOTAL,MAT_1800,EU_V,2005,104.2,
dataflow,ESTAT:HSW_AW_MAC2(1.0),A,RT,D_GE4,TOTAL,M,TOTAL,MAT_1900,EU_V,2005,6.0,
dataflow,ESTAT:HSW_AW_MAC2(1.0),A,RT,D_GE4,TOTAL,M,TOTAL,MAT_2000,EU_V,2005,19.7,
dataflow,ESTAT:HSW_AW_MAC2(1.0),A,RT,D_GE4,TOTAL,M,TOTAL,MAT_9900,EU_V,2005,64.7,
dataflow,ESTAT:HSW_AW_MAC2(1.0),A,RT,D_GE4,TOTAL,M,TOTAL,TOTAL,EU_V,2005,2296.3,
dataflow,ESTAT:HSW_AW_MAC2(1.0),A,RT,D_GE4,TOTAL,T,A,MAT_0100,EU_V,2005,493.2,
dataflow,ESTAT:HSW_AW_MAC2(1.0),A,RT,D_GE4,TOTAL,T,A,MAT_0200,EU_V,2005,58.8,
dataflow,ESTAT:HSW_AW_MAC2(1.0),A,RT,D_GE4,TOTAL,T,A,MAT_0300,EU_V,2005,7.8,
dataflow,ESTAT:HSW_AW_MAC2(1.0),A,RT,D_GE4,TOTAL,T,A,MAT_0400,EU_V,2005,13.6,
dataflow,ESTAT:HSW_AW_MAC2(1.0),A,RT,D_GE4,TOTAL,T,A,MAT_0500,EU_V,2005,9.8,
dataflow,ESTAT:HSW_AW_MAC2(1.0),A,RT,D_GE4,TOTAL,T,A,MAT_0600,EU_V,2005,120.1,
dataflow,ESTAT:HSW_AW_MAC2(1.0),A,RT,D_GE4,TOTAL,T,A,MAT_0700,EU_V,2005,29.7,
dataflow,ESTAT:HSW_AW_MAC2(1.0),A,RT,D_GE4,TOTAL,T,A,MAT_0800,EU_V,2005,16.8,
dataflow,ESTAT:HSW_AW_MAC2(1.0),A,RT,D_GE4,TOTAL,T,A,MAT_0900,EU_V,2005,97.3,
dataflow,ESTAT:HSW_AW_MAC2(1.0),A,RT,D_GE4,TOTAL,T,A,MAT_1000,EU_V,2005,31.7,
dataflow,ESTAT:HSW_AW_MAC2(1.0),A,RT,D_GE4,TOTAL,T,A,MAT_1100,EU_V,2005,72.9,
dataflow,ESTAT:HSW_AW_MAC2(1.0),A,RT,D_GE4,TOTAL,T,A,MAT_1200,EU_V,2005,55.8,
dataflow,ESTAT:HSW_AW_MAC2(1.0),A,RT,D_GE4,TOTAL,T,A,MAT_1300,EU_V,2005,3.4,
