STRUCTURE,STRUCTURE_ID,freq,unit,lev_limit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DHC090(1.0),A,PC,NONE,Y16-24,F,AL,2017,3.5,
dataflow,ESTAT:HLTH_DHC090(1.0),A,PC,NONE,Y16-24,F,AL,2018,4.5,
dataflow,ESTAT:HLTH_DHC090(1.0),A,PC,NONE,Y16-24,F,AL,2019,2.4,
dataflow,ESTAT:HLTH_DHC090(1.0),A,PC,NONE,Y16-24,F,AL,2020,2.9,
dataflow,ESTAT:HLTH_DHC090(1.0),A,PC,NONE,Y16-24,F,AT,2010,1.0,
dataflow,ESTAT:HLTH_DHC090(1.0),A,PC,NONE,Y16-24,F,AT,2011,0.9,
dataflow,ESTAT:HLTH_DHC090(1.0),A,PC,NONE,Y16-24,F,AT,2012,0.5,
dataflow,ESTAT:HLTH_DHC090(1.0),A,PC,NONE,Y16-24,F,AT,2013,0.3,
dataflow,ESTAT:HLTH_DHC090(1.0),A,PC,NONE,Y16-24,F,AT,2014,0.6,
dataflow,ESTAT:HLTH_DHC090(1.0),A,PC,NONE,Y16-24,F,AT,2015,0.6,
dataflow,ESTAT:HLTH_DHC090(1.0),A,PC,NONE,Y16-24,F,AT,2016,1.4,
dataflow,ESTAT:HLTH_DHC090(1.0),A,PC,NONE,Y16-24,F,AT,2017,0.6,
dataflow,ESTAT:HLTH_DHC090(1.0),A,PC,NONE,Y16-24,F,AT,2018,0.4,
dataflow,ESTAT:HLTH_DHC090(1.0),A,PC,NONE,Y16-24,F,AT,2019,0.2,
dataflow,ESTAT:HLTH_DHC090(1.0),A,PC,NONE,Y16-24,F,AT,2020,0.6,
dataflow,ESTAT:HLTH_DHC090(1.0),A,PC,NONE,Y16-24,F,BE,2010,0.1,
dataflow,ESTAT:HLTH_DHC090(1.0),A,PC,NONE,Y16-24,F,BE,2011,0.9,
dataflow,ESTAT:HLTH_DHC090(1.0),A,PC,NONE,Y16-24,F,BE,2012,2.0,
dataflow,ESTAT:HLTH_DHC090(1.0),A,PC,NONE,Y16-24,F,BE,2013,1.8,
dataflow,ESTAT:HLTH_DHC090(1.0),A,PC,NONE,Y16-24,F,BE,2014,2.6,
dataflow,ESTAT:HLTH_DHC090(1.0),A,PC,NONE,Y16-24,F,BE,2015,2.8,
dataflow,ESTAT:HLTH_DHC090(1.0),A,PC,NONE,Y16-24,F,BE,2016,2.0,
dataflow,ESTAT:HLTH_DHC090(1.0),A,PC,NONE,Y16-24,F,BE,2017,1.6,
dataflow,ESTAT:HLTH_DHC090(1.0),A,PC,NONE,Y16-24,F,BE,2018,1.3,
dataflow,ESTAT:HLTH_DHC090(1.0),A,PC,NONE,Y16-24,F,BE,2019,1.0,b
dataflow,ESTAT:HLTH_DHC090(1.0),A,PC,NONE,Y16-24,F,BE,2020,0.9,
dataflow,ESTAT:HLTH_DHC090(1.0),A,PC,NONE,Y16-24,F,BG,2010,23.5,
dataflow,ESTAT:HLTH_DHC090(1.0),A,PC,NONE,Y16-24,F,BG,2011,24.7,
dataflow,ESTAT:HLTH_DHC090(1.0),A,PC,NONE,Y16-24,F,BG,2012,19.5,
dataflow,ESTAT:HLTH_DHC090(1.0),A,PC,NONE,Y16-24,F,BG,2013,20.6,
dataflow,ESTAT:HLTH_DHC090(1.0),A,PC,NONE,Y16-24,F,BG,2014,20.9,
dataflow,ESTAT:HLTH_DHC090(1.0),A,PC,NONE,Y16-24,F,BG,2015,20.5,
dataflow,ESTAT:HLTH_DHC090(1.0),A,PC,NONE,Y16-24,F,BG,2016,20.1,
dataflow,ESTAT:HLTH_DHC090(1.0),A,PC,NONE,Y16-24,F,BG,2017,21.7,
dataflow,ESTAT:HLTH_DHC090(1.0),A,PC,NONE,Y16-24,F,BG,2018,18.2,
dataflow,ESTAT:HLTH_DHC090(1.0),A,PC,NONE,Y16-24,F,BG,2019,17.2,
dataflow,ESTAT:HLTH_DHC090(1.0),A,PC,NONE,Y16-24,F,BG,2020,15.0,
dataflow,ESTAT:HLTH_DHC090(1.0),A,PC,NONE,Y16-24,F,CH,2010,0.1,
dataflow,ESTAT:HLTH_DHC090(1.0),A,PC,NONE,Y16-24,F,CH,2011,0.0,
dataflow,ESTAT:HLTH_DHC090(1.0),A,PC,NONE,Y16-24,F,CH,2012,0.0,
dataflow,ESTAT:HLTH_DHC090(1.0),A,PC,NONE,Y16-24,F,CH,2013,0.0,
dataflow,ESTAT:HLTH_DHC090(1.0),A,PC,NONE,Y16-24,F,CH,2014,0.0,
dataflow,ESTAT:HLTH_DHC090(1.0),A,PC,NONE,Y16-24,F,CH,2015,0.0,
dataflow,ESTAT:HLTH_DHC090(1.0),A,PC,NONE,Y16-24,F,CH,2016,0.0,
dataflow,ESTAT:HLTH_DHC090(1.0),A,PC,NONE,Y16-24,F,CH,2017,0.0,
dataflow,ESTAT:HLTH_DHC090(1.0),A,PC,NONE,Y16-24,F,CH,2018,0.0,
dataflow,ESTAT:HLTH_DHC090(1.0),A,PC,NONE,Y16-24,F,CH,2019,0.0,
