STRUCTURE,STRUCTURE_ID,freq,unit,severity,sex,nace_r1,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,AT,1993,3734,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,AT,1994,2980,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,AT,1995,2975,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,AT,1996,4913,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,AT,1997,7609,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,AT,1998,7066,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,AT,1999,6755,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,AT,2000,6919,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,AT,2001,5896,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,AT,2002,6232,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,AT,2003,5983,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,AT,2004,5881,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,AT,2005,5436,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,AT,2006,4948,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,AT,2007,3542,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,BE,1993,7689,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,BE,1994,3093,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,BE,1995,3467,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,BE,1996,5270,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,BE,1997,4837,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,BE,1998,3677,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,BE,1999,4066,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,BE,2000,4041,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,BE,2001,3185,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,BE,2002,3298,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,BE,2003,2969,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,BE,2004,2405,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,BE,2005,1728,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,BE,2006,1739,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,BE,2007,1305,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,CH,2004,3077,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,CH,2005,3125,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,CH,2006,2701,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,CH,2007,2586,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,DE,1994,6894,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,DE,1995,6564,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,DE,1996,7317,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,DE,1997,6810,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,DE,1998,7552,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,DE,1999,8583,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,DE,2000,8955,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,DE,2001,8285,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,DE,2002,7756,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,DE,2003,7474,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,DE,2004,7525,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,DE,2005,5738,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,DE,2006,5074,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,DE,2007,5085,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,DK,1994,1698,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,DK,1995,1433,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,DK,1996,2460,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,DK,1997,969,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,DK,1998,897,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,DK,1999,2119,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,DK,2000,1144,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,DK,2001,1290,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,DK,2002,1423,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,DK,2003,1115,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,DK,2004,1262,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,DK,2005,1259,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,DK,2006,1806,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,DK,2007,1545,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,EL,1993,881,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,EL,1994,978,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,EL,1995,627,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,EL,1996,723,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,EL,1997,420,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,EL,1998,942,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,EL,1999,421,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,EL,2000,228,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,EL,2001,569,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,EL,2002,351,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,EL,2003,417,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,EL,2004,301,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,EL,2005,410,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,EL,2006,634,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,EL,2007,323,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,ES,1993,1037,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,ES,1994,1130,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,ES,1995,1366,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,ES,1996,1544,
dataflow,ESTAT:HSW_AW_INASX(1.0),A,RT,D_GE4,F,A,ES,1997,2094,
