STRUCTURE,STRUCTURE_ID,freq,med_spec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,AT,2008,8975.20,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,AT,2009,8914.80,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,AT,2010,8621.00,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,AT,2011,8527.50,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,AT,2012,8628.30,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,AT,2013,8673.00,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,AT,2014,8763.40,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,AT,2015,9020.20,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,AT,2016,9027.70,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,AT,2017,8683.50,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,AT,2018,8876.80,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,AT,2019,8798.40,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,AT,2020,9058.70,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,AT,2021,9505.60,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,BE,2002,10807.00,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,BE,2003,10464.00,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,BE,2004,10270.00,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,BE,2005,9737.00,
