STRUCTURE,STRUCTURE_ID,freq,med_spec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,BE,2006,9899.48,e
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,BE,2007,9598.84,e
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,BE,2008,9673.27,e
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,BE,2009,9611.41,e
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,BE,2010,9229.93,e
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,BE,2011,9369.48,e
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,BE,2012,9282.42,e
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,BE,2013,8760.16,e
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,BE,2014,7444.63,e
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,BE,2015,7491.89,e
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,BE,2016,6143.85,e
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,BE,2017,6160.54,e
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,BE,2018,6257.52,e
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,BE,2019,8078.97,e
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,BE,2020,8082.78,e
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,BE,2021,8076.66,p
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,CH,2003,9138.80,e
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,CH,2004,8963.20,e
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,CH,2005,9293.70,e
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,CH,2006,10037.00,e
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,CH,2007,10421.00,e
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,CH,2008,10425.00,e
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,CH,2009,10293.00,e
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,CH,2010,11293.28,b
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,CH,2011,10921.61,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,CH,2012,10901.35,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,CH,2013,10919.81,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,CH,2014,11070.45,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,CH,2015,10734.23,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,CH,2016,10756.23,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,CH,2017,10933.74,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,CH,2018,10191.45,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,CH,2019,10061.95,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,CH,2020,10086.75,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,CH,2021,10271.93,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,CZ,2004,14273.26,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,CZ,2005,14766.01,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,CZ,2006,14923.65,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,CZ,2007,15240.03,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,CZ,2008,16057.17,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,CZ,2009,17793.75,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,CZ,2010,18420.15,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,CZ,2011,18626.06,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,CZ,2012,18901.97,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,CZ,2013,19030.24,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,CZ,2014,19638.55,e
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,CZ,2015,20750.90,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,CZ,2016,21822.98,b
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,CZ,2017,19387.50,b
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,CZ,2018,19724.32,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,CZ,2019,20257.75,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,CZ,2020,21096.55,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,CZ,2021,21951.74,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,DE,2000,35000.00,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,DE,2001,34000.00,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,DE,2002,35000.00,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,DE,2003,33000.00,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,DE,2004,31000.00,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,DE,2005,30000.00,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,DE,2006,28000.00,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,DE,2007,28000.00,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,DE,2008,28000.00,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,DE,2009,28000.00,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,DE,2010,29000.00,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,DE,2011,30000.00,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,DE,2012,31000.00,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,DE,2013,32000.00,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,DE,2014,32000.00,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,DE,2015,33000.00,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,DE,2016,34000.00,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,DE,2017,35000.00,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,DE,2018,46000.00,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,DE,2019,45000.00,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,DE,2020,49000.00,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,DE,2021,52000.00,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,DK,2001,12949.00,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,DK,2002,13387.00,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,DK,2003,12766.00,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,DK,2004,12512.00,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,DK,2005,12187.00,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,DK,2006,12153.00,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,DK,2007,11725.00,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,DK,2008,11968.00,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,DK,2009,12352.00,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,DK,2010,11994.00,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,DK,2011,11010.00,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,DK,2012,10196.00,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,DK,2013,10546.00,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,DK,2014,10213.00,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,DK,2015,9762.00,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,DK,2016,6971.00,b
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,DK,2017,6848.63,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,DK,2018,6838.00,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,DK,2019,6868.02,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,DK,2020,7155.34,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,DK,2021,8682.88,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,EE,2006,1706.90,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,EE,2007,1783.65,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,EE,2008,2384.55,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,EE,2009,2761.51,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,EE,2010,2790.74,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,EE,2011,3055.28,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,EE,2012,3110.89,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,EE,2013,2766.90,b
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,EE,2014,2909.70,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,EE,2015,2852.80,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,EE,2016,2741.20,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,EE,2017,2727.50,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,EE,2018,2813.20,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,EE,2019,2935.30,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,EE,2020,2970.17,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,EE,2021,2704.20,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,FR,1994,194156.34,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,FR,1995,201829.93,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,FR,1996,206755.19,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,FR,1997,203778.08,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,FR,1998,206181.74,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,FR,1999,208609.87,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,FR,2000,210086.84,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,FR,2001,218549.43,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,FR,2002,229048.00,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,FR,2003,233058.64,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,FR,2004,238299.47,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,FR,2005,241343.09,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,FR,2006,245997.00,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,FR,2007,249456.08,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,FR,2008,252024.84,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,FR,2009,257271.96,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,FR,2010,261687.47,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,FR,2011,225408.54,b
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,FR,2012,228124.77,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,FR,2013,226343.05,b
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,FR,2014,227256.36,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,FR,2015,227334.11,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,FR,2016,226871.05,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,FR,2017,227678.81,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,FR,2018,227829.65,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,FR,2019,227209.07,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,FR,2021,231984.19,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,HU,2006,12327.09,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,HU,2007,12783.33,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,HU,2008,12857.29,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,HU,2009,12385.63,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,HU,2010,12747.72,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,HU,2011,13988.31,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,HU,2012,12806.64,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,HU,2013,14114.23,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,HU,2014,14102.33,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,HU,2015,13931.29,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,HU,2016,13922.49,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,HU,2017,13539.81,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,HU,2018,13882.05,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,HU,2019,13393.64,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,HU,2020,13257.63,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,HU,2021,11703.07,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,IE,1990,1123.54,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,IE,1991,1128.48,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,IE,1992,1125.39,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,IE,1993,1140.34,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,IE,1994,1196.84,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,IE,1995,1233.14,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,IE,1996,1286.03,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,IE,1997,1450.82,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,IE,1998,1586.34,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,IE,1999,1629.95,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,IE,2000,1863.45,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,IE,2001,2854.35,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,IE,2002,3002.34,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,IE,2003,3029.49,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,IE,2004,3186.40,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,IE,2005,3397.82,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,IE,2006,3429.38,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,IE,2007,3523.45,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,IE,2008,3525.99,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,IE,2009,3432.64,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,IE,2010,3317.76,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,IE,2011,3362.62,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,IE,2012,3261.57,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,IE,2013,3236.93,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,IE,2014,3717.99,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,IE,2015,4491.32,b
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,IE,2016,4755.46,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,IE,2017,5013.69,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,IE,2018,5353.24,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,IE,2019,5565.68,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,IE,2020,5798.89,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,IE,2021,6101.74,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,IE,2022,6700.73,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,LI,1980,8.70,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,LI,1981,11.20,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,LI,1982,15.70,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,LI,1983,19.80,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,LI,1984,19.00,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,LI,1985,20.30,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,LI,1986,22.80,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,LI,1987,21.60,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,LI,1988,18.10,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,LI,1989,19.10,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,LI,1990,22.00,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,LI,1991,21.30,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,LI,1992,26.90,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,LI,1993,22.00,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,LI,1994,26.00,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,LI,1995,21.30,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,LI,1996,21.70,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,LI,1997,29.70,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,LI,1998,27.40,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,LI,1999,26.30,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,LI,2000,26.96,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,LI,2001,28.48,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,LI,2002,30.85,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,LI,2003,30.06,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,LI,2004,28.85,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,LI,2005,30.75,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,LI,2006,31.79,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,LI,2007,31.71,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,LI,2008,31.70,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,LI,2009,20.19,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,LI,2010,30.01,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,LI,2011,28.79,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,LI,2012,22.52,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,LI,2013,22.60,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,LI,2014,23.70,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,LI,2015,23.20,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,LI,2016,25.40,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,LI,2017,23.25,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,LI,2018,19.20,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,LI,2019,15.60,
dataflow,ESTAT:HLTH_RS_PRSHP2(1.0),A,ASSI_HC,FTE,LI,2020,17.00,
