STRUCTURE,STRUCTURE_ID,freq,unit,age,hhtyp,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y55-64,OTH,TR,2019,12.7,u
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y55-64,TOTAL,AT,2019,25.3,u
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y55-64,TOTAL,BE,2019,58.3,
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y55-64,TOTAL,BG,2019,24.9,u
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y55-64,TOTAL,CY,2019,,u
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y55-64,TOTAL,CZ,2019,16.0,u
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y55-64,TOTAL,DE,2019,37.3,
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y55-64,TOTAL,DK,2019,,u
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y55-64,TOTAL,EE,2019,3.8,u
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y55-64,TOTAL,EL,2019,,u
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y55-64,TOTAL,ES,2019,27.3,u
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y55-64,TOTAL,EU27_2020,2019,30.8,
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y55-64,TOTAL,FI,2019,,u
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y55-64,TOTAL,FR,2019,36.4,u
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y55-64,TOTAL,HR,2019,28.0,u
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y55-64,TOTAL,HU,2019,,u
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y55-64,TOTAL,IE,2019,45.2,u
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y55-64,TOTAL,IT,2019,32.2,
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y55-64,TOTAL,LT,2019,3.7,u
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y55-64,TOTAL,LU,2019,,u
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y55-64,TOTAL,LV,2019,,u
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y55-64,TOTAL,MT,2019,,u
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y55-64,TOTAL,NL,2019,30.7,u
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y55-64,TOTAL,NO,2019,,u
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y55-64,TOTAL,PL,2019,21.7,
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y55-64,TOTAL,PT,2019,14.1,
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y55-64,TOTAL,RO,2019,11.2,u
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y55-64,TOTAL,RS,2019,15.5,u
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y55-64,TOTAL,SE,2019,,u
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y55-64,TOTAL,SI,2019,18.5,u
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y55-64,TOTAL,SK,2019,19.6,u
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y55-64,TOTAL,TR,2019,12.0,u
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y65-74,A1,AT,2014,18.8,u
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y65-74,A1,AT,2019,,u
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y65-74,A1,BE,2014,,u
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y65-74,A1,BE,2019,79.2,u
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y65-74,A1,BG,2014,13.8,u
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y65-74,A1,BG,2019,,u
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y65-74,A1,CY,2014,,u
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y65-74,A1,CY,2019,,u
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y65-74,A1,CZ,2014,38.2,u
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y65-74,A1,CZ,2019,33.2,u
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y65-74,A1,DE,2014,41.3,u
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y65-74,A1,DE,2019,60.6,u
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y65-74,A1,DK,2014,,u
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y65-74,A1,DK,2019,,u
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y65-74,A1,EE,2014,,u
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y65-74,A1,EE,2019,,u
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y65-74,A1,EL,2014,34.6,u
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y65-74,A1,EL,2019,,u
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y65-74,A1,ES,2014,,u
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y65-74,A1,ES,2019,18.2,u
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y65-74,A1,EU27_2020,2014,45.1,
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y65-74,A1,EU27_2020,2019,50.4,
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y65-74,A1,EU28,2014,41.1,
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y65-74,A1,FI,2014,,u
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y65-74,A1,FI,2019,,u
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y65-74,A1,FR,2014,,u
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y65-74,A1,FR,2019,52.0,u
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y65-74,A1,HR,2014,,u
dataflow,ESTAT:HLTH_EHIS_AM7SH(1.0),A,PC,Y65-74,A1,HR,2019,,u
