STRUCTURE,STRUCTURE_ID,freq,unit,severity,injury,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_IJ_SVINJ(1.0),A,PC,D1-3,CONT_BRU,DK,1999,3.3,
dataflow,ESTAT:HSW_IJ_SVINJ(1.0),A,PC,D1-3,CONT_BRU,EL,1999,5.6,
dataflow,ESTAT:HSW_IJ_SVINJ(1.0),A,PC,D1-3,CONT_BRU,ES,1999,4.2,
dataflow,ESTAT:HSW_IJ_SVINJ(1.0),A,PC,D1-3,CONT_BRU,EU_V,1999,3.2,
dataflow,ESTAT:HSW_IJ_SVINJ(1.0),A,PC,D1-3,CONT_BRU,FI,1999,2.8,
dataflow,ESTAT:HSW_IJ_SVINJ(1.0),A,PC,D1-3,CONT_BRU,HU,1999,6.4,
dataflow,ESTAT:HSW_IJ_SVINJ(1.0),A,PC,D1-3,CONT_BRU,IE,1999,0.0,
dataflow,ESTAT:HSW_IJ_SVINJ(1.0),A,PC,D1-3,CONT_BRU,IT,1999,3.7,
dataflow,ESTAT:HSW_IJ_SVINJ(1.0),A,PC,D1-3,CONT_BRU,LU,1999,7.1,
dataflow,ESTAT:HSW_IJ_SVINJ(1.0),A,PC,D1-3,CONT_BRU,PT,1999,2.4,
dataflow,ESTAT:HSW_IJ_SVINJ(1.0),A,PC,D1-3,CONT_BRU,SE,1999,1.3,
dataflow,ESTAT:HSW_IJ_SVINJ(1.0),A,PC,D1-3,CONT_BRU,UK,1999,3.1,
dataflow,ESTAT:HSW_IJ_SVINJ(1.0),A,PC,D1-3,CUT_LACE,DK,1999,1.7,
dataflow,ESTAT:HSW_IJ_SVINJ(1.0),A,PC,D1-3,CUT_LACE,EL,1999,1.9,
dataflow,ESTAT:HSW_IJ_SVINJ(1.0),A,PC,D1-3,CUT_LACE,ES,1999,1.4,
dataflow,ESTAT:HSW_IJ_SVINJ(1.0),A,PC,D1-3,CUT_LACE,EU_V,1999,2.4,
dataflow,ESTAT:HSW_IJ_SVINJ(1.0),A,PC,D1-3,CUT_LACE,FI,1999,3.4,
dataflow,ESTAT:HSW_IJ_SVINJ(1.0),A,PC,D1-3,CUT_LACE,HU,1999,1.7,
dataflow,ESTAT:HSW_IJ_SVINJ(1.0),A,PC,D1-3,CUT_LACE,IE,1999,4.3,
dataflow,ESTAT:HSW_IJ_SVINJ(1.0),A,PC,D1-3,CUT_LACE,IT,1999,2.7,
dataflow,ESTAT:HSW_IJ_SVINJ(1.0),A,PC,D1-3,CUT_LACE,LU,1999,3.5,
dataflow,ESTAT:HSW_IJ_SVINJ(1.0),A,PC,D1-3,CUT_LACE,PT,1999,2.0,
dataflow,ESTAT:HSW_IJ_SVINJ(1.0),A,PC,D1-3,CUT_LACE,SE,1999,0.4,
