STRUCTURE,STRUCTURE_ID,freq,unit,sex,icd10,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_PS_PREV(1.0),A,PC,F,C18-C21,AT,2000,,z
dataflow,ESTAT:HLTH_PS_PREV(1.0),A,PC,F,C18-C21,AT,2001,,z
dataflow,ESTAT:HLTH_PS_PREV(1.0),A,PC,F,C18-C21,AT,2002,,z
dataflow,ESTAT:HLTH_PS_PREV(1.0),A,PC,F,C18-C21,AT,2003,,z
dataflow,ESTAT:HLTH_PS_PREV(1.0),A,PC,F,C18-C21,AT,2004,,z
dataflow,ESTAT:HLTH_PS_PREV(1.0),A,PC,F,C18-C21,AT,2005,,z
dataflow,ESTAT:HLTH_PS_PREV(1.0),A,PC,F,C18-C21,AT,2006,,z
dataflow,ESTAT:HLTH_PS_PREV(1.0),A,PC,F,C18-C21,AT,2007,,z
dataflow,ESTAT:HLTH_PS_PREV(1.0),A,PC,F,C18-C21,AT,2008,,z
dataflow,ESTAT:HLTH_PS_PREV(1.0),A,PC,F,C18-C21,AT,2009,,z
dataflow,ESTAT:HLTH_PS_PREV(1.0),A,PC,F,C18-C21,AT,2010,,z
dataflow,ESTAT:HLTH_PS_PREV(1.0),A,PC,F,C18-C21,AT,2011,,z
dataflow,ESTAT:HLTH_PS_PREV(1.0),A,PC,F,C18-C21,AT,2012,,z
dataflow,ESTAT:HLTH_PS_PREV(1.0),A,PC,F,C18-C21,AT,2013,,z
dataflow,ESTAT:HLTH_PS_PREV(1.0),A,PC,F,C18-C21,AT,2014,,z
dataflow,ESTAT:HLTH_PS_PREV(1.0),A,PC,F,C18-C21,AT,2015,,z
dataflow,ESTAT:HLTH_PS_PREV(1.0),A,PC,F,C18-C21,AT,2016,,z
dataflow,ESTAT:HLTH_PS_PREV(1.0),A,PC,F,C18-C21,AT,2017,,z
dataflow,ESTAT:HLTH_PS_PREV(1.0),A,PC,F,C18-C21,AT,2018,,z
dataflow,ESTAT:HLTH_PS_PREV(1.0),A,PC,F,C18-C21,AT,2019,,z
dataflow,ESTAT:HLTH_PS_PREV(1.0),A,PC,F,C18-C21,AT,2020,,z
dataflow,ESTAT:HLTH_PS_PREV(1.0),A,PC,F,C18-C21,AT,2021,,z
dataflow,ESTAT:HLTH_PS_PREV(1.0),A,PC,F,C18-C21,BG,2018,,z
dataflow,ESTAT:HLTH_PS_PREV(1.0),A,PC,F,C18-C21,BG,2019,,z
dataflow,ESTAT:HLTH_PS_PREV(1.0),A,PC,F,C18-C21,BG,2020,,z
dataflow,ESTAT:HLTH_PS_PREV(1.0),A,PC,F,C18-C21,BG,2021,,z
dataflow,ESTAT:HLTH_PS_PREV(1.0),A,PC,F,C18-C21,CY,2007,,z
dataflow,ESTAT:HLTH_PS_PREV(1.0),A,PC,F,C18-C21,CY,2008,,z
dataflow,ESTAT:HLTH_PS_PREV(1.0),A,PC,F,C18-C21,CY,2009,,z
dataflow,ESTAT:HLTH_PS_PREV(1.0),A,PC,F,C18-C21,CY,2010,,z
dataflow,ESTAT:HLTH_PS_PREV(1.0),A,PC,F,C18-C21,CY,2011,,z
dataflow,ESTAT:HLTH_PS_PREV(1.0),A,PC,F,C18-C21,CY,2012,,z
dataflow,ESTAT:HLTH_PS_PREV(1.0),A,PC,F,C18-C21,CY,2013,,z
dataflow,ESTAT:HLTH_PS_PREV(1.0),A,PC,F,C18-C21,CY,2014,,z
dataflow,ESTAT:HLTH_PS_PREV(1.0),A,PC,F,C18-C21,CY,2015,,z
dataflow,ESTAT:HLTH_PS_PREV(1.0),A,PC,F,C18-C21,CY,2016,,z
dataflow,ESTAT:HLTH_PS_PREV(1.0),A,PC,F,C18-C21,CY,2017,,z
dataflow,ESTAT:HLTH_PS_PREV(1.0),A,PC,F,C18-C21,CY,2018,,z
dataflow,ESTAT:HLTH_PS_PREV(1.0),A,PC,F,C18-C21,CY,2019,,z
