STRUCTURE,STRUCTURE_ID,freq,icd10,sex,age,isced97,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,TOTAL,ED5_6,FR,2008,1.5,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,TOTAL,ED5_6,HU,2008,3.2,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,TOTAL,ED5_6,LV,2008,3,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,TOTAL,ED5_6,MT,2008,1.3,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,TOTAL,ED5_6,PL,2008,2.5,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,TOTAL,ED5_6,RO,2008,2.2,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,TOTAL,ED5_6,SI,2008,0.6,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,TOTAL,ED5_6,SK,2008,3.4,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,TOTAL,ED5_6,TR,2008,2.9,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,TOTAL,TOTAL,AT,2008,5.9,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,TOTAL,TOTAL,BE,2008,4.3,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,TOTAL,TOTAL,BG,2008,5,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,TOTAL,TOTAL,CY,2008,4.6,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,TOTAL,TOTAL,CZ,2008,6.4,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,TOTAL,TOTAL,DE,2008,7.1,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,TOTAL,TOTAL,EE,2008,3.8,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,TOTAL,TOTAL,EL,2008,8.2,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,TOTAL,TOTAL,ES,2008,5.8,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,TOTAL,TOTAL,FR,2008,4.8,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,TOTAL,TOTAL,HU,2008,7.9,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,TOTAL,TOTAL,LV,2008,4.6,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,TOTAL,TOTAL,MT,2008,6.2,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,TOTAL,TOTAL,PL,2008,6,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,TOTAL,TOTAL,RO,2008,3.6,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,TOTAL,TOTAL,SI,2008,7.0,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,TOTAL,TOTAL,SK,2008,6.9,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,TOTAL,TOTAL,TR,2008,6.5,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y15-24,ED0-2,AT,2008,0.4,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y15-24,ED0-2,BE,2008,0.1,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y15-24,ED0-2,BG,2008,1.2,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y15-24,ED0-2,CY,2008,0.7,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y15-24,ED0-2,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y15-24,ED0-2,ES,2008,0.3,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y15-24,ED0-2,FR,2008,0.4,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y15-24,ED0-2,LV,2008,0.6,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y15-24,ED0-2,PL,2008,0.5,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y15-24,ED0-2,SI,2008,1.9,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y15-24,ED0-2,SK,2008,1.2,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y15-24,ED0-2,TR,2008,0.4,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y15-24,ED3_4,AT,2008,0.4,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y15-24,ED3_4,BE,2008,1.1,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y15-24,ED3_4,BG,2008,1.6,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y15-24,ED3_4,CZ,2008,4,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y15-24,ED3_4,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y15-24,ED3_4,EL,2008,1,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y15-24,ED3_4,FR,2008,0.5,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y15-24,ED3_4,LV,2008,1.7,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y15-24,ED3_4,MT,2008,0.5,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y15-24,ED3_4,PL,2008,0.3,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y15-24,ED3_4,RO,2008,0.3,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y15-24,ED3_4,TR,2008,0.3,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y15-24,ED5_6,BE,2008,0.4,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y15-24,ED5_6,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y15-24,ED5_6,EL,2008,0.6,u
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y15-24,ED5_6,FR,2008,0.8,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y15-24,ED5_6,PL,2008,1.8,
