STRUCTURE,STRUCTURE_ID,freq,unit,wstatus,isco08,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,DK,1985,98.26,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,DK,1986,95.11,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,DK,1987,92.13,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,DK,1988,89.24,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,DK,1989,86.69,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,DK,1990,84.30,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,DK,1991,82.20,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,DK,1992,80.41,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,DK,1993,78.45,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,DK,1994,76.63,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,DK,1995,74.86,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,DK,1996,73.40,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,DK,1997,72.07,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,DK,1998,70.60,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,DK,1999,69.22,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,DK,2000,67.95,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,DK,2001,66.79,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,DK,2002,65.73,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,DK,2003,64.67,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,DK,2004,63.66,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,DK,2005,62.83,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,DK,2006,61.99,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,DK,2007,61.13,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,DK,2008,60.24,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,DK,2009,59.34,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,DK,2010,58.54,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,DK,2011,57.81,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,DK,2012,57.24,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,DK,2013,56.55,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,DK,2014,55.83,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,DK,2015,55.32,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,DK,2016,54.86,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,DK,2017,54.40,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,DK,2018,53.81,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,DK,2019,53.20,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,EE,2002,,d
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,EE,2003,,d
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,EE,2004,,d
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,EE,2005,135.61,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,EE,2006,131.22,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,EE,2007,127.19,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,EE,2008,124.07,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,EE,2009,121.02,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,EE,2010,118.16,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,EE,2011,115.00,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,EE,2012,111.56,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,EE,2013,107.96,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,EE,2014,105.05,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,EE,2015,102.40,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,EE,2016,99.90,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,EE,2017,97.54,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,EE,2018,95.86,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,EE,2019,94.22,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,EE,2020,92.10,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,EE,2021,89.54,p
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,ES,1980,309.53,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,ES,1981,299.95,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,ES,1982,287.77,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,ES,1983,284.01,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,ES,1984,280.25,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,ES,1985,280.18,
