STRUCTURE,STRUCTURE_ID,freq,sex,age,quant_inc,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_AM7I(1.0),A,F,TOTAL,QU1,PC,AT,2019,7.9,
dataflow,ESTAT:HLTH_EHIS_AM7I(1.0),A,F,TOTAL,QU1,PC,BE,2019,25.6,
dataflow,ESTAT:HLTH_EHIS_AM7I(1.0),A,F,TOTAL,QU1,PC,BG,2019,4.2,
dataflow,ESTAT:HLTH_EHIS_AM7I(1.0),A,F,TOTAL,QU1,PC,CY,2019,6.3,
dataflow,ESTAT:HLTH_EHIS_AM7I(1.0),A,F,TOTAL,QU1,PC,CZ,2019,4.9,
dataflow,ESTAT:HLTH_EHIS_AM7I(1.0),A,F,TOTAL,QU1,PC,DE,2019,7.8,
dataflow,ESTAT:HLTH_EHIS_AM7I(1.0),A,F,TOTAL,QU1,PC,DK,2019,13.0,
dataflow,ESTAT:HLTH_EHIS_AM7I(1.0),A,F,TOTAL,QU1,PC,EE,2019,4.1,
dataflow,ESTAT:HLTH_EHIS_AM7I(1.0),A,F,TOTAL,QU1,PC,EL,2019,2.9,
dataflow,ESTAT:HLTH_EHIS_AM7I(1.0),A,F,TOTAL,QU1,PC,ES,2019,3.8,
dataflow,ESTAT:HLTH_EHIS_AM7I(1.0),A,F,TOTAL,QU1,PC,EU27_2020,2019,6.0,
dataflow,ESTAT:HLTH_EHIS_AM7I(1.0),A,F,TOTAL,QU1,PC,FI,2019,2.5,
dataflow,ESTAT:HLTH_EHIS_AM7I(1.0),A,F,TOTAL,QU1,PC,FR,2019,9.0,
dataflow,ESTAT:HLTH_EHIS_AM7I(1.0),A,F,TOTAL,QU1,PC,HR,2019,6.1,
dataflow,ESTAT:HLTH_EHIS_AM7I(1.0),A,F,TOTAL,QU1,PC,HU,2019,4.2,
dataflow,ESTAT:HLTH_EHIS_AM7I(1.0),A,F,TOTAL,QU1,PC,IE,2019,7.8,
dataflow,ESTAT:HLTH_EHIS_AM7I(1.0),A,F,TOTAL,QU1,PC,IS,2019,6.4,
dataflow,ESTAT:HLTH_EHIS_AM7I(1.0),A,F,TOTAL,QU1,PC,IT,2019,3.1,
dataflow,ESTAT:HLTH_EHIS_AM7I(1.0),A,F,TOTAL,QU1,PC,LT,2019,6.7,
dataflow,ESTAT:HLTH_EHIS_AM7I(1.0),A,F,TOTAL,QU1,PC,LU,2019,7.6,
dataflow,ESTAT:HLTH_EHIS_AM7I(1.0),A,F,TOTAL,QU1,PC,LV,2019,6.3,
dataflow,ESTAT:HLTH_EHIS_AM7I(1.0),A,F,TOTAL,QU1,PC,MT,2019,6.4,
dataflow,ESTAT:HLTH_EHIS_AM7I(1.0),A,F,TOTAL,QU1,PC,NL,2019,4.8,
dataflow,ESTAT:HLTH_EHIS_AM7I(1.0),A,F,TOTAL,QU1,PC,NO,2019,18.8,
dataflow,ESTAT:HLTH_EHIS_AM7I(1.0),A,F,TOTAL,QU1,PC,PL,2019,5.9,
dataflow,ESTAT:HLTH_EHIS_AM7I(1.0),A,F,TOTAL,QU1,PC,PT,2019,3.9,
dataflow,ESTAT:HLTH_EHIS_AM7I(1.0),A,F,TOTAL,QU1,PC,RO,2019,1.4,
dataflow,ESTAT:HLTH_EHIS_AM7I(1.0),A,F,TOTAL,QU1,PC,RS,2019,2.4,
dataflow,ESTAT:HLTH_EHIS_AM7I(1.0),A,F,TOTAL,QU1,PC,SE,2019,5.7,
dataflow,ESTAT:HLTH_EHIS_AM7I(1.0),A,F,TOTAL,QU1,PC,SI,2019,5.2,
dataflow,ESTAT:HLTH_EHIS_AM7I(1.0),A,F,TOTAL,QU1,PC,SK,2019,0.7,
dataflow,ESTAT:HLTH_EHIS_AM7I(1.0),A,F,TOTAL,QU1,PC,TR,2019,1.2,
dataflow,ESTAT:HLTH_EHIS_AM7I(1.0),A,F,TOTAL,QU2,PC,AT,2019,4.4,
dataflow,ESTAT:HLTH_EHIS_AM7I(1.0),A,F,TOTAL,QU2,PC,BE,2019,18.7,
dataflow,ESTAT:HLTH_EHIS_AM7I(1.0),A,F,TOTAL,QU2,PC,BG,2019,2.9,
dataflow,ESTAT:HLTH_EHIS_AM7I(1.0),A,F,TOTAL,QU2,PC,CY,2019,1.4,
dataflow,ESTAT:HLTH_EHIS_AM7I(1.0),A,F,TOTAL,QU2,PC,CZ,2019,2.4,
dataflow,ESTAT:HLTH_EHIS_AM7I(1.0),A,F,TOTAL,QU2,PC,DE,2019,7.9,
dataflow,ESTAT:HLTH_EHIS_AM7I(1.0),A,F,TOTAL,QU2,PC,DK,2019,5.9,
