STRUCTURE,STRUCTURE_ID,freq,unit,yes_no,hlth_pb,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DE050(1.0),A,THS,NO,PB1040,TOTAL,F,AT,2011,583.505,
dataflow,ESTAT:HLTH_DE050(1.0),A,THS,NO,PB1040,TOTAL,F,BE,2011,449.536,
dataflow,ESTAT:HLTH_DE050(1.0),A,THS,NO,PB1040,TOTAL,F,BG,2011,277.6,
dataflow,ESTAT:HLTH_DE050(1.0),A,THS,NO,PB1040,TOTAL,F,CH,2011,375.751,
dataflow,ESTAT:HLTH_DE050(1.0),A,THS,NO,PB1040,TOTAL,F,CY,2011,27.068,
dataflow,ESTAT:HLTH_DE050(1.0),A,THS,NO,PB1040,TOTAL,F,CZ,2011,289.235,
dataflow,ESTAT:HLTH_DE050(1.0),A,THS,NO,PB1040,TOTAL,F,DE,2011,3019.989,
dataflow,ESTAT:HLTH_DE050(1.0),A,THS,NO,PB1040,TOTAL,F,DK,2011,206.962,
dataflow,ESTAT:HLTH_DE050(1.0),A,THS,NO,PB1040,TOTAL,F,EE,2011,76.023,
dataflow,ESTAT:HLTH_DE050(1.0),A,THS,NO,PB1040,TOTAL,F,EL,2011,250.076,
dataflow,ESTAT:HLTH_DE050(1.0),A,THS,NO,PB1040,TOTAL,F,ES,2011,1188.824,
dataflow,ESTAT:HLTH_DE050(1.0),A,THS,NO,PB1040,TOTAL,F,FI,2011,298.909,
dataflow,ESTAT:HLTH_DE050(1.0),A,THS,NO,PB1040,TOTAL,F,FR,2011,4353.863,
dataflow,ESTAT:HLTH_DE050(1.0),A,THS,NO,PB1040,TOTAL,F,HR,2011,210.118,
dataflow,ESTAT:HLTH_DE050(1.0),A,THS,NO,PB1040,TOTAL,F,HU,2011,469.146,
dataflow,ESTAT:HLTH_DE050(1.0),A,THS,NO,PB1040,TOTAL,F,IE,2011,70.768,
dataflow,ESTAT:HLTH_DE050(1.0),A,THS,NO,PB1040,TOTAL,F,IS,2011,15.43,
dataflow,ESTAT:HLTH_DE050(1.0),A,THS,NO,PB1040,TOTAL,F,IT,2011,1637.564,
dataflow,ESTAT:HLTH_DE050(1.0),A,THS,NO,PB1040,TOTAL,F,LT,2011,145.424,
dataflow,ESTAT:HLTH_DE050(1.0),A,THS,NO,PB1040,TOTAL,F,LU,2011,34.33,
dataflow,ESTAT:HLTH_DE050(1.0),A,THS,NO,PB1040,TOTAL,F,LV,2011,134.913,
dataflow,ESTAT:HLTH_DE050(1.0),A,THS,NO,PB1040,TOTAL,F,MT,2011,10.291,
dataflow,ESTAT:HLTH_DE050(1.0),A,THS,NO,PB1040,TOTAL,F,NL,2011,711.824,
dataflow,ESTAT:HLTH_DE050(1.0),A,THS,NO,PB1040,TOTAL,F,PL,2011,1828.957,
dataflow,ESTAT:HLTH_DE050(1.0),A,THS,NO,PB1040,TOTAL,F,PT,2011,625.906,
dataflow,ESTAT:HLTH_DE050(1.0),A,THS,NO,PB1040,TOTAL,F,RO,2011,898.284,
dataflow,ESTAT:HLTH_DE050(1.0),A,THS,NO,PB1040,TOTAL,F,SE,2011,372.385,
dataflow,ESTAT:HLTH_DE050(1.0),A,THS,NO,PB1040,TOTAL,F,SI,2011,117.692,
