STRUCTURE,STRUCTURE_ID,freq,unit,physact,sex,age,lev_limit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,IS,2019,49.0,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,IT,2014,7.7,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,IT,2019,8.8,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,LT,2014,9.1,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,LT,2019,9.5,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,LU,2014,31.0,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,LU,2019,39.4,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,LV,2014,14.6,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,LV,2019,12.1,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,MT,2014,27.4,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,MT,2019,4.0,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,NL,2019,49.8,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,NO,2014,49.9,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,NO,2019,57.5,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,PL,2014,9.3,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,PL,2019,9.7,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,PT,2014,7.9,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,PT,2019,7.4,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,RO,2014,1.1,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,RO,2019,0.3,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,RS,2019,5.5,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,SE,2014,47.0,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,SE,2019,48.6,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,SI,2014,26.9,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,SI,2019,20.4,u
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,SK,2014,17.2,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,SK,2019,17.6,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,TR,2014,1.5,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,TR,2019,1.2,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,UK,2014,24.5,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,AT,2014,50.6,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,AT,2019,47.2,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,BE,2019,29.4,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,BG,2014,6.6,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,BG,2019,7.6,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,CY,2014,23.3,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,CY,2019,20.0,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,CZ,2014,29.5,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,CZ,2019,23.8,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,DE,2014,49.2,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,DE,2019,53.5,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,DK,2014,62.1,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,DK,2019,62.3,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,EE,2014,24.1,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,EE,2019,29.1,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,EL,2014,17.5,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,EL,2019,17.3,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,ES,2014,30.1,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,ES,2019,33.4,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,EU27_2020,2014,28.4,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,EU27_2020,2019,28.2,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,EU28,2014,29.5,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,FI,2014,60.2,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,FI,2019,73.6,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,FR,2014,21.4,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,FR,2019,24.7,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,HR,2014,17.6,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,HR,2019,23.1,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,HU,2014,29.7,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,HU,2019,34.2,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,IE,2014,27.7,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,IE,2019,37.6,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,IS,2014,65.8,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,IS,2019,62.4,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,IT,2014,15.8,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,IT,2019,18.0,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,LT,2014,19.4,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,LT,2019,20.0,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,LU,2014,41.9,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,LU,2019,43.5,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,LV,2014,25.2,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,LV,2019,22.3,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,MT,2014,33.7,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,MT,2019,11.1,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,NL,2019,66.4,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,NO,2014,59.6,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,NO,2019,67.5,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,PL,2014,16.2,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,PL,2019,19.5,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,PT,2014,16.4,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,PT,2019,16.6,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,RO,2014,4.3,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,RO,2019,4.9,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,RS,2019,15.6,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,SE,2014,59.0,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,SE,2019,62.2,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,SI,2014,37.7,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,SI,2019,33.9,u
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,SK,2014,30.7,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,SK,2019,29.9,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,TR,2014,3.2,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,TR,2019,2.9,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,NONE,UK,2014,37.5,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,AT,2014,32.1,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,AT,2019,11.9,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,BE,2019,8.3,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,BG,2014,1.0,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,BG,2019,0.9,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,CY,2014,11.5,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,CY,2019,7.3,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,CZ,2014,4.8,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,CZ,2019,2.3,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,DE,2014,18.7,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,DE,2019,20.9,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,DK,2014,34.5,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,DK,2019,25.6,u
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,EE,2014,6.2,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,EE,2019,8.3,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,EL,2014,2.8,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,EL,2019,1.1,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,ES,2014,11.9,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,ES,2019,14.2,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,EU27_2020,2014,9.9,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,EU27_2020,2019,10.3,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,EU28,2014,10.1,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,FI,2014,26.2,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,FI,2019,,u
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,FR,2014,7.3,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,FR,2019,7.0,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,HR,2014,10.2,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,HR,2019,5.5,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,HU,2014,8.1,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,HU,2019,7.2,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,IE,2014,10.3,u
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,IE,2019,7.1,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,IS,2014,50.5,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,IS,2019,37.3,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,IT,2014,3.1,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,IT,2019,4.2,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,LT,2014,5.0,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,LT,2019,3.9,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,LU,2014,23.7,u
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,LU,2019,16.9,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,LV,2014,7.1,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,LV,2019,5.2,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,MT,2014,11.7,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,MT,2019,7.2,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,NL,2019,19.4,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,NO,2014,25.7,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,NO,2019,52.5,u
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,PL,2014,4.9,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,PL,2019,6.1,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,PT,2014,6.7,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,PT,2019,1.9,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,RO,2014,0,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,RO,2019,0,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,RS,2019,3.0,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,SE,2014,33.9,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,SE,2019,33.5,u
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,SI,2014,15.0,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,SI,2019,6.8,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,SK,2014,6.8,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,SK,2019,5.1,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,TR,2014,1.2,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,TR,2019,0.9,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SEV,UK,2014,11.4,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SM_SEV,AT,2014,41.7,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SM_SEV,AT,2019,27.5,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SM_SEV,BE,2019,14.4,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SM_SEV,BG,2014,1.7,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SM_SEV,BG,2019,2.0,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SM_SEV,CY,2014,13.2,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SM_SEV,CY,2019,9.9,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SM_SEV,CZ,2014,13.2,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SM_SEV,CZ,2019,9.4,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SM_SEV,DE,2014,33.3,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SM_SEV,DE,2019,33.4,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SM_SEV,DK,2014,47.9,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SM_SEV,DK,2019,46.4,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SM_SEV,EE,2014,12.5,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SM_SEV,EE,2019,14.3,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SM_SEV,EL,2014,5.9,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SM_SEV,EL,2019,3.1,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SM_SEV,ES,2014,20.2,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SM_SEV,ES,2019,19.2,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SM_SEV,EU27_2020,2014,17.4,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SM_SEV,EU27_2020,2019,19.0,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,SM_SEV,EU28,2014,18.0,
