STRUCTURE,STRUCTURE_ID,freq,unit,physact,sex,age,lev_limit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,AT,2014,44.6,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,AT,2019,33.5,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,BE,2019,16.4,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,BG,2014,1.9,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,BG,2019,2.3,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,CY,2014,14.2,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,CY,2019,11.4,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,CZ,2014,15.7,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,CZ,2019,11.4,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,DE,2014,37.9,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,DE,2019,36.9,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,DK,2014,50.0,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,DK,2019,48.8,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,EE,2014,15.1,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,EE,2019,16.9,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,EL,2014,7.5,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,EL,2019,5.0,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,ES,2014,21.9,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,ES,2019,20.3,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,EU27_2020,2014,19.9,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,EU27_2020,2019,21.8,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,EU28,2014,20.5,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,FI,2014,47.1,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,FI,2019,68.1,u
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,FR,2014,13.7,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,FR,2019,15.1,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,HR,2014,10.8,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,HR,2019,12.8,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,HU,2014,16.9,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,HU,2019,19.3,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,IE,2014,14.7,u
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,IE,2019,22.2,
dataflow,ESTAT:HLTH_EHIS_PE9D(1.0),A,PC,MV_AERO,F,TOTAL,MOD,IS,2014,56.8,
