STRUCTURE,STRUCTURE_ID,freq,unit,severity,age,sex,nace_r1,wrkstat,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,TOTAL,EU_V,2005,253872,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,WST_1,EU_V,2005,232952,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,WST_2,EU_V,2005,14489,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,WST_9,EU_V,2005,6431,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,TOTAL,EU_V,2005,875570,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,WST_1,EU_V,2005,770818,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,WST_2,EU_V,2005,56472,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,WST_9,EU_V,2005,48280,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,A,TOTAL,EU_V,2005,60475,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,A,WST_1,EU_V,2005,55847,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,A,WST_2,EU_V,2005,1217,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,A,WST_9,EU_V,2005,3411,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,B,TOTAL,EU_V,2005,3802,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,B,WST_1,EU_V,2005,3687,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,B,WST_2,EU_V,2005,45,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,B,WST_9,EU_V,2005,70,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,C,TOTAL,EU_V,2005,14847,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,C,WST_1,EU_V,2005,14267,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,C,WST_2,EU_V,2005,312,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,C,WST_9,EU_V,2005,268,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,D,TOTAL,EU_V,2005,333103,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,D,WST_1,EU_V,2005,314855,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,D,WST_2,EU_V,2005,9201,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,D,WST_9,EU_V,2005,9047,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,E,TOTAL,EU_V,2005,8934,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,E,WST_1,EU_V,2005,6690,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,E,WST_2,EU_V,2005,1434,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,E,WST_9,EU_V,2005,810,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,F,TOTAL,EU_V,2005,239332,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,F,WST_1,EU_V,2005,203590,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,F,WST_2,EU_V,2005,11786,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,F,WST_9,EU_V,2005,23956,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,G,TOTAL,EU_V,2005,136435,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,G,WST_1,EU_V,2005,123634,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,G,WST_2,EU_V,2005,9121,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,G,WST_9,EU_V,2005,3680,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,H,TOTAL,EU_V,2005,52032,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,H,WST_1,EU_V,2005,49107,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,H,WST_2,EU_V,2005,2287,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,H,WST_9,EU_V,2005,638,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,I,TOTAL,EU_V,2005,77410,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,I,WST_1,EU_V,2005,59996,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,I,WST_2,EU_V,2005,13582,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,I,WST_9,EU_V,2005,3832,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,J,TOTAL,EU_V,2005,3424,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,J,WST_1,EU_V,2005,2500,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,J,WST_2,EU_V,2005,740,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,J,WST_9,EU_V,2005,184,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,K,TOTAL,EU_V,2005,52760,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,K,WST_1,EU_V,2005,42583,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,K,WST_2,EU_V,2005,7332,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,K,WST_9,EU_V,2005,2845,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,L,TOTAL,EU_V,2005,51607,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,L,WST_1,EU_V,2005,42012,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,L,WST_2,EU_V,2005,6528,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,L,WST_9,EU_V,2005,3067,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,M,TOTAL,EU_V,2005,14304,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,M,WST_1,EU_V,2005,12827,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,M,WST_2,EU_V,2005,951,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,M,WST_9,EU_V,2005,526,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,N,TOTAL,EU_V,2005,43647,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,N,WST_1,EU_V,2005,39631,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,N,WST_2,EU_V,2005,3188,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,N,WST_9,EU_V,2005,828,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,O,TOTAL,EU_V,2005,35561,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,O,WST_1,EU_V,2005,31015,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,O,WST_2,EU_V,2005,3079,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,O,WST_9,EU_V,2005,1467,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,P,TOTAL,EU_V,2005,1074,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,P,WST_1,EU_V,2005,979,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,P,WST_2,EU_V,2005,50,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,P,WST_9,EU_V,2005,45,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,Q,TOTAL,EU_V,2005,371,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,Q,WST_1,EU_V,2005,305,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,Q,WST_2,EU_V,2005,48,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,Q,WST_9,EU_V,2005,18,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,TOTAL,TOTAL,EU_V,2005,1129528,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,TOTAL,WST_1,EU_V,2005,1003854,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,TOTAL,WST_2,EU_V,2005,70962,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,TOTAL,WST_9,EU_V,2005,54711,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,UNK,TOTAL,EU_V,2005,409,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,UNK,WST_1,EU_V,2005,330,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,UNK,WST_2,EU_V,2005,61,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,T,UNK,WST_9,EU_V,2005,18,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,UNK,TOTAL,TOTAL,EU_V,2005,87,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,TOTAL,UNK,TOTAL,WST_1,EU_V,2005,86,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,UNK,T,TOTAL,TOTAL,EU_V,2005,158,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,UNK,T,TOTAL,WST_1,EU_V,2005,131,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,UNK,T,TOTAL,WST_9,EU_V,2005,27,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,Y15-17,T,TOTAL,TOTAL,EU_V,2005,9443,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,Y15-17,T,TOTAL,WST_1,EU_V,2005,8343,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,Y15-17,T,TOTAL,WST_2,EU_V,2005,666,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,Y15-17,T,TOTAL,WST_9,EU_V,2005,435,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,Y18-24,T,TOTAL,TOTAL,EU_V,2005,174396,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,Y18-24,T,TOTAL,WST_1,EU_V,2005,156590,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,Y18-24,T,TOTAL,WST_2,EU_V,2005,9113,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,Y18-24,T,TOTAL,WST_9,EU_V,2005,8693,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,Y25-34,T,TOTAL,TOTAL,EU_V,2005,345739,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,Y25-34,T,TOTAL,WST_1,EU_V,2005,305527,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,Y25-34,T,TOTAL,WST_2,EU_V,2005,22491,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,Y25-34,T,TOTAL,WST_9,EU_V,2005,17721,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,Y35-44,T,TOTAL,TOTAL,EU_V,2005,286385,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,Y35-44,T,TOTAL,WST_1,EU_V,2005,253580,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,Y35-44,T,TOTAL,WST_2,EU_V,2005,18654,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,Y35-44,T,TOTAL,WST_9,EU_V,2005,14151,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,Y45-54,T,TOTAL,TOTAL,EU_V,2005,214531,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,Y45-54,T,TOTAL,WST_1,EU_V,2005,190943,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,Y45-54,T,TOTAL,WST_2,EU_V,2005,14469,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,Y45-54,T,TOTAL,WST_9,EU_V,2005,9119,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,Y55-64,T,TOTAL,TOTAL,EU_V,2005,93656,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,Y55-64,T,TOTAL,WST_1,EU_V,2005,84194,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,Y55-64,T,TOTAL,WST_2,EU_V,2005,5375,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,Y55-64,T,TOTAL,WST_9,EU_V,2005,4087,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,Y_GE65,T,TOTAL,TOTAL,EU_V,2005,4959,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,Y_GE65,T,TOTAL,WST_1,EU_V,2005,4305,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,Y_GE65,T,TOTAL,WST_2,EU_V,2005,194,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,D_GE4,Y_GE65,T,TOTAL,WST_9,EU_V,2005,461,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,FAT,TOTAL,F,TOTAL,TOTAL,EU_V,2005,126,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,FAT,TOTAL,F,TOTAL,WST_1,EU_V,2005,51,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,FAT,TOTAL,F,TOTAL,WST_2,EU_V,2005,59,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,FAT,TOTAL,F,TOTAL,WST_9,EU_V,2005,16,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,FAT,TOTAL,M,TOTAL,TOTAL,EU_V,2005,2253,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,FAT,TOTAL,M,TOTAL,WST_1,EU_V,2005,1105,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,FAT,TOTAL,M,TOTAL,WST_2,EU_V,2005,915,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,FAT,TOTAL,M,TOTAL,WST_9,EU_V,2005,233,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,FAT,TOTAL,T,A,TOTAL,EU_V,2005,239,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,FAT,TOTAL,T,A,WST_1,EU_V,2005,164,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,FAT,TOTAL,T,A,WST_2,EU_V,2005,51,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,FAT,TOTAL,T,A,WST_9,EU_V,2005,24,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,FAT,TOTAL,T,B,TOTAL,EU_V,2005,13,
dataflow,ESTAT:HSW_AW_WS1(1.0),A,NR,FAT,TOTAL,T,B,WST_1,EU_V,2005,9,
