STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DLM170(1.0),A,THS,NRP,TOTAL,F,CH,2011,20.48,
dataflow,ESTAT:HLTH_DLM170(1.0),A,THS,NRP,TOTAL,F,CZ,2011,,u
dataflow,ESTAT:HLTH_DLM170(1.0),A,THS,NRP,TOTAL,F,DE,2011,3237.859,
dataflow,ESTAT:HLTH_DLM170(1.0),A,THS,NRP,TOTAL,F,EE,2011,,u
dataflow,ESTAT:HLTH_DLM170(1.0),A,THS,NRP,TOTAL,F,EL,2011,6.546,u
dataflow,ESTAT:HLTH_DLM170(1.0),A,THS,NRP,TOTAL,F,ES,2011,264.506,
dataflow,ESTAT:HLTH_DLM170(1.0),A,THS,NRP,TOTAL,F,EU28,2011,4811.849,
dataflow,ESTAT:HLTH_DLM170(1.0),A,THS,NRP,TOTAL,F,FI,2011,2.736,u
dataflow,ESTAT:HLTH_DLM170(1.0),A,THS,NRP,TOTAL,F,FR,2011,1159.421,
dataflow,ESTAT:HLTH_DLM170(1.0),A,THS,NRP,TOTAL,F,IE,2011,1.693,
dataflow,ESTAT:HLTH_DLM170(1.0),A,THS,NRP,TOTAL,F,IS,2011,,u
dataflow,ESTAT:HLTH_DLM170(1.0),A,THS,NRP,TOTAL,F,IT,2011,38.323,
dataflow,ESTAT:HLTH_DLM170(1.0),A,THS,NRP,TOTAL,F,LU,2011,1.658,
dataflow,ESTAT:HLTH_DLM170(1.0),A,THS,NRP,TOTAL,F,NL,2011,9.459,u
dataflow,ESTAT:HLTH_DLM170(1.0),A,THS,NRP,TOTAL,F,PT,2011,,u
dataflow,ESTAT:HLTH_DLM170(1.0),A,THS,NRP,TOTAL,F,SE,2011,22.54,
dataflow,ESTAT:HLTH_DLM170(1.0),A,THS,NRP,TOTAL,F,SK,2011,,u
dataflow,ESTAT:HLTH_DLM170(1.0),A,THS,NRP,TOTAL,F,UK,2011,65.138,
dataflow,ESTAT:HLTH_DLM170(1.0),A,THS,NRP,TOTAL,M,CH,2011,10.833,
dataflow,ESTAT:HLTH_DLM170(1.0),A,THS,NRP,TOTAL,M,CZ,2011,,u
dataflow,ESTAT:HLTH_DLM170(1.0),A,THS,NRP,TOTAL,M,DE,2011,3445.059,
dataflow,ESTAT:HLTH_DLM170(1.0),A,THS,NRP,TOTAL,M,EE,2011,,u
dataflow,ESTAT:HLTH_DLM170(1.0),A,THS,NRP,TOTAL,M,EL,2011,5.782,u
dataflow,ESTAT:HLTH_DLM170(1.0),A,THS,NRP,TOTAL,M,ES,2011,330.976,
dataflow,ESTAT:HLTH_DLM170(1.0),A,THS,NRP,TOTAL,M,EU28,2011,4820.736,
dataflow,ESTAT:HLTH_DLM170(1.0),A,THS,NRP,TOTAL,M,FI,2011,2.568,u
dataflow,ESTAT:HLTH_DLM170(1.0),A,THS,NRP,TOTAL,M,FR,2011,929.21,
dataflow,ESTAT:HLTH_DLM170(1.0),A,THS,NRP,TOTAL,M,IE,2011,1.65,
dataflow,ESTAT:HLTH_DLM170(1.0),A,THS,NRP,TOTAL,M,IS,2011,,u
dataflow,ESTAT:HLTH_DLM170(1.0),A,THS,NRP,TOTAL,M,IT,2011,33.17,
dataflow,ESTAT:HLTH_DLM170(1.0),A,THS,NRP,TOTAL,M,LU,2011,0.909,u
dataflow,ESTAT:HLTH_DLM170(1.0),A,THS,NRP,TOTAL,M,NL,2011,7.387,u
dataflow,ESTAT:HLTH_DLM170(1.0),A,THS,NRP,TOTAL,M,PT,2011,,u
dataflow,ESTAT:HLTH_DLM170(1.0),A,THS,NRP,TOTAL,M,SE,2011,10.558,
dataflow,ESTAT:HLTH_DLM170(1.0),A,THS,NRP,TOTAL,M,SK,2011,,u
dataflow,ESTAT:HLTH_DLM170(1.0),A,THS,NRP,TOTAL,M,UK,2011,51.405,
dataflow,ESTAT:HLTH_DLM170(1.0),A,THS,NRP,TOTAL,T,CH,2011,31.313,
dataflow,ESTAT:HLTH_DLM170(1.0),A,THS,NRP,TOTAL,T,CZ,2011,,u
dataflow,ESTAT:HLTH_DLM170(1.0),A,THS,NRP,TOTAL,T,DE,2011,6682.918,
dataflow,ESTAT:HLTH_DLM170(1.0),A,THS,NRP,TOTAL,T,EE,2011,,u
dataflow,ESTAT:HLTH_DLM170(1.0),A,THS,NRP,TOTAL,T,EL,2011,12.327,
