STRUCTURE,STRUCTURE_ID,freq,unit,sex,icd10,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT,2013,2317.3,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT,2014,2290.9,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT,2015,2244.5,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT,2016,2216.5,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT,2017,2140.2,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT,2018,2105.8,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT,2019,2064.5,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT,2020,2058,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT1,2013,2490.4,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT1,2014,2462.7,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT1,2015,2392.4,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT1,2016,2372.2,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT1,2017,2256.8,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT1,2018,2250.3,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT1,2019,2195.3,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT1,2020,2203.4,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT11,2013,2052.3,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT11,2014,2198.5,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT11,2015,2043.8,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT11,2016,2204.1,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT11,2017,2097.9,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT11,2018,2208.6,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT11,2019,1926.2,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT11,2020,1809,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT12,2013,2221.8,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT12,2014,2223.5,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT12,2015,2205.4,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT12,2016,2195.9,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT12,2017,2095.3,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT12,2018,2039.1,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT12,2019,2034,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT12,2020,2028.6,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT13,2013,2806.7,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT13,2014,2727.7,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT13,2015,2627.9,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT13,2016,2574.7,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT13,2017,2439.3,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT13,2018,2453.7,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT13,2019,2382.3,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT13,2020,2412.9,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT2,2013,2337.1,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT2,2014,2311.1,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT2,2015,2259.3,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT2,2016,2196.6,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT2,2017,2121.5,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT2,2018,2034.9,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT2,2019,1999.2,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT2,2020,1927.6,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT21,2013,2417.8,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT21,2014,2313.8,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT21,2015,2302.7,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT21,2016,2205.9,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT21,2017,2121.4,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT21,2018,2102,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT21,2019,2104.1,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT21,2020,2012,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT22,2013,2300.7,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT22,2014,2309.3,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT22,2015,2240,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT22,2016,2193,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT22,2017,2122.9,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT22,2018,2006.9,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT22,2019,1952.1,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT22,2020,1890.4,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT3,2013,2039.2,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT3,2014,2006.8,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT3,2015,1990.2,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT3,2016,1967.6,
dataflow,ESTAT:HLTH_CD_YPYLL(1.0),A,YR,F,A-R_V-Y,AT3,2017,1936.9,
