STRUCTURE,STRUCTURE_ID,freq,unit,lev_limit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DM080(1.0),A,PC,NONE,Y16-24,F,AL,2017,0.7,
dataflow,ESTAT:HLTH_DM080(1.0),A,PC,NONE,Y16-24,F,AL,2018,0.2,
dataflow,ESTAT:HLTH_DM080(1.0),A,PC,NONE,Y16-24,F,AL,2019,0.0,n
dataflow,ESTAT:HLTH_DM080(1.0),A,PC,NONE,Y16-24,F,AL,2020,0.5,
dataflow,ESTAT:HLTH_DM080(1.0),A,PC,NONE,Y16-24,F,AT,2010,0.4,
dataflow,ESTAT:HLTH_DM080(1.0),A,PC,NONE,Y16-24,F,AT,2011,1.1,
dataflow,ESTAT:HLTH_DM080(1.0),A,PC,NONE,Y16-24,F,AT,2012,0.6,
dataflow,ESTAT:HLTH_DM080(1.0),A,PC,NONE,Y16-24,F,AT,2013,0.9,
dataflow,ESTAT:HLTH_DM080(1.0),A,PC,NONE,Y16-24,F,AT,2014,0.4,
dataflow,ESTAT:HLTH_DM080(1.0),A,PC,NONE,Y16-24,F,AT,2015,1.1,
dataflow,ESTAT:HLTH_DM080(1.0),A,PC,NONE,Y16-24,F,AT,2016,0.5,
dataflow,ESTAT:HLTH_DM080(1.0),A,PC,NONE,Y16-24,F,AT,2017,0.6,
dataflow,ESTAT:HLTH_DM080(1.0),A,PC,NONE,Y16-24,F,AT,2018,0.0,
dataflow,ESTAT:HLTH_DM080(1.0),A,PC,NONE,Y16-24,F,AT,2019,0.3,
dataflow,ESTAT:HLTH_DM080(1.0),A,PC,NONE,Y16-24,F,AT,2020,0.7,
dataflow,ESTAT:HLTH_DM080(1.0),A,PC,NONE,Y16-24,F,BE,2010,0.0,
dataflow,ESTAT:HLTH_DM080(1.0),A,PC,NONE,Y16-24,F,BE,2011,0.6,
dataflow,ESTAT:HLTH_DM080(1.0),A,PC,NONE,Y16-24,F,BE,2012,0.2,
dataflow,ESTAT:HLTH_DM080(1.0),A,PC,NONE,Y16-24,F,BE,2013,0.4,
dataflow,ESTAT:HLTH_DM080(1.0),A,PC,NONE,Y16-24,F,BE,2014,0.9,
dataflow,ESTAT:HLTH_DM080(1.0),A,PC,NONE,Y16-24,F,BE,2015,0.3,
dataflow,ESTAT:HLTH_DM080(1.0),A,PC,NONE,Y16-24,F,BE,2016,0.5,
dataflow,ESTAT:HLTH_DM080(1.0),A,PC,NONE,Y16-24,F,BE,2017,0.7,
dataflow,ESTAT:HLTH_DM080(1.0),A,PC,NONE,Y16-24,F,BE,2018,0.5,
dataflow,ESTAT:HLTH_DM080(1.0),A,PC,NONE,Y16-24,F,BE,2019,0.4,b
dataflow,ESTAT:HLTH_DM080(1.0),A,PC,NONE,Y16-24,F,BE,2020,1.2,
dataflow,ESTAT:HLTH_DM080(1.0),A,PC,NONE,Y16-24,F,BG,2010,1.2,
dataflow,ESTAT:HLTH_DM080(1.0),A,PC,NONE,Y16-24,F,BG,2011,1.2,
dataflow,ESTAT:HLTH_DM080(1.0),A,PC,NONE,Y16-24,F,BG,2012,1.6,
dataflow,ESTAT:HLTH_DM080(1.0),A,PC,NONE,Y16-24,F,BG,2013,1.5,
dataflow,ESTAT:HLTH_DM080(1.0),A,PC,NONE,Y16-24,F,BG,2014,2.3,
dataflow,ESTAT:HLTH_DM080(1.0),A,PC,NONE,Y16-24,F,BG,2015,3.4,
dataflow,ESTAT:HLTH_DM080(1.0),A,PC,NONE,Y16-24,F,BG,2016,1.7,
dataflow,ESTAT:HLTH_DM080(1.0),A,PC,NONE,Y16-24,F,BG,2017,2.4,
dataflow,ESTAT:HLTH_DM080(1.0),A,PC,NONE,Y16-24,F,BG,2018,2.4,
dataflow,ESTAT:HLTH_DM080(1.0),A,PC,NONE,Y16-24,F,BG,2019,1.2,
dataflow,ESTAT:HLTH_DM080(1.0),A,PC,NONE,Y16-24,F,BG,2020,2.1,
dataflow,ESTAT:HLTH_DM080(1.0),A,PC,NONE,Y16-24,F,CH,2010,0.0,
dataflow,ESTAT:HLTH_DM080(1.0),A,PC,NONE,Y16-24,F,CH,2011,0.5,
dataflow,ESTAT:HLTH_DM080(1.0),A,PC,NONE,Y16-24,F,CH,2012,0.4,
dataflow,ESTAT:HLTH_DM080(1.0),A,PC,NONE,Y16-24,F,CH,2013,0.2,
dataflow,ESTAT:HLTH_DM080(1.0),A,PC,NONE,Y16-24,F,CH,2014,2.0,
dataflow,ESTAT:HLTH_DM080(1.0),A,PC,NONE,Y16-24,F,CH,2015,0.6,
dataflow,ESTAT:HLTH_DM080(1.0),A,PC,NONE,Y16-24,F,CH,2016,0.6,
