STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,wstatus,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,EMP,M,TR,2011,63.4,
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,EMP,M,UK,2011,15.7,
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,EMP,T,AT,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,EMP,T,BE,2011,32.4,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,EMP,T,BG,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,EMP,T,CH,2011,9.6,
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,EMP,T,CY,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,EMP,T,CZ,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,EMP,T,DE,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,EMP,T,DK,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,EMP,T,EE,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,EMP,T,EL,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,EMP,T,ES,2011,55.5,
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,EMP,T,FI,2011,19.9,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,EMP,T,FR,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,EMP,T,HR,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,EMP,T,HU,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,EMP,T,IE,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,EMP,T,IS,2011,38.4,
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,EMP,T,IT,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,EMP,T,LT,2011,,u
