STRUCTURE,STRUCTURE_ID,freq,unit,severity,age,sex,nace_r1,matagent,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_MAC1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_0100,EU_V,2005,102271,
dataflow,ESTAT:HSW_AW_MAC1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_0200,EU_V,2005,32135,
dataflow,ESTAT:HSW_AW_MAC1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_0300,EU_V,2005,545,
dataflow,ESTAT:HSW_AW_MAC1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_0400,EU_V,2005,2231,
dataflow,ESTAT:HSW_AW_MAC1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_0500,EU_V,2005,2006,
dataflow,ESTAT:HSW_AW_MAC1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_0600,EU_V,2005,26399,
dataflow,ESTAT:HSW_AW_MAC1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_0700,EU_V,2005,5534,
dataflow,ESTAT:HSW_AW_MAC1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_0800,EU_V,2005,4576,
dataflow,ESTAT:HSW_AW_MAC1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_0900,EU_V,2005,3096,
dataflow,ESTAT:HSW_AW_MAC1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_1000,EU_V,2005,20030,
dataflow,ESTAT:HSW_AW_MAC1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_1100,EU_V,2005,43280,
dataflow,ESTAT:HSW_AW_MAC1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_1200,EU_V,2005,19463,
dataflow,ESTAT:HSW_AW_MAC1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_1300,EU_V,2005,1148,
dataflow,ESTAT:HSW_AW_MAC1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_1400,EU_V,2005,66351,
dataflow,ESTAT:HSW_AW_MAC1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_1500,EU_V,2005,15589,
dataflow,ESTAT:HSW_AW_MAC1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_1600,EU_V,2005,727,
dataflow,ESTAT:HSW_AW_MAC1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_1700,EU_V,2005,26345,
dataflow,ESTAT:HSW_AW_MAC1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_1800,EU_V,2005,53573,
dataflow,ESTAT:HSW_AW_MAC1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_1900,EU_V,2005,1187,
dataflow,ESTAT:HSW_AW_MAC1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_2000,EU_V,2005,3878,
dataflow,ESTAT:HSW_AW_MAC1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_9900,EU_V,2005,13695,
dataflow,ESTAT:HSW_AW_MAC1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,TOTAL,EU_V,2005,444057,
dataflow,ESTAT:HSW_AW_MAC1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,MAT_0100,EU_V,2005,173024,
dataflow,ESTAT:HSW_AW_MAC1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,MAT_0200,EU_V,2005,90564,
dataflow,ESTAT:HSW_AW_MAC1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,MAT_0300,EU_V,2005,5860,
dataflow,ESTAT:HSW_AW_MAC1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,MAT_0400,EU_V,2005,12083,
dataflow,ESTAT:HSW_AW_MAC1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,MAT_0500,EU_V,2005,11220,
dataflow,ESTAT:HSW_AW_MAC1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,MAT_0600,EU_V,2005,71780,
