STRUCTURE,STRUCTURE_ID,freq,unit,barrier,wstatus,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,M,LV,2012,16.4,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,M,MT,2012,2.6,u
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,M,NL,2012,201.8,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,M,NO,2012,67.1,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,M,PL,2012,197.1,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,M,PT,2012,57.7,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,M,RO,2012,140.5,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,M,SE,2012,107.4,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,M,SI,2012,24.3,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,M,SK,2012,55.3,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,M,UK,2012,654.5,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,T,AT,2012,227.0,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,T,BE,2012,300.1,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,T,BG,2012,138.9,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,T,CY,2012,13.8,u
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,T,CZ,2012,93.7,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,T,DE,2012,2732.1,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,T,DK,2012,135.6,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,T,EE,2012,30.2,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,T,EEA,2012,9203.9,e
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,T,EL,2012,146.0,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,T,ES,2012,458.0,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,T,EU27_2007,2012,9048.8,e
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,T,FI,2012,115.8,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,T,FR,2012,836.5,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,T,HU,2012,212.0,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,T,IS,2012,9.3,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,T,IT,2012,503.0,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,T,LT,2012,60.6,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,T,LU,2012,15.8,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,T,LV,2012,43.6,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,T,MT,2012,4.3,u
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,T,NL,2012,447.8,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,T,NO,2012,145.8,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,T,PL,2012,421.8,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,T,PT,2012,131.8,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,T,RO,2012,265.3,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,T,SE,2012,252.1,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,T,SI,2012,39.3,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,T,SK,2012,108.2,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,T,UK,2012,1315.4,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,F,AT,2012,55.0,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,F,BE,2012,83.0,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,F,BG,2012,13.3,u
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,F,CY,2012,6.1,u
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,F,CZ,2012,,u
